School_ID,Agency,Address,maxOccupancy,Level,totalSQFT,MajorExp9815,TotalAllotandPlan1621,LifetimeBudget,FeederMS,Total_Enrolled,Limited_English,At_Risk,SPED,AtRiskPer,SPEDPer,ESLPer,SqFtPerEnroll,SpentPerMaxOccupancy,SpentPerSqFt,Open_Now,ProjectPhase,YrComplete,ProjectType,FeederHS,longitude,latitude,Ward,School
202,DCPS,533 48th Pl  NE,442,ES,57100,8916,12115000,14515000,Kelly Miller MS,262,1,214,42,0.816793893,0.160305344,0.003816794,218,20.1719457,0.15614711,1,Phase 0,NA,Stabilized,Woodson HS,-76.9333547,38.8970081,7,Aiton Elementary
203,DCPS,401 Eye St  SW,400,ES,70800,5993305,0,5993305,Jefferson Acad. MS,345,6,254,90,0.736231884,0.260869565,0.017391304,205,14983.2625,84.65120056,1,Phase I,2012,Partial Modernization,Eastern HS,-77.0291221,38.9015926,2,Amidon-Bowen Elementary
450,DCPS,1601 16th St  SE,837,HS,204992,68228069,0,68860993,,661,0,586,186,0.886535552,0.281391831,0,310,81515.01673,332.8328374,1,Full,2012,Full Modernization,Anacostia HS,-76.9829543,38.8700237,8,Anacostia High
452,DCPS,3401 4th St  SE,1520,HS,356000,141737725,4007,162976011,.,755,0,644,276,0.852980132,0.365562914,0,472,93248.50329,398.139677,1,Full,2015,Full Replacement,Ballou HS,-77.0014227,38.8393559,8,Ballou High
462,DCPS,3401 4th St  SE,NA,ADULT,NA,0,0,0,NA,591,0,0,52,0,0.087986464,0,602,NA,NA,1,Full,2015,NA,City-Wide,-77.0014227,38.8393559,8,Ballou STAY
204,DCPS,1755 Newton St  NW,563,ES,79792,1446450,59943000,66496000,Deal MS,508,279,181,54,0.356299213,0.106299213,0.549212598,157,2569.182948,18.12775717,1,Phase 0,2018,Full Modernization,Wilson HS,-77.0405163,38.9347901,1,Bancroft Elementary
205,DCPS,430 Decatur St  NW,486,ES,72496,24386910,0,24386910,Truesdell or West EC (6th-8th),602,193,284,72,0.471760797,0.119601329,0.320598007,120,50178.82716,336.3897318,1,Full,2003,Full Replacement,Roosevelt HS,-77.018458,38.9479619,4,Barnard Elementary
206,DCPS,3600 Alabama Ave  SE,430,ES,77488,14813933,-24188,15123196,Sousa MS,438,1,243,79,0.554794521,0.180365297,0.002283105,177,34451.00698,191.1771242,1,Phase I,2013,Partial Modernization,Anacostia HS,-76.9556094,38.8646071,7,Beers Elementary
402,DCPS,800 Euclid St  NW,620,HS,180000,671104,77074000,78745104,,449,3,113,0,0.251670379,0,0.006681514,401,1082.425806,3.728355556,1,Phase 0,NA,Stabilized,City-Wide,-77.0239586,38.9235819,1,Benjamin Banneker High
212,DCPS,301 North Carolina Ave  SE,369,ES,47500,4475354,0,4485194,Jefferson Acad. MS,368,5,23,22,0.0625,0.059782609,0.013586957,129,12128.33062,94.21797895,1,Phase I,2009,Partial Modernization,Eastern HS,-77.0013712,38.8847202,6,Brent Elementary
