Sector,LEA ID,LEA Name,School ID,School Name,Total Enrolled,PK3,PK4,KG,01,02,03,04,05,06,07,08,09,10,11,12,Adult,Alternative,SPED Program,Limited English Proficient,Level 1,Level 2,Level 3,Level 4,At_Risk
Charters,133,Maya Angelou PCS,101,Maya Angelou Evans Campus PCS,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0,0,9,11,46,22,0
Charters,109,Cesar Chavez PCS,102,Cesar Chavez Parkside MS PCS,303,0,0,0,0,0,0,0,0,103,101,99,0,0,0,0,0,0,0,8,19,19,3,1,204
Charters,172,Latin American Youth Center (LAYC) Career Academy,104,Latin American Youth Center Career Academy,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,36,2,3,0,1,0
Charters,113,Community Academy PCS,105,Community Academy Amos I,590,75,93,73,86,86,75,63,39,0,0,0,0,0,0,0,0,0,0,213,13,21,7,12,261
Charters,113,Community Academy PCS,106,Community Academy Butler Global,523,86,88,86,72,66,60,46,19,0,0,0,0,0,0,0,0,0,0,51,18,7,1,9,272
Charters,113,Community Academy PCS,108,Community Academy CAPCS Online,123,0,0,13,17,12,13,15,10,15,9,19,0,0,0,0,0,0,0,0,18,2,1,0,43
Charters,109,Cesar Chavez PCS,109,Cesar Chavez PCS Parkside Upper,356,0,0,0,0,0,0,0,0,0,0,0,115,95,76,70,0,0,0,7,5,25,7,3,228
Charters,120,Friendship PCS,113,Friendship PCS SouthEast Academy,576,69,75,69,71,71,73,74,74,0,0,0,0,0,0,0,0,0,0,0,19,21,10,6,412
Charters,121,Hope Community Academy PCS,114,Hope Community PCS Tolson Campus,517,106,71,66,53,45,42,38,25,24,24,23,0,0,0,0,0,0,0,34,18,6,1,18,264
Charters,124,Howard University Middle School of Math and Science,115,Howard University Middle School of Math and Science PCS,294,0,0,0,0,0,0,0,0,84,108,102,0,0,0,0,0,0,0,11,5,2,2,0,115
Charters,129,KIPP DC PCS,116,KIPP DC AIM PCS Academy PCS,321,0,0,0,0,0,0,0,69,90,89,73,0,0,0,0,0,0,0,1,6,47,18,3,189
Charters,139,Potomac Preparatory PCS,117,Potomac Preparatory PCS,425,55,50,49,37,44,35,32,25,35,33,30,0,0,0,0,0,0,0,0,23,10,0,17,261
Charters,129,KIPP DC PCS,121,KIPP DC WILL Academy PCS,344,0,0,0,0,0,0,50,71,73,79,71,0,0,0,0,0,0,0,3,13,33,12,8,138
Charters,151,Washington Latin PCS,125,Washington Latin PCS MS,366,0,0,0,0,0,0,0,90,91,90,95,0,0,0,0,0,0,0,3,21,5,1,2,16
Charters,119,Briya Public Charter School,126,Briya Public Charter School,492,35,11,0,0,0,0,0,0,0,0,0,0,0,0,0,446,0,0,50,3,1,0,1,20
Charters,109,Cesar Chavez PCS,127,Cesar Chavez PCS Chavez Prep,331,0,0,0,0,0,0,0,0,84,102,93,52,0,0,0,0,0,0,94,30,16,1,1,170
Charters,131,Youthbuild PCS,128,Youthbuild PCS,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,7,3,5,2,0,0
Charters,115,D.C. Preparatory Academy PCS,130,D C  Preparatory Edgewood Elementary Campus PCS,432,79,73,72,70,70,68,0,0,0,0,0,0,0,0,0,0,0,0,20,19,7,1,1,197
Charters,121,Hope Community Academy PCS,131,Hope Community PCS Lamond Campus,358,71,62,59,40,46,39,26,15,0,0,0,0,0,0,0,0,0,0,13,7,10,3,2,148
Charters,129,KIPP DC PCS,132,KIPP DC LEAP Academy PCS,304,101,103,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,1,0,177
Charters,127,Ideal Academy PCS,134,Ideal Academy PCS North Capitol Street Campus ES,297,27,39,33,32,36,25,25,25,15,16,24,0,0,0,0,0,0,0,3,19,12,1,0,185
Charters,132,Mary McLeod Bethune  PCS,135,Mary McLeod Bethune Day Academy PCS Slowe Campus,381,46,47,31,47,35,28,38,35,29,21,24,0,0,0,0,0,0,0,8,2,29,3,1,237
Charters,133,Maya Angelou PCS,137,Maya Angelou Young Adult Learning Center,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,2,11,2,2,1
Charters,118,Early Childhood Academy PCS,138,Early Childhood Academy PCS,259,42,46,52,39,42,38,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,0,0,167
Charters,103,AppleTree Early Learning Center PCS,140,AppleTree Early Learning Center PCS Columbia Heights,163,94,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,7,3,0,0,58
Charters,103,AppleTree Early Learning Center PCS,141,AppleTree Early Learning Center PCS Southwest,86,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,41
Charters,107,Bridges PCS,142,Bridges PCS,272,65,67,70,42,28,0,0,0,0,0,0,0,0,0,0,0,0,0,102,34,5,1,37,93
Charters,116,E.L. Haynes PCS,146,E L  Haynes PCS Georgia Avenue,377,0,0,0,0,0,0,0,76,101,99,101,0,0,0,0,0,0,0,54,14,21,28,14,157
Charters,109,Cesar Chavez PCS,153,Cesar Chavez Capitol Hill PCS,358,0,0,0,0,0,0,0,0,0,0,0,152,85,61,60,0,0,0,21,20,33,9,8,225
Charters,113,Community Academy PCS,158,Community Academy Amos II,329,73,94,79,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,15,2,1,0,193
Charters,144,Elsie Whitlow Stokes Community Freedom PCS,159,Elsie Whitlow Stokes Community Freedom PCS,350,40,36,45,49,48,48,42,42,0,0,0,0,0,0,0,0,0,0,63,20,5,0,1,62
OSSE Managed School,122,Washington Hospitality Foundation,160,Hospitality High School,171,0,0,0,0,0,0,0,0,0,0,0,48,40,44,39,0,0,0,14,14,33,7,4,130
Charters,125,Perry Street Prep PCS,161,Perry Street Prep PCS,619,25,38,36,38,33,33,33,33,25,49,56,39,47,50,84,0,0,0,10,22,56,6,9,343
Charters,126,IDEA PCS,163,IDEA PCS,217,0,0,0,0,0,0,0,0,0,0,0,70,52,53,42,0,0,0,1,7,19,12,4,165
Charters,135,Meridian PCS,165,Meridian PCS,639,49,64,80,70,68,62,66,49,55,39,37,0,0,0,0,0,0,0,176,70,6,0,1,294
Charters,145,The Next Step PCS,168,The Next Step PCS,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363,0,203,4,5,1,3,0
Charters,137,Options PCS,169,Options PCS,268,0,0,0,0,0,0,0,0,0,22,41,57,36,66,46,0,0,0,0,4,29,30,105,218
Charters,138,Paul PCS,170,Paul Public Charter School - Middle School,376,0,0,0,0,0,0,0,0,84,109,183,0,0,0,0,0,0,0,24,6,30,9,2,160
Charters,140,Roots PCS,173,Roots PCS,95,17,19,15,12,9,5,9,9,0,0,0,0,0,0,0,0,0,0,2,6,1,0,0,39
