Campus Name,Campus/Facility Name,Ward,First & Last Day of School ,Website,Main Phone Number,Twitter,Facebook,Board Chair Name,Board Chair Title,Exec# Director Name,Exec# Director Title,Principal Name,Principal Title,Location 1
Academy of Hope Adult Public Charter School,Academy of Hope Adult PCS [Edgewood],5,9/8/15-7/1/16,www.aohdc.org,202-269-6623,@AoHDC,https://www.facebook.com/aohdc,Patrina Clark,Chair of the Board,Lecester Johnson,Chief Executive Office,Patricia DeFerrari,Chief Program Officer,"601 Edgewood St NE
20017
(38.924056, -76.9984)"
Academy of Hope Adult Public Charter School,Academy of Hope Adult PCS [Southeast],8,9/8/15-7/1/16,www.aohdc.org,202-269-6623,@AoHDC,https://www.facebook.com/aohdc,Patrina Clark,Chair of the Board,Lecester Johnson,Chief Executive Office,Patricia DeFerrari,Chief Program Officer,"421 Alabama Ave SE
20032
(38.843014, -76.999854)"
Achievement Preparatory Academy PCS - Middle,Achievement Preparatory Academy PCS – Middle,8,8/24/15-6/16/16,www.achievementprep.org,202-562-1214,@AchievementPrep,https://www.facebook.com/AchievementPrep,John Green,Board Chair,Shantelle Wright,Founder/CEO,Susan Cannon,Principal,"908 Wahler Place SE
20032
(38.834155, -76.99196)"
Achievement Preparatory Academy PCS - Elementary,Achievement Preparatory Academy PCS – Elementary,8,8/24/15-6/16/16,www.achievementprep.org,202-562-1214,@AchievementPrep,https://www.facebook.com/AchievementPrep,John Green,Board Chair,Shantelle Wright,Founder/CEO,Jake Lappi,Principal,"1500 Mississippi Avenue SE
20032
(38.842299, -76.981034)"
AppleTree Early Learning PCS - Columbia Heights,AppleTree Early Learning PCS – Columbia Heights,1,8/17/15-6/8/16,www.appletreeinstitute.org,202-667-9490,@AppleTreeInst,https://www.facebook.com/AppleTreeDC,Jack McCarthy,Board Chair,Anne Zummo-Malone,Chief of Schools,Ryan Tauriainen,Principal,"2750 14th Street NW
20009
(38.925182, -77.032302)"
AppleTree Early Learning PCS - Lincoln Park,AppleTree Early Learning PCS – Lincoln Park,6,8/17/15-6/8/16,www.appletreeinstitute.org,202-667-9490,@AppleTreeInst,https://www.facebook.com/AppleTreeDC,Jack McCarthy,Board Chair,Anne Zummo-Malone,Chief of Schools,Allison Waddy,Principal,"138 12th Street NE
20002
(38.891496, -76.990258)"
AppleTree Early Learning PCS - Oklahoma Ave,AppleTree Early Learning PCS – Oklahoma Ave,7,8/17/15-6/8/16,www.appletreeinstitute.org,202-667-9490,@AppleTreeInst,https://www.facebook.com/AppleTreeDC,Jack McCarthy,Board Chair,Anne Zummo-Malone,Chief of Schools,Ntaka Wellington,Principal,"320 21st Street NE
20002
(38.8942, -76.975065)"
AppleTree Early Learning PCS - Southeast,AppleTree Early Learning PCS – Southeast [Douglass Knoll],8,8/17/15-6/8/16,www.appletreeinstitute.org,202-667-9490,@AppleTreeInst,https://www.facebook.com/AppleTreeDC,Jack McCarthy,Board Chair,Anne Zummo-Malone,Chief of Schools,Ryan Tauriainen,Principal,"2017 Savannah Terrace SE
20020
(38.848994, -76.975034)"
AppleTree Early Learning PCS - Southeast,AppleTree Early Learning PCS – Southeast [Parklands],8,8/17/15-6/8/16,www.appletreeinstitute.org,202-667-9490,@AppleTreeInst,https://www.facebook.com/AppleTreeDC,Jack McCarthy,Board Chair,Anne Zummo-Malone,Chief of Schools,Michael Wilson,Principal,"2011 Savannah Street SE
20020
(38.846746, -76.974754)"
AppleTree Early Learning PCS - Southwest,AppleTree Early Learning PCS – Southwest,6,8/17/15-6/8/16,www.appletreeinstitute.org,202-667-9490,@AppleTreeInst,https://www.facebook.com/AppleTreeDC,Jack McCarthy,Board Chair,Anne Zummo-Malone,Chief of Schools,Aja Mills,Principal,"801 7th Street SW
20009
(38.879198, -77.022095)"
BASIS DC PCS,BASIS DC PCS,2,8/24/15-6/10/16,www.basisdc.org,202-393-5437,@BASISDC,https://www.facebook.com/pages/BASIS-DC/141406749252771,"Craig Barrett, Ph.D; Dan Nienhauser",President and Chairman,Carolyn McGarvey,Senior Vice President of School Managmenet,Tim Eyerman,Head of School,"410 8th Street NW
20004
(38.895205, -77.023001)"
Breakthrough Montessori PCS,Breakthrough Montessori PCS,,Opening August 2016,www.breakthroughmontessori.org,,,https://www.facebook.com/breakthroughMontessori,Keith Whitescarver,Board Chair,?,Executive Director,?,Principal,
