"LEA ID
(SY14-15)","School ID(s)
(SY14-15)","School Name(s)
(SY14-15)",Grade Levels ,"School Address(es)
(SY14-15)","Former DCPS Facility Name 
(If applicable, SY14-15)","Maximum Occupancy
(SY14-15, Reported By PCSB)","Total Square Footage 
(SY14-15, Reported By PCSB)","Number of Students Enrolled, 
(SY14-15 Audited Enrollment from OSSE, reported by PCSB)"," Square Footage per Student
(Total Square Footage / Total Enrollment)","LEA Enrollment Ceiling
(As of Nov. 2014, Reported By PCSB)","Percentage of LEA Enrollment Ceiling Filled 
(LEA Enrollment / LEA Enrollment Ceiling)",FACILITY NOTES,,,,,
178,233,Academy of Hope Adult PCS* 421 Alabama Ave. SE,ADULT,"
421 Alabama Avenue, SE",N/A, 	111 ," 	12,000 ",,,,,Enrollment is not officially split out between the buildings.  Adult program,,,,,
178,233,Academy of Hope Adult PCS* 705 Edgewood St. NE,ADULT,"601 Edgewood Street, NE",N/A, 	75 ," 	9,375 ", 	256 , 	127.64 , 	300 ,85%,Enrollment is not officially split out between the buildings.  Adult program,,,,,
155,217,Achievement Preparatory PCS (Elementary School),ES,"1500 Mississippi Avenue, SE",Green Facility,N/A," 	23,302 ", 	267 , 	87 , 	765 ,,,,,,,
155,1100,Achievement Preparatory PCS (Middle School),MS,"908 Wahler Place, SE",Draper Elementary, 	519 ," 	33,177 ", 	381 , 	87 , 	765 ,,,,,,,
103,3073,AppleTree Early Learning Center PCS -  Lincoln Park,PK3-K,"138 12th Street, NE",N/A, 	73 ," 	8,975 ", 	60 , 	150 , 	651 ,146%,Proposed enrollment ceiling increase to 851. Board will vote on increase to enrollment ceiling at December 15 meeting.,,,,,
103,140,AppleTree Early Learning Center PCS - Columbia Heights,PK3-K,"2750 14th Street, NW ",N/A, 	188 ," 	12,204 ", 	163 , 	75 , 	651 ,146%,Proposed enrollment ceiling increase to 851. Board will vote on increase to enrollment ceiling at December 15 meeting.,,,,,
103,1137,AppleTree Early Learning Center PCS - Oklahoma Avenue,PK3-K,"320 21st Street, NE",N/A, 	218 ," 	15,866 ", 	161 , 	99 , 	651 ,146%,Proposed enrollment ceiling increase to 851. Board will vote on increase to enrollment ceiling at December 15 meeting.,,,,,
103,141,AppleTree Early Learning Center PCS - Southwest,PK3-K,"801 7th Street, SW",Co-locating in Jefferson MS, 	158 ," 	6,162 ", 	86 , 	72 , 	651 ,146%,Proposed enrollment ceiling increase to 851. Board will vote on increase to enrollment ceiling at December 15 meeting.,,,,,
103,3072,AppleTree Early Learning PCS - Southeast; 2011 Savannah Terr. ,PK3-K,"2011 Savannah Terrace, SE",N/A, 	120 ," 	7,484 ",,,,, Proposed enrollment ceiling increase to 851. Board will vote on increase to enrollment ceiling at December 15 meeting.,,,,,
103,3072,AppleTree Early Learning PCS - Southeast; 2017 Savannah Terr. ,PK3-K,"2017 Savannah Terrace, SE",N/A, 	110 ," 	9,677 ", 	178 , 	303 , 	651 ,146%,2017 and 2011 Savannah Terr. SE both have the same School ID and are considered as one school. Proposed enrollment ceiling increase to 851. Board will vote on increase to enrollment ceiling at December 15 meeting.,,,,,
