Sector,LEA or School Name,% At-Risk for FY15 Projections,# FY15 Total Enrollment Projection,# At Risk Students for FY15 Projection,
,Total DCPS,44.98%," 	47,592 "," 	21,407 ",
,,,,,
1,Aiton ES,73.3%,245,,
1,Amidon Bowen  ES,72.8%,372,,
1,Anacostia HS,79.1%,774,,
1,Ballou HS,71.7%,655,,
1,Ballou STAY,na,485,,
1,Bancroft ES,32.0%,504,,
1,Barnard ES,44.3%,605,,
1,Beers ES,59.5%,435,,
1,Benjamin Banneker HS,22.6%,445,,
1,Brent ES,5.6%,363,,
1,Brightwood EC,45.9%,635,,
1,Brookland EC at Bunker Hill,45.8%,232,,
1,Browne EC,67.9%,348,,
1,Bruce Monroe ES at Park View,54.2%,470,,
1,Burroughs EC,46.4%,272,,
1,Burrville ES,55.4%,345,,
1,C W  Harris ES,69.5%,279,,
1,Capitol Hill Montessori School at Logan,10.1%,330,,
1,Cardozo EC,64.5%,717,,
1,CHOICE Academy at Emery,na,10,,
1,Cleveland ES,51.2%,311,,
1,Columbia Heights EC (CHEC),42.2%,1275,,
1,Coolidge HS,58.2%,410,,
1,Deal MS,8.5%,1310,,
1,Drew ES,76.8%,169,,
1,Dunbar HS,65.8%,625,,
1,Eastern HS,59.6%,1021,,
1,Eaton ES,6.0%,477,,
1,Eliot Hine MS,70.9%,270,,
1,Ellington School of the Arts,21.4%,515,,
1,Garfield ES,77.1%,276,,
1,Garrison ES,53.6%,289,,
1,H D Cooke ES,53.8%,413,,
1,Hardy MS,27.0%,400,,
1,Hart MS,76.3%,574,,
1,Hearst ES,14.6%,293,,
1,Hendley ES,83.1%,533,,
1,Houston ES,67.9%,282,,
1,Hyde Addison ES,6.6%,341,,
1,"Incarcerated Youth Program, Correctional Detention Facility",na,24,,
1,J O Wilson ES,48.5%,462,,
1,Janney ES,1.1%,674,,
1,Jefferson Middle School Academy,62.5%,307,,
1,Johnson  John Hayden MS,76.0%,283,,
1,Kelly Miller MS,72.1%,580,,
1,Ketcham ES,77.8%,318,,
1,Key ES,2.9%,393,,
1,Kimball ES,71.2%,345,,
1,"King, M L ES",81.0%,412,,
1,Kramer MS,79.1%,371,,
1,Lafayette ES,3.5%,700,,
1,Langdon EC,56.7%,338,,
1,Langley EC,57.5%,291,,
1,LaSalle Backus EC,57.9%,357,,
1,Leckie ES,52.7%,402,,
1,Ludlow Taylor ES,37.1%,336,,
1,Luke Moore Alternative HS,na,382,,
1,Malcolm X ES at Green,76.0%,218,,
1,Mamie D Lee School,53.2%,62,,
1,Mann ES,0.7%,299,,
1,Marie Reed ES,35.5%,391,,
1,Maury ES,19.8%,362,,
1,Mckinley Middle School,56.5%,210,,
1,McKinley Technology HS,32.3%,700,,
1,Miner ES,72.1%,412,,
1,Moten ES,79.8%,400,,
1,Murch ES,3.7%,693,,
1,Nalle ES,72.1%,380,,
1,Noyes EC,55.7%,308,,
1,Orr ES,72.1%,372,,
1,Oyster Adams Bilingual School (Oyster),6.7%,657,,
1,Patterson ES,77.5%,374,,
1,Payne ES,54.7%,279,,
1,Peabody ES (Capitol Hill Cluster),7.0%,229,,
1,Phelps Architecture Construction and Engineering HS,47.0%,354,,
1,Plummer ES,77.2%,434,,
1,Powell ES,44.6%,435,,
1,Randle Highlands ES,64.8%,328,,
1,Raymond EC,45.5%,553,,
1,Roosevelt HS at MacFarland,69.6%,432,,
1,Roosevelt STAY at MacFarland,na,655,,
1,Ross ES,7.5%,168,,
1,Savoy ES,73.0%,419,,
1,School Within School at Goding,7.8%,243,,
1,School Without Walls at Francis Stevens,29.2%,319,,
1,School Without Walls HS,8.5%,585,,
1,Seaton ES,51.4%,278,,
1,Sharpe Health School,50.7%,67,,
1,Shepherd ES,15.1%,321,,
1,Simon ES,76.0%,310,,
1,Smothers ES,71.0%,304,,
1,Sousa MS,70.8%,281,,
1,Stanton ES,83.1%,607,,
1,Stoddert ES,3.7%,429,,
1,Stuart Hobson MS (Capitol Hill Cluster),30.5%,424,,
1,Takoma EC,46.6%,458,,
1,Thomas ES,74.4%,435,,
1,Thomson ES,41.5%,280,,
1,Truesdell EC,53.1%,483,,
1,Tubman ES,63.1%,527,,
1,Turner ES,77.9%,426,,
1,Tyler ES,40.2%,550,,
1,Walker Jones EC,71.8%,461,,
1,Washington Metropolitan HS (formerly YEA),na,304,,
1,Watkins ES Capitol Hill Cluster,21.5%,528,,
1,West EC,34.1%,273,,
1,Wheatley EC,78.1%,440,,
1,Whittier EC,56.1%,348,,
1,Wilson HS,20.1%,1708,,
1,Woodson H D HS,68.5%,729,,
1,Youth Services Center,na,70,,
,"Notes: The FY15 at-risk projected enrollment was calculated at the LEA level. School-level at-risk shares are provided in this table but school-level at risk numbers will not calculate exactly to the total number of projected at risk students due to rounding.

Alternative and adult schools have no projected at-risk students because at-risk funding is not applied to alternative and adult students. Those LEAs have ""na"" or not applicable.
",,,,
