School Names,,GSF (building),21CSF  sq ft,21CSF Comments about square footage,Major Project year completed,Current Replacement Value (CRV),2014 FCI (Incl Backlog),Foundations,Foundations Score,Basement Construction,Basement Score, Exterior Enclosure,Exterior Enc. Score, Roofing,Roofing Score,Interior Construction,Interior Const. Score,Stairs,Stairs Score,Interior Finishes,Interior Finishes Score,Conveying Systems,Conveying Systems Score,Plumbing,Plumbing Score,HVAC,HVAC Score,Fire Protection Systems,Fire Systems Score,Electrical Systems,Electrical Score,Site Improvements,Site Imp. Score,Site Civil/ Mechanical Utilities,Site Civil/Mech Utilities Score,Site Electrical Utilities,Electrical Utilities Score,General Requirements,Gen. Req. Score,Has A Carbon Monoxide Monitors,(DCPS FCI) FCI Base Year +1,(DCPS FCI) FCI Base Year +2,(DCPS FCI) FCI Base Year +3,(DCPS FCI) FCI Base Year +4,(DCPS FCI) FCI Base Year +5,(DCPS FCI) Base Year for FCI,(DCPS FCI) FCI Base Year,,Carbon Mon. Score,Converted Average,Standardized Facility Score,Row Labels,Sum of Expenditures through FY 2013,Sum of Expenditures in FY 2014,Sum of Expenditures in FY 2015,Total expenditures 1998-2015,Expenditures per 21CSF Gross sq ft ,Sum of Allotments  in FY 2016,Sum of Expenditures in FY 2016,Sum of FY 2017,Sum of FY 2018,Sum of FY 2019,Sum of FY 2020,Sum of FY 2021,Total FY16 Allotted and  FY17-21 Planned  Expenditures,Total Planned and Allotted FY16-21 per 21CSF GSF,Sum of Lifetime Budget
Adams-Oyster,Adams-Oyster  Bilingual School (Adams)," 	55,563 ","59,400",,," 	18,506,924 ",1.47%,Fair,3,Fair,3,Fair,3,Good,1,Poor,5,Poor,5,Fair,3,Good,1,Good,1,Fair,3,N/A,FALSE,Good,1,Fair,3,Fair,3,Fair,3,Good,1,No,0.76%,0.20%,1.23%,0.00%,0.45%,2013,0.31%,0.00717481196297167,5,2.75,3,ADAMS,"$3,767,366","$36,009",$0,"$3,803,375",$64.03,$0,$0,$0,$0,"$12,236,000",$0,$0,"$12,236,000",$205.99,"$16,039,375"
Aiton,Aiton Elementary School," 	54,017 ","57,100",,," 	17,991,982 ",0.30%,Good,1,N/A,FALSE,Poor,5,Good,1,Good,1,Good,1,Poor,5,Good,1,Good,1,Good,1,Good,1,Good,1,Fair,3,Good,1,Good,1,Fair,3,No,0.00%,0.02%,1.44%,0.22%,1.66%,2013,0.00%,0.00297355381022061,5,2.00,4,AITON,$0,$0,"$8,916","$8,916",$0.16,$0,$0,$0,$0,"$12,115,000",$0,$0,"$12,115,000",$212.17,"$14,515,000"
Amidon,Amidon Bowen Elementary School," 	76,734 ","70,800",,," 	25,558,561 ",0.00%,Good,1,Good,1,Good,1,Fair,3,Good,1,Good,1,Good,1,N/A,FALSE,Good,1,Good,1,Good,1,Fair,3,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.50,3,AMIDON,"$5,995,052","-$1,747",$0,"$5,993,305",$84.65,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$5,993,305"
Anacostia,Anacostia High School," 	251,297 ","204,992","This must be pre-modernization; open-space was demolished; May 2010 OPEFM report has 204,992 sq. ft.",2012," 	83,702,005 ",0.29%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.24,1,ANACOSTIA,"$64,056,585","$2,678,499","$1,492,985","$68,228,069",$332.83,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$68,860,993"
BALLOU,Ballou High School - Omitted,,"356,000",New 2015; fields and starium yet to be completed,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BALLOU,"$25,897,285","$79,271,205","$36,569,236","$141,737,725",$398.14,$0,"$4,007",$0,$0,$0,$0,$0,"$4,007",$0.01,"$162,976,011"
Bancroft,Bancroft Elementary School," 	76,848 ","79,792","3,000 sq ft, discrepancy; no portables, no additions.",," 	25,596,532 ",0.40%,Good,1,N/A,FALSE,Fair,3,Fair,3,Good,1,Good,1,Good,1,Poor,5,Fair,3,Fair,3,N/A,FALSE,Fair,3,Good,1,Good,1,Poor,5,Fair,3,No,0.03%,0.01%,4.35%,0.00%,1.01%,2013,0.06%,0.00365230495226341,5,2.60,5,BANCROFT,$0,"$111,146","$1,335,304","$1,446,450",$18.13,$0,$0,"$31,296,000","$28,647,000",$0,$0,$0,"$59,943,000",$751.24,"$66,496,000"
Banneker,Benjamin Banneker High School," 	135,812 ","180,000","We've had Banneker as 180,000 sq ft. Does 135,812 subtract sq. footage used by DC Rec?",," 	45,236,261 ",0.76%,Good,1,N/A,FALSE,Poor,5,Poor,5,Good,1,Poor,5,Fair,3,N/A,FALSE,Fair,3,Fair,3,N/A,FALSE,Good,1,Good,1,Good,1,Good,1,Fair,3,Yes,0.75%,2.40%,2.61%,0.04%,0.09%,2013,0.00%,0.000162418375084022,1,2.43,5,BANNEKER,"$671,104",$0,$0,"$671,104",$3.73,$0,$0,$0,$0,"$12,157,000","$17,745,000","$47,172,000","$77,074,000",$428.19,"$78,745,104"
Barnard,Barnard Elementary School," 	96,848 ","72,496","96,848 must reflect portables; 2010 MFP has 67,000 for the 2002 school",2003," 	32,258,132 ",0.01%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.24,1,BARNARD,"$17,867,772",$0,$0,"$17,867,772",$246.47,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$17,867,772"
Beers,Beers Elementary School," 	82,748 ","77,488","5,000 sq, ft, discrepancy; check on portables, new constrauction",," 	27,561,704 ",1.82%,Good,1,Good,1,Good,1,Fair,3,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Poor,5,Good,1,Good,1,Good,1,No,0.73%,0.89%,1.56%,0.00%,1.55%,2013,0.10%,0.0108299364122331,5,1.59,3,BEERS,"$13,360,036","$1,160,911","$292,986","$14,813,933",$191.18,"-$24,188",$0,$0,$0,$0,$0,$0,"-$24,188",-$0.31,"$15,123,196"
Bell-Lincoln,Columbia Heights Education Campus," 	340,260 ","325,218","340,260 probably includes parking; Donna Green said our figure did not include parking; the difference must be parking: 15,042; program space is 325,218.",2006," 	113,333,801 ",0.02%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.24,1,BELL-LINCOLN,"$78,652,173",$0,$0,"$78,652,173",$241.84,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$78,652,173"
BOWEN,,,"71,900",Building now renovated and used by the DC Police Dept. ; not in DCPS inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,BOWEN,"$70,000","-$70,000",$0,$0,$0.00,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,$0
Brent,Brent Elementary School," 	49,645 ","47,500",,," 	16,535,757 ",0.00%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,N/A,FALSE,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.25,3,BRENT,"$4,475,354",$0,$0,"$4,475,354",$94.22,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$4,485,194"
Brightwood,Brightwood Education Campus," 	88,080 ","78,000","88,080 must reflect portables.",2005," 	29,337,686 ",0.00%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.24,0,BRIGHTWOOD,"$22,265,461",$0,$0,"$22,265,461",$285.45,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$22,269,148"
Brookland ,Brookland Middle School - Omitted,,"110,000",New 2015; the new middle school replaced old Brookland ES (which was for a few years was  consolidated as Brookland at Bunker Hill - - now Bunker Hill ES) ,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BROOKLAND,"$2,410,211","$42,959,203","$12,683,937","$58,053,351",$527.76,"-$800,000","-$402,174",$0,$0,$0,$0,$0,"-$1,202,174",-$10.93,"$62,711,400"
Browne,Browne Education Campus," 	190,308 ","215,392","190,308 is low; does it reflect that part of the building is closed off and un-used?",," 	63,387,789 ",1.89%,Good,1,Good,1,Good,1,Poor,5,Good,1,Good,1,Good,1,Good,1,Good,1,Fair,3,N/A,FALSE,Good,1,Good,1,Good,1,Fair,3,Good,1,No,0.95%,0.02%,0.29%,0.00%,2.40%,2013,0.00%,0.0093096405894749,5,1.75,,BROWNE,$0,$0,"$131,951","$131,951",$0.61,$0,$0,$0,$0,"$20,636,000",$0,$0,"$20,636,000",$95.81,"$23,793,129"
BRUCE-MONROE,BRUCE-MONROE (demolished),,"110,700",Old Bruce Monroe was demolished; the school was moved into Park View as Bruce-Monroe @ Park View,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRUCE MONROE @ PARKVIEW,"$11,264,300",$0,$0,"$11,264,300",$101.76,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$17,026,865"
Bruce-Monroe @ Parkview,Bruce Monroe Elementary School @ Park View," 	138,336 ","82,192","138,336 must be for the demolished, open-space Bruce-Monroe; Program is now in the Park View Building at 82,200 sq. ft.; this is larger than Banneker.   ",," 	46,076,955 ",0.03%,Good,1,Good,1,Good,1,Fair,3,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.35,3,BRUCE-MONROE,"$1,499,358",$0,$0,"$1,499,358",$18.24,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$1,499,358"
Bunker Hill,Brookland @ Bunker Hill," 	66,069 ","69,392",,," 	22,006,263 ",0.77%,Good,1,Good,1,Fair,3,Fair,3,Good,1,Good,1,Good,1,Unsatisfactory,FALSE,Good,1,Good,1,N/A,FALSE,Good,1,Fair,3,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.67,4,BUNKER HILL,"$6,056,150","$477,615",$0,"$6,533,765",$94.16,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$6,544,178"
Burroughs,Burroughs Education Campus," 	64,088 ","69,696","69,696 must include the cafeteria addition",," 	21,346,431 ",0.19%,Good,1,Good,1,Good,1,Fair,3,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Fair,3,Fair,3,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.59,0,BURROUGHS,"$7,950,889","$288,005",$154,"$8,239,048",$118.21,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$8,866,114"
Burrville,Burrville Elementary School," 	89,214 ","94,992","89,214  may include covered playspace; in that case, 89,214 is the better number.",," 	29,715,399 ",2.91%,Good,1,N/A,FALSE,Poor,5,Fair,3,Good,1,Good,1,Good,1,Good,1,Fair,3,Good,1,Fair,3,Good,1,Poor,5,Good,1,Good,1,Good,1,No,,,,,,,,,5,2.13,1,BURRVILLE,"$2,991,980",$0,$0,"$2,991,980",$31.50,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$2,996,347"
CARDOZO,Cardozo High School,,"397,400",,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARDOZO,"$120,799,387","$10,728,587",$0,"$131,527,974",$330.97,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$132,124,454"
Cleveland,Cleveland Elementary School," 	54,207 ","53,000",,2004," 	18,055,268 ",0.00%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.24,5,CLEVELAND,"$20,270,264",$0,$0,"$20,270,264",$382.46,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$20,270,264"
Cooke,H D Cooke Elementary School," 	78,473 ","85,696",,2009," 	26,137,787 ",0.00%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.24,3,COOKE,"$32,500,688",$0,$0,"$32,500,688",$379.26,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$32,500,688"
Coolidge,Coolidge High School," 	316,763 ","271,300","Check to see if 271,300 includes the gym addition from the 1960s or 70s.",," 	105,507,420 ",3.17%,Good,1,Good,1,Fair,3,Poor,5,Poor,5,Poor,5,Fair,3,Poor,5,Fair,3,Poor,5,N/A,FALSE,Good,1,Fair,3,Good,1,Poor,5,Poor,5,No,1.81%,0.82%,0.20%,0.04%,0.70%,2013,0.00%,0.0135148261559178,5,3.50,4,COOLIDGE,"$2,537,691",$0,$0,"$2,537,691",$9.35,"$2,000,000",$0,"$24,000,000","$26,440,000","$5,000,000","$59,193,000",$0,"$116,633,000",$429.90,"$122,176,717"
CW HARRIS,C W Harris Elementary School," 	48,500 ","56,000","Is part of CW Harris closed off and is that reflected in the 48,500.  8,000 sq ft. difference",," 	16,154,380 ",4.65%,Good,1,N/A,FALSE,Good,1,Fair,3,Good,1,Good,1,Poor,5,N/A,FALSE,Fair,3,Good,1,N/A,FALSE,Fair,3,Fair,3,Good,1,Poor,5,Good,1,No,3.19%,1.08%,0.01%,0.19%,0.81%,2013,0.00%,0.0146342823432407,5,2.43,2,CW HARRIS,$0,$0,$0,$0,$0.00,$0,$0,$0,$0,$0,"$12,606,000",$0,"$12,606,000",$225.11,"$12,606,000"
DCPS Multi-School,DCPS Multi-School,,"12,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DCPS Multi-School,"$1,294,021,600","$48,716,729","$49,685,964","$1,392,424,292",$116.04,"$42,849,086","$44,820","$41,365,000","$33,078,375","$40,399,005","$39,222,000","$45,211,251","$242,169,537",$20.18,"$1,669,108,197"
Deal,Deal Middle School," 	168,649 ","223,689","223,689 Includes Rose Reno and the addition for Rose Reno.  Double check 181,805 for new Deal.",2009," 	56,173,609 ",0.00%,Good,1,N/A,FALSE,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.25,4,DEAL,"$72,596,159","$900,856","$27,841","$73,524,856",$328.69,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$74,154,641"
Drew,Drew Elementary School," 	62,807 ","72,800","62,807 may account for floors that are closed off or not used by Drew.",," 	20,919,756 ",3.53%,Good,1,N/A,FALSE,Good,1,Poor,5,Good,1,Good,1,Good,1,Fair,3,Fair,3,Good,1,N/A,FALSE,Fair,3,Fair,3,Good,1,Good,1,Good,1,No,,,,,,,,,5,2.07,2,DREW,"$4,716,263","$182,375",$0,"$4,898,637",$67.29,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$4,938,279"
DUNBAR,Dunbar High School - Omitted,,"260,000","New 2013 - 260,000 does not include @ 20,000 for the parking garage",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DUNBAR,"$104,210,061","$17,114,332","$1,572,900","$122,897,293",$472.68,"-$250,000",$0,$0,$0,$0,$0,$0,"-$250,000",-$0.96,"$125,144,890"
