Original Charter Authorizer (BOE or PCSB) ,DC Public Charter  LEAs (a few individual schools are included - - in Green),Year LEA Opened ,Year LEA Closed,Address,Grade Level,SQ. Ft.,Ward,Revoked or Relinquished,Reason
PCSB,Academia Bilingue de la Communidad (ABC),2005,2009,209 Upshur Street NW,MS,,4,Relinquished,Low enrollment leading to financial insolvency
BOE,Academy for Renewal in Education (ARE),1998,2003,"45 P St, NW ",MS/HS,"18,300",5,Relinquished,"Voluntarily relinquished, due to issues surrounding effectiveness of special education program"
BOE,ALTA PCS - Academy for Learning Through the Arts,2005,2010,1600 Taylor Street NE,ES,"2,400",5,Relinquished,Voluntarily relinquished charter
PCSB,Arts and Technology PCS,1999,2014,5300 Blaine Street NE ,ES,"63,900",7,Revoked,Academic reasons - KIPP DC to operate 
BOE,Barbara Jordan,2002,2009,100 Peabody Street NW,MS,57033,4,Relinquished,Low enrollment leading to financial insolvency
PCSB,Booker T. Washington PCS,1999,2014,1346 Florida Ave NW ,HS,30454,1,Revoked,Academic reasons 
BOE,Children’s Studio PCS,1996,2010,1301 V Street NW,ES,"48,900",1,Relinquished,Voluntarily relinquished charter
BOE,City Collegiate,2006,2010,3265 S Street NW,MS,,2,Relinquished,Low enrollment
PCSB,City Lights,2005,2009,62 T Street NE,HS,20000,5,Relinquished,Financial and management deficiencies
PCSB,Community Academy PCS - Amos III,1998,2014,1400 1st Street NW,ES,100000,5,Closing the middle school,Academic reasons - probably Armstrong Campus
BOE,Community Academy PCS – middle school ,2004,2013,1400 1st Street NW,MS,100000,5,Closing the middle school,Academic reasons - not clear which campus
PCSB,Community Academy PCS – Rand campus,2004,2012,33 Riggs Road NE,ES,50600,5,"Closed the
Rand campus",Academic reasons - at Keene; allowed Community Academy to re-start early childhood and grow it
BOE,Community Academy PCS Amos 1,1997,2015,1300 Allison Street ,ES,"55,000",4,Revoked,Fiscal Mismanagement--DCPS to operate
PCSB,Community Academy PCS Amos 2,2005,2015,33 Riggs Road NE,ES,50600,5,Revoked,Fiscal Mismanagement--DC Bilingual PCS to relocate to the facility at Keene
PCSB,Community Academy PCS Amos 5,2004,2015,1400 1st Street NW,PK3-8,100000,5,Revoked,Fiscal Mismanagement--Friendship PCS to operate Chamberlain Campus
BOE,Community Academy PCS Online,2003,2015,1351 Nicholson Street ,ES/MS,20100,4,Revoked,Fiscal Mismanagement--Friendship PCS to operate
BOE,Hope Academy,2007,2007,3855 Massachusetts Ave NW,ES,,3,Relinquished,Low enrollment and subsequent financial deficiencies
PCSB,Hospitality High PCS,1999,2014,1851 9th Street NW,HS,"29,300",1,Relinquished Charter,Academic reasons - DCPS to operate; OSSE took over operation 
