,,,,,,,,,,,,,,,,,(DCPS ACR II) 2012 ACR A10: Foundations,(DCPS ACR II) 2012 ACR A20: Basement Construction,(DCPS ACR II) 2012 ACR B20: Exterior Enclosure,(DCPS ACR II) 2012 ACR B30: Roofing,(DCPS ACR II) 2012 ACR C10: Interior Construction,(DCPS ACR II) 2012 ACR C20: Stairs,(DCPS ACR II) 2012 ACR C30: Interior Finishes,(DCPS ACR II) 2012 ACR D10: Conveying Systems,(DCPS ACR II) 2012 ACR D20: Plumbing,(DCPS ACR II) 2012 ACR D30: HVAC,(DCPS ACR II) 2012 ACR D40: Fire Protection Systems,(DCPS ACR II) 2012 ACR D50: Electrical Systems,(DCPS ACR II) 2012 ACR F10: Special Construction,(DCPS ACR II) 2012 ACR F20: Selective Demolition,(DCPS ACR II) 2012 ACR G10: Site Preparation,(DCPS ACR II) 2012 ACR G20: Site Improvements,(DCPS ACR II) 2012 ACR G30: Site Civil/Mechanical Utilities,(DCPS ACR II) 2012 ACR G40: Site Electrical Utilities,(DCPS ACR II) 2012 ACR Z10: General Requirements,,,,,,,,,
,Agency,#,Name,GSF (building),Program #,School Name,School Address,"SY2014-15 Audited 
Enrollment ",SY2015-16 Permanent Capacity,SY2015-16 Portable Capacity,Total Capacity (Permanent + Portable),"SY2014-15
Utilization                  (Includes Portable Capacity)",2014-15 GSF per student,Plan to Address High/Low Utilization ,Current Replacement Value (CRV),2014 FCI (Incl Backlog),Foundations,Basement Construction, Exterior Enclosure, Roofing,Interior Construction,Stairs,Interior Finishes,Conveying Systems,Plumbing,HVAC,Fire Protection Systems,Electrical Systems,Special Construction,Selective Demolition,Site Preparation,Site Improvements,Site Civil/ Mechanical Utilities,Site Electrical Utilities,General Requirements,Has A Carbon Monoxide Monitors,(DCPS FCI) FCI Base Year +1,(DCPS FCI) FCI Base Year +2,(DCPS FCI) FCI Base Year +3,(DCPS FCI) FCI Base Year +4,(DCPS FCI) FCI Base Year +5,(DCPS FCI) Base Year for FCI,(DCPS FCI) FCI Base Year,
218af1f1-c4a3-472c-b3f9-679457c882a7,DCPS,1,Aiton Elementary School," 	54,017 ",202,Aiton ES,533 48th Pl  NE,263,442,0,442,60%,205,," 	17,991,982 ",0.30%,Good,N/A,Poor,Good,Good,Good,Poor,Good,Good,Good,Good,Good,N/A,N/A,N/A,Fair,Good,Good,Fair,No,0.00%,0.02%,1.44%,0.22%,1.66%,2013,0.00%,0.00297355381022061
2d998776-0937-4e43-9423-26b70a4edfd3,DCPS,2,Amidon-Bowen Elementary School," 	76,734 ",203,Amidon-Bowen ES,401 Eye St  SW,347,400,0,400,87%,221,," 	25,558,561 ",0.00%,Good,Good,Good,Fair,Good,Good,Good,N/A,Good,Good,Good,Fair,N/A,N/A,N/A,Good,Good,Good,Good,No,,,,,,,,
b4f91238-abd6-4906-828c-8d1a86b83a07,DCPS,3,Anacostia High School," 	251,297 ",450,Anacostia HS,1601 16th St  SE,680,837,0,837,81%,370,," 	83,702,005 ",0.29%,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,N/A,N/A,N/A,Good,Good,Good,Good,No,,,,,,,,
be47eaf2-fb46-4565-92a0-0a5458c3c3be,DCPS,4,Bancroft Elementary School," 	76,848 ",204,Bancroft ES,1755 Newton St  NW,508,563,0,563,90%,151,," 	25,596,532 ",0.40%,Good,N/A,Fair,Fair,Good,Good,Good,Poor,Fair,Fair,N/A,Fair,N/A,N/A,N/A,Good,Good,Poor,Fair,No,0.03%,0.01%,4.35%,0.00%,1.01%,2013,0.06%,0.00365230495226341
f1d34ba6-d9c1-4552-a5a6-14dbb398f272,DCPS,5,Barnard Elementary School," 	96,848 ",205,Barnard ES,430 Decatur St  NW,602,486,176,662,91%,161,124%," 	32,258,132 ",0.01%,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,N/A,N/A,N/A,Good,Good,Good,Good,No,,,,,,,,
cbbd414a-bdc1-427e-9476-57065abfaa06,DCPS,6,Beers Elementary School," 	82,748 ",206,Beers ES,3600 Alabama Ave  SE,438,430,0,430,102%,189,"DCPS will monitor enrollment to ensure a satisfactory learning environment is provided for students.  The boundary change is expected to right size the enrollment with the capacity at this school, but the full impacts of the changes may not be felt for a few years. "," 	27,561,704 ",1.82%,Good,Good,Good,Fair,Good,Good,Good,Good,Good,Good,Good,Good,N/A,N/A,N/A,Poor,Good,Good,Good,No,0.73%,0.89%,1.56%,0.00%,1.55%,2013,0.10%,0.0108299364122331
214b4c65-1cde-4397-89bf-3fadc52504a3,DCPS,7,Benjamin Banneker High School," 	135,812 ",402,Benjamin Banneker HS,800 Euclid St  NW,449,620,0,620,72%,302,," 	45,236,261 ",0.76%,Good,N/A,Poor,Poor,Good,Poor,Fair,N/A,Fair,Fair,N/A,Good,N/A,N/A,N/A,Good,Good,Good,Fair,Yes,0.75%,2.40%,2.61%,0.04%,0.09%,2013,0.00%,0.000162418375084022
4281a984-db33-4752-99a2-3e689295abb8,DCPS,8,Brent Elementary School," 	49,645 ",212,Brent ES,301 North Carolina Ave  SE,371,369,0,369,101%,134,DCPS will monitor enrollment to ensure a satisfactory learning environment is provided for students. ," 	16,535,757 ",0.00%,Good,Good,Good,Good,Good,Good,Good,N/A,Good,Good,Good,Good,N/A,N/A,N/A,Good,Good,Good,Good,No,,,,,,,,
ea468cde-969c-45de-a54b-869e2a3d8806,DCPS,9,Brightwood Education Campus," 	88,080 ",213,Brightwood EC,1300 Nicholson St NW,645,584,132,716,90%,137,110%," 	29,337,686 ",0.00%,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,N/A,N/A,N/A,Good,Good,Good,Good,No,,,,,,,,
