Appendix 4: PCS Building Enrollment and Program Capacity Serving PK3-5th Grades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The following table shows the location of each school's building, its total enrollment, the number and share of enrollment that is just PK3-5, and programmatic capacities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
School ID,School Name,"School Address, SY14-15",Ward,Grades Served,"Total Building 
Enrollment, SY14-151","PK3-5th Enrollment, SY14-15",% of Enrollment that is PK3-5," Programmatic Capacity, SY14-152 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,Achievement Prep PCS – Wahler Place Middle,908 Wahler Pl  SE,Ward 8,4th-8th,381,185,49%,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,Achievement Prep PCS – Mississippi Ave Elementary (co-locating with Malcolm X @ Green),1500 Mississippi Avenue SE,Ward 8,KG-3rd,267,267,100%,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,AppleTree Early Learning PCS – Columbia Heights,"2750 14th Street, NW ",Ward 1,PK3-PK4,163,163,100%,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3073,AppleTree Early Learning PCS – Lincoln Park,"138 12th Street, NE",Ward 6,PK3-PK4,60,60,100%,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1137,AppleTree Early Learning PCS – Oklahoma Ave,320 21st Street NE,Ward 7,PK3-PK4,161,161,100%,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,AppleTree Early Learning PCS – Southwest (co-locating with Jefferson MS),801 7th St. SW,Ward 6,PK3-PK4,86,86,100%,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3072,AppleTree PCS – Parklands (Southeast) (Parklands & Douglass Knoll),"2011 Savannah Terrace, SE",Ward 8,PK3-PK4,178,178,100%,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"2017 Savannah Terrace, SE",,,,,100%,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3068,BASIS DC PCS,410 8th St NW,Ward 2,5th-10th,551,141,26%,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Bridges PCS (Co-locating with Sharpe Health),"4300 13th Street, NW",Ward 4,PK3-2nd,272,272,100%,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bridges PCS,"1244 Taylor Street, NW",Ward 4,,,,100%,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bridges PCS-Main,1250 Taylor St NW,Ward 4,,,,100%,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Briya PCS,1755 Newton St  NW,Ward 1,"PK3-PK4, Adult",492,46,9%,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3912 Georgia Ave NW,Ward 4,,,,9%,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2333 Ontario Rd NW,Ward 1,,,,9%,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184/182/1207,Capital City PCS – Lower School; Capital City PCS – Middle School; Capital City PCS – High School,"100 Peabody Street, NW",Ward 4,PK3-12th,971,400,41%,"1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
