Master PCS List 1998-2014-15,2014-15 audited enrollment,FY2021 FA,FY2020 FA,FY2019 FA,FY2018 FA,FY2017 FA,FY2016 FA,Sum of FY 2015 FA,Sum of FY2014 'FA,Sum of FY2013 FA,Sum of FY2012 FA,Sum of FY2011 FA,Sum of FY2010 FA,Sum of FY2009 FA,Sum of FY2008 FA,Sum of FY2007 FA,Sum of FY2006 FA,Sum of FY2005 FA,Sum of FY2004 FA,Sum of FY2003 FA,Sum of FY2002 FA,Sum of FY2001 FA,Sum of FY2000 FA,Sum of FY1999 FA,Totals
Academia Bilingue,0,0,0,0,0,0,0,$0,$0,$0,$0,$0,$0,"$214,521","$354,426","$303,480","$141,525",$0,$0,$0,$0,$0,$0,$0,"$1,013,952"
Academy of Hope,256,"799,744","799,744","799,744","799,744","799,744","799,744","$786,432",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$5,584,896"
Achievement Prep Elementary ,267,"834,108","834,108","834,108","834,108","834,108","834,108","$820,224","$699,000","$945,000","$606,000","$414,000","$277,200","$202,085",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$8,968,157"
Achievement Prep Middle  ,381,"1,190,244","1,190,244","1,190,244","1,190,244","1,190,244","1,190,244","$1,170,432","$1,146,000",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$9,457,896"
ALTA Associates for Learning Through the Arts,0,0,0,0,0,0,0,$0,$0,$0,$0,$0,"$252,000","$258,047","$310,900","$241,660","$163,725",$0,$0,$0,$0,$0,$0,$0,"$1,226,332"
Apple Tree (combined),0,0,0,0,0,0,0,$0,$0,$0,$0,$0,$0,$0,$0,"$101,160","$99,900",$0,$0,$0,$0,$0,$0,$0,"$201,060"
AppleTree  Riverside SW ,86,"268,664","268,664","268,664","268,664","268,664","268,664","$264,192","$237,000","$120,000","$120,000","$117,000","$100,800","$111,924","$111,924",$0,$0,$0,$0,$0,$0,$0,$0,$0,"$2,794,824"
AppleTree Amidon ,0,0,0,0,0,0,0,$0,$0,"$132,000","$123,000","$120,000","$100,800","$111,924","$111,924",$0,$0,$0,$0,$0,$0,$0,$0,$0,"$699,648"
AppleTree Columbia Heights ,163,"509,212","509,212","509,212","509,212","509,212","509,212","$500,736","$483,000","$483,000","$474,000","$357,000","$302,400","$335,772","$220,739",$0,$0,$0,$0,$0,$0,$0,$0,$0,"$6,211,919"
AppleTree Douglass/Savannah Terr.  ,178,"556,072","556,072","556,072","556,072","556,072","556,072","$546,816","$516,000","$258,000","$240,000",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$4,897,248"
AppleTree Lincoln Park,60,"187,440","187,440","187,440","187,440","187,440","187,440","$184,320","$189,000","$183,000","$180,000",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$1,860,960"
AppleTree Oklahoma Ave. ,161,"502,964","502,964","502,964","502,964","502,964","502,964","$494,592","$516,000","$486,000","$474,000","$357,000",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$5,345,376"
AppleTree Parkland/ Ridgecrest Ct. ,0,0,0,0,0,0,0,$0,$0,"$258,000","$240,000",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$498,000"
ARE Academy for Renewal in Education,0,0,0,0,0,0,0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$63,990","$57,798","$34,914",$0,"$156,702"
Arts and Technology Academy ,0,0,0,0,0,0,0,$0,"$1,854,000","$1,887,000","$1,806,000","$1,683,000","$1,696,800","$1,893,381","$1,831,201","$1,691,620","$1,695,525","$1,470,840","$1,200,486","$763,229","$834,714","$896,610","$415,794",$0,"$21,620,200"
Barbara Jordan,0,0,0,0,0,0,0,$0,$0,$0,$0,$0,$0,"$189,649","$304,682","$300,670","$435,675","$487,900","$386,295","$64,324",$0,$0,$0,$0,"$2,169,195"
Basis DC PCS,551,"1,721,324","1,721,324","1,721,324","1,721,324","1,721,324","1,721,324","$1,692,672","$1,530,000","$1,329,000",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$14,879,616"
Booker T. Washington (combined),0,0,0,0,0,0,0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$771,450","$697,340","$394,219","$290,695","$164,952","$314,184","$264,500",$0,"$2,897,340"
Booker T. Washington Evening,0,0,0,0,0,0,0,$0,"$531,000",$0,"$102,000","$45,000","$39,200","$180,322","$236,284","$151,740",$0,$0,$0,$0,$0,$0,$0,$0,"$1,285,546"
Booker T. Washington for Technical Arts,0,0,0,0,0,0,0,$0,"$1,035,000","$1,086,000","$651,000","$696,000","$644,000","$764,814","$727,506","$671,590",$0,$0,$0,$0,$0,$0,$0,$0,"$6,275,910"
Booker T. Washington Virtual ,0,0,0,0,0,0,0,$0,$0,$0,"$471,000","$318,000","$260,400",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$1,049,400"
Bridges,272,"849,728","849,728","849,728","849,728","849,728","849,728","$835,584","$633,000","$429,000","$258,000","$258,000","$238,000","$236,284","$223,848","$188,270","$105,450",$0,$0,$0,$0,$0,$0,$0,"$8,503,804"
Briya (was ESF) ,492,"1,537,008","1,537,008","1,537,008","1,537,008","1,537,008","1,537,008","$1,511,424","$1,434,000","$1,308,000","$1,185,000","$717,000","$632,800","$581,383","$491,222","$345,630",$0,$0,$0,$0,$0,$0,$0,$0,"$17,428,507"
Capital City (combined),0,0,0,0,0,0,0,$0,$0,$0,$0,$0,$0,$0,"$758,596","$660,350","$660,450","$564,060","$447,706","$223,897","$223,254","$200,070",$0,$0,"$3,738,383"
Capital City Lower School,322,"1,005,928","1,005,928","1,005,928","1,005,928","1,005,928","1,005,928","$989,184","$963,000","$975,000","$729,000","$732,000","$683,200","$758,596",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$11,865,548"
Capital City Middle School,320,"999,680","999,680","999,680","999,680","999,680","999,680","$983,040","$978,000","$894,000",$0,$0,$0,"$397,952",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$9,251,072"
Capital City Upper School,329,"1,027,796","1,027,796","1,027,796","1,027,796","1,027,796","1,027,796","$1,010,688","$1,011,000","$963,000","$1,173,000","$882,000","$506,800",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$11,713,264"
Carlos Rosario (Combined),"1,973","6,163,652","6,163,652","6,163,652","6,163,652","6,163,652","6,163,652","$6,061,056","$5,949,000","$5,823,000","$5,424,000","$5,253,000","$4,645,200","$4,604,429","$4,268,657","$3,641,760","$2,847,150","$2,786,980","$2,101,841","$1,003,207","$1,006,776","$923,286","$706,744","$230,141","$94,258,139"
Cedar Tree Academy ,358,"1,118,392","1,118,392","1,118,392","1,118,392","1,118,392","1,118,392","$1,099,776","$966,000",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$8,776,128"
Center City Brentwood,0,0,0,0,0,0,0,$0,$0,$0,$0,$0,$0,"$301,573",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$301,573"
Center City Brightwood ,248,"774,752","774,752","774,752","774,752","774,752","774,752","$761,856","$753,000","$714,000","$693,000","$627,000","$548,800","$668,435",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$9,414,603"
Center City Capitol Hill ,239,"746,636","746,636","746,636","746,636","746,636","746,636","$734,208","$711,000","$690,000","$666,000","$648,000","$562,800","$687,089",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$9,178,913"
Center City Congress Heights ,257,"802,868","802,868","802,868","802,868","802,868","802,868","$789,504","$681,000","$762,000","$732,000","$597,000","$515,200","$693,307",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$9,587,219"
Center City Petworth ,262,"818,488","818,488","818,488","818,488","818,488","818,488","$804,864","$711,000","$705,000","$696,000","$681,000","$624,400","$727,506",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$9,860,698"
Center City Shaw ,241,"752,884","752,884","752,884","752,884","752,884","752,884","$740,352","$717,000","$654,000","$711,000","$663,000","$574,000","$764,814",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$9,341,470"
Center City Trinidad ,236,"737,264","737,264","737,264","737,264","737,264","737,264","$724,992","$678,000","$690,000","$645,000","$684,000","$548,800","$680,871",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$9,075,247"
Cesar Chavez (combined),0,0,0,0,0,0,0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$1,130,500","$495,250","$309,250","$314,262","$266,760","$126,960","$33,935","$2,676,917"
Cesar Chavez Bruce Prep ,331,"1,034,044","1,034,044","1,034,044","1,034,044","1,034,044","1,034,044","$1,016,832","$966,000","$954,000","$960,000","$906,000","$646,800","$460,132","$186,540",$0,$0,$0,$0,$0,$0,$0,$0,$0,"$12,300,568"
Cesar Chavez Capitol Hill ,358,"1,118,392","1,118,392","1,118,392","1,118,392","1,118,392","1,118,392","$1,099,776","$1,167,000","$1,227,000","$1,176,000","$1,233,000","$1,195,600","$1,352,415","$1,311,998","$1,188,630","$1,123,875",$0,$0,$0,$0,$0,$0,$0,"$18,785,646"
Cesar Chavez Parkside Middle ,303,"946,572","946,572","946,572","946,572","946,572","946,572","$930,816","$915,000","$960,000","$2,022,000","$2,139,000","$2,030,000","$2,263,352","$2,244,698","$2,014,770","$1,429,125",$0,$0,$0,$0,$0,$0,$0,"$22,628,193"
Cesar Chavez PCS Parkside Upper ,356,"1,112,144","1,112,144","1,112,144","1,112,144","1,112,144","1,112,144","$1,093,632","$1,119,000","$1,167,000",$0,$0,$0,$0,$0,$0,$0,$0,,$0,$0,$0,$0,$0,"$10,052,496"
Children's Studio School,0,0,0,0,0,0,0,$0,$0,$0,$0,$0,"$218,400","$236,284","$254,938","$230,420","$241,425","$268,940","$227,815","$139,781","$136,512","$145,236","$79,350","$51,211","$2,230,312"
