School Names,,Grade Levels for 15-16 school year feeder pattern,GSF (building),21CSF  sq ft,21CSF Comments about square footage,Major Project year completed,Current Replacement Value (CRV),2014 FCI (Incl Backlog),Foundations,Foundations Score,Basement Construction,Basement Score, Exterior Enclosure,Exterior Enc. Score, Roofing,Roofing Score,Interior Construction,Interior Const. Score,Stairs,Stairs Score,Interior Finishes,Interior Finishes Score,Conveying Systems,Conveying Systems Score,Plumbing,Plumbing Score,HVAC,HVAC Score,Fire Protection Systems,Fire Systems Score,Electrical Systems,Electrical Score,Site Improvements,Site Imp. Score,Site Civil/ Mechanical Utilities,Site Civil/Mech Utilities Score,Site Electrical Utilities,Electrical Utilities Score,General Requirements,Gen. Req. Score,Has A Carbon Monoxide Monitors,(DCPS FCI) FCI Base Year +1,(DCPS FCI) FCI Base Year +2,(DCPS FCI) FCI Base Year +3,(DCPS FCI) FCI Base Year +4,(DCPS FCI) FCI Base Year +5,(DCPS FCI) Base Year for FCI,(DCPS FCI) FCI Base Year,,Carbon Mon. Score,Converted Average,Standardized Facility Score,Row Labels,Type of Project,Sum of Expenditures through FY 2013,Sum of Expenditures in FY 2014,Sum of Expenditures in FY 2015,Total expenditures 1998-2015,Expenditures per 21CSF Gross sq ft ,Sum of Allotments  in FY 2016,Sum of Expenditures in FY 2016,Sum of FY 2017,Sum of FY 2018,Sum of FY 2019,Sum of FY 2020,Sum of FY 2021,Total FY16 Allotted and  FY17-21 Planned  Expenditures,Total Planned and Allotted FY16-21 per 21CSF GSF,Sum of Lifetime Budget,
"Adams-Oyster, Adams",Adams-Oyster  Bilingual School (Adams),MS," 	55,563 ","59,400",,," 	18,506,924 ",1.47%,Fair,3,Fair,3,Fair,3,Good,1,Poor,5,Poor,5,Fair,3,Good,1,Good,1,Fair,3,N/A,FALSE,Good,1,Fair,3,Fair,3,Fair,3,Good,1,No,0.76%,0.20%,1.23%,0.00%,0.45%,2013,0.31%,0.00717481196297167,5,2.75,3,ADAMS,STABILIZED,"$3,767,366","$36,009",$0,"$3,803,375",$64,$0,$0,$0,$0,"$12,236,000",$0,$0,"$12,236,000",$205.99,"$16,039,375",8100
Aiton,Aiton Elementary School,ES," 	54,017 ","57,100",,," 	17,991,982 ",0.30%,Good,1,N/A,FALSE,Poor,5,Good,1,Good,1,Good,1,Poor,5,Good,1,Good,1,Good,1,Good,1,Good,1,Fair,3,Good,1,Good,1,Fair,3,No,0.00%,0.02%,1.44%,0.22%,1.66%,2013,0.00%,0.00297355381022061,5,2.00,4,AITON,STABILIZED,$0,$0,"$8,916","$8,916",$0,$0,$0,$0,$0,"$12,115,000",$0,$0,"$12,115,000",$212.17,"$14,515,000",
Amidon,Amidon Bowen Elementary School,ES," 	76,734 ","70,800",,," 	25,558,561 ",0.00%,Good,1,Good,1,Good,1,Fair,3,Good,1,Good,1,Good,1,N/A,FALSE,Good,1,Good,1,Good,1,Fair,3,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.50,3,AMIDON,PARTIAL MOD,"$5,995,052","-$1,747",$0,"$5,993,305",$85,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$5,993,305",
Anacostia,Anacostia High School,HS," 	251,297 ","204,992","This must be pre-modernization; open-space was demolished; May 2010 OPEFM report has 204,992 sq. ft.",2012," 	83,702,005 ",0.29%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.24,1,ANACOSTIA,FULL MOD,"$64,056,585","$2,678,499","$1,492,985","$68,228,069",$333,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$68,860,993",
BALLOU,Ballou High School - Omitted,HS,,"356,000",New 2015; fields and starium yet to be completed,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BALLOU,FULL REPLACEMENT,"$25,897,285","$79,271,205","$36,569,236","$141,737,725",$398,$0,"$4,007",$0,$0,$0,$0,$0,"$4,007",$0.01,"$162,976,011",
Bancroft,Bancroft Elementary School,ES," 	76,848 ","79,792","3,000 sq ft, discrepancy; no portables, no additions.",," 	25,596,532 ",0.40%,Good,1,N/A,FALSE,Fair,3,Fair,3,Good,1,Good,1,Good,1,Poor,5,Fair,3,Fair,3,N/A,FALSE,Fair,3,Good,1,Good,1,Poor,5,Fair,3,No,0.03%,0.01%,4.35%,0.00%,1.01%,2013,0.06%,0.00365230495226341,5,2.60,5,BANCROFT,STABILIZED,$0,"$111,146","$1,335,304","$1,446,450",$18,$0,$0,"$31,296,000","$28,647,000",$0,$0,$0,"$59,943,000",$751.24,"$66,496,000",
Banneker,Benjamin Banneker High School,HS," 	135,812 ","180,000","We've had Banneker as 180,000 sq ft. Does 135,812 subtract sq. footage used by DC Rec?",," 	45,236,261 ",0.76%,Good,1,N/A,FALSE,Poor,5,Poor,5,Good,1,Poor,5,Fair,3,N/A,FALSE,Fair,3,Fair,3,N/A,FALSE,Good,1,Good,1,Good,1,Good,1,Fair,3,Yes,0.75%,2.40%,2.61%,0.04%,0.09%,2013,0.00%,0.000162418375084022,1,2.43,5,BANNEKER,STABILIZED,"$671,104",$0,$0,"$671,104",$4,$0,$0,$0,$0,"$12,157,000","$17,745,000","$47,172,000","$77,074,000",$428.19,"$78,745,104",
Barnard,Barnard Elementary School,ES," 	96,848 ","72,496","96,848 must reflect portables; 2010 MFP has 67,000 for the 2002 school",2003," 	32,258,132 ",0.01%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.24,1,BARNARD,FULL REPLACEMENT,"$17,867,772",$0,$0,"$17,867,772",$246,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$17,867,772",
Beers,Beers Elementary School,ES," 	82,748 ","77,488","5,000 sq, ft, discrepancy; check on portables, new constrauction",," 	27,561,704 ",1.82%,Good,1,Good,1,Good,1,Fair,3,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Poor,5,Good,1,Good,1,Good,1,No,0.73%,0.89%,1.56%,0.00%,1.55%,2013,0.10%,0.0108299364122331,5,1.59,3,BEERS,PARTIAL MOD,"$13,360,036","$1,160,911","$292,986","$14,813,933",$191,"-$24,188",$0,$0,$0,$0,$0,$0,"-$24,188",-$0.31,"$15,123,196",
Bell-Lincoln,Columbia Heights Education Campus,MS/HS," 	340,260 ","325,218","340,260 probably includes parking; Donna Green said our figure did not include parking; the difference must be parking: 15,042; program space is 325,218.",2006," 	113,333,801 ",0.02%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.24,1,BELL-LINCOLN,FULL REPLACEMENT,"$78,652,173",$0,$0,"$78,652,173",$242,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$78,652,173",
