Appendix 4: PCS Program Capacity and Number of Seats Serving 9th-12th Grades in SY2014-15,,,,,,,,,,,,,,,,,
"The following table shows the location of each school's building, its total enrollment, the number and share of enrollment that is just 9th-12th, and programmatic capacities.",,,,,,,,,,,,,,,,,
School ID,School Name,"School Address, SY14-15",Ward ,Grades Served,"Total Building Enrollment, SY14-151","9th-12th Enrollment, SY14-15",% of Enrollment that is 9th-12th,"Programmatic Capacity, SY14-152",,,,,,,,,
3068,BASIS DC PCS,410 8th St NW,Ward 2,5th-10th,551,49,9%,620,,,,,,,,,
1207/182/184,Capital City PCS – High School; Capital City PCS – Middle School; Capital City PCS – Lower School,100 Peabody St NW,Ward 4,PK3-12th,971,329,34%,"1,000",,,,,,,,,
102/109,Cesar Chavez PCS for Public Policy – Parkside HS; Cesar Chavez PCS for Public Policy – Parkside MS,3701 Hayes St  NE,Ward 7,6th-12th,659,356,54%,825*,,,,,,,,,
127,Cesar Chavez PCS for Public Policy – Chavez Prep,770 Kenyon St NW,Ward 1,6th-9th,331,52,16%,414*,,,,,,,,,
153,Cesar Chavez PCS for Public Policy – Capitol Hill,709 12th St SE,Ward 6,9th-12th,358,358,100%,448*,,,,,,,,,
1138/1206,E.L. Haynes PCS – High School; E.L. Haynes PCS – Elementary School,4501 Kansas Ave NW,Ward 4,"9th-12th, PK3-4th",780,422,54%,795,,,,,,,,,
1124,Friendship PCS – Technology Preparatory Academy,2705 Martin Luther King Ave. SE,Ward 8,6th-12th,499,197,39%,670,,,,,,,,,
186,Friendship PCS – Collegiate Academy,4095 Minnesota Avenue NE,Ward 7,9th-12th,883,883,100%,"1,200",,,,,,,,,
163,IDEA PCS,1027 45th St NE,Ward 7,9th-12th,217,217,100%,450,,,,,,,,,
1123,KIPP DC – College Preparatory PCS,1401 Brentwood Parkway NE,Ward 5,9th-12th,454,453,100%,900***,,,,,,,,,
101/137,Maya Angelou PCS – High School; Maya Angelou Young Adult Learning Center,5600 E Capitol St NE,Ward 7,"9th-12th, Adult",399,252,63%,450,,,,,,,,,
1120,National Collegiate Preparatory PCS (co-locating with Ingenuity Preparatory),4600 Livingston Rd SE,Ward 8,9th-12th,306,306,100%,375,,,,,,,,,
163,Options PCS,1375 E Street NE,Ward 6,6th-12th,268,205,76%,268**,,,,,,,,,
222/170,Paul PCS – International High School; Paul PCS – Middle School,5800 8th Street NW,Ward 4,6th-11th,701,325,46%,700***,,,,,,,,,
161,Perry Street Preparatory PCS (co-locating with LAMB PCS),1800 Perry Street NE,Ward 5,PK3-12th,619,220,36%,775*,,,,,,,,,
3067,Richard Wright PCS for Journalism and Media Arts,770 M Street SE,Ward 6,8th-12th,305,282,92%,400,,,,,,,,,
174,School for Educational Evolution and Development (SEED) PCS,4300 C Street SE,Ward 7,6th-12th,336,96,29%,421*,,,,,,,,,
187,Somerset Preparatory Academy PCS,3301 Wheeler Rd SE,Ward 8,6th-9th,240,47,20%,850,,,,,,,,,
191,Thurgood Marshall Academy PCS,2427 Martin Luther King Jr Av SE,Ward 8,9th-12th,395,395,100%,420,,,,,,,,,
1118/125,Washington Latin PCS – Upper School; Washington Latin PCS – Middle School,5200 2nd Street NW,Ward 4,5th-12th,670,304,45%,685,,,,,,,,,
178,Washington Mathematics Science Technology PCHS,1920 Bladensburg Road NE,Ward 5,9th-12th,335,335,100%,350,,,,,,,,,
,Public Charter subtotal,,,,"10,277","6,083",59%,"13,016",,,,,,,,,
160,Hospitality HS,1851 9th Street NW,Ward 1,9th-12th,171,171,100%,171**,,,,,,,,,
,OSSE-managed subtotal,,,,171,171,100%,171,,,,,,,,,
, Total,,,,"10,448","6,254",60%,"13,187",,,,,,,,,
,Note: This appendix is organized at the building level and lists the multiple addresses associated with each school's unique ID defined by OSSE's School and LEA Infromation Management System (SLIMS).,,,,,,,,,,,,,,,,
,"Source: OSSE audited enrollment of grades, SY14-15",,,,,,,,,,,,,,,,
,"1 Total building enrollment includes all grades in the facility, which can include more than 9-12 grades. ",,,,,,,,,,,,,,,,
,"2 PCS programmatic capacity reflects the maximum number of students that can be housed at the school building given the schools’ existing educational programs, class size, and staffing. PCS program capacities were self-reported by each public charter LEA in a survey for SY15-16 administered by PCSB and developed in partnership with the DME. The response rate for the program capacity survey question was 94%. ",,,,,,,,,,,,,,,,
,*PCSB inputted the program capacity for the schools that did not respond by taking  125% of the school program’s 2014-15 audited enrollment. ,,,,,,,,,,,,,,,,
,"**In order to approximate SY14-15 programmatic capacities, there were instances where SY2015-16 self-reported program capacities could not be used because the school moved building locations between SY2014-15 and SY2015-16 or closed entirely in SY2015-16. In these instances, the DME used the school's 2014-15 audited enrollment figure as a proxy for program capacity for that SY14-15 building.",,,,,,,,,,,,,,,,
,***School recently completed renovations to the building that added space or acquired new space in the same building in SY15-16. ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
