Project No.,School/Project Name,TYPE,Year of Last Completed Work,Current Year,Time Elapsed,Combined Date and Type Score
YY176C,Aiton ES,Phase 0,,2015,,5
,Amidon Bowen ES,Phase I,2012,2015,3,2
NX437C,Anacostia HS,Full,2012,2015,3,1
NA637C,Ballou High,Full,2015,2015,0,1
YY177C,Bancroft ES,Phase 0,,2015,,5
YY101C,Banneker HS,Phase 0,,2015,,5
,Barnard ES,Full,2003,2015,12,1
YY161C,Beers ES,Phase I,2013,2015,2,1
TB137C,Brent ES,Phase I,2009,2015,6,3
,Brightwood EC,Full,2005,2015,10,1
YY108C,Browne EC,Phase 0,,2015,,5
,Bruce Monroe ES,Phase I,2012,2015,3,2
,Brookland @ Bunker Hill ES,Phase I,2012,2015,3,2
,Brookland MS ,,2014,,,
TB237C,Burroughs ES,Phase I,2013,2015,2,1
PB337C,Burrville ES,Phase I,2010,2015,5,2
YY107C,Capitol Hill Montessori @ Logan,Phase 0,,2015,,5
NX337C,Cardozo EC,Full,2013,2015,2,1
,Cleveland ES,Full,2004,2015,11,1
,Columbia Heights EC,Full,2006,2015,9,1
NX837C,Coolidge HS,Phase 0,,2015,,5
TB137C,C W Harris ES,Phase 0,,2015,,5
,Deal Middle,Full,2014,2015,1,1
PE337C,Drew ES,Phase I,2010,2015,5,2
MH137C,Dunbar HS,Full,2013,2015,2,1
MG237C,Eastern HS,Full,2010,2015,5,1
YY180C,Eaton ES,Phase 0,,2015,,5
YY181C,Eliot Hine MS ,Phase 0,,2015,,5
YY159C,Ellington School of the Arts,Full,2017,2015,-2,1
YY182C,Garfield ES,Phase 0,,2015,,5
YY183C,Garrison ES ,Phase 0,,2015,,5
,Hardy MS ,Full,2008,2015,7,1
NG337C,Hart Middle,Phase I,2011,2015,4,2
ND137C,H D Cooke ES,Full,2009,2015,6,1
YY162C,Hearst MS,Full,2015,2015,0,1
YY163C,Hendley ES,Phase I,2013,2015,2,1
MJ137C,Houston ES,Phase 0,,2015,,5
YY164C,Hyde Addison ES,Phase I,2014,2015,1,1
MJ137C/MJ138C,Janney Elementary,Full,2011,2015,4,1
YY162C,Jefferson MS,Phase 0,,2015,,5
,J O Wilson ES,Phase I,2010,2015,5,2
JOH37C,Johnson MS,Phase I,2013,2015,2,1
,Kelly Miller MS,Full,2004,2015,11,1
YY145C,Ketcham ES,Phase I,2012,2015,3,2
,Key Elementary,Full,2003,2015,12,1
YY185C,Kimball ES,Phase 0,,2015,,5
PK337C,"King, ML ES",Phase 0,,2015,,5
YY186C,Kramer MS ,Phase I,2014,2015,1,1
YY187C,Lafayette ES,Full,2015,2015,0,1
YY167C,Langdon ES,Phase I,2015,2015,0,1
LL337C,Langley ES,Phase II,2011,2015,4,1
YY146C,LaSalle Backus ES,Phase I,2012,2015,3,2
YY147C,Leckie ES,Phase I,2012,2015,3,2
YY168C,Ludlow Taylor ES,Phase I,2013,2015,2,1
,Luke Moore Academy HS ,Full,2006,2015,9,1
,Malcolm X ES @ Green,Phase 0,,2015,,5
YY169C,Mann ES,Full,2015,2015,0,1
YY1MRC,Marie Reed ES ,Phase 0,,2015,,5
MR337C,Maury ES,Phase I,2011,2015,4,2
NJ847C,McKinley Middle,Full,2014,2015,1,1
NJ837C,McKinley Tech HS,Full,2004,2015,11,1
,Miner ES,Full,2003,2015,12,1
MO337C,Moten ES,Full,2012,2015,3,1
YY190C,Murch ES ,Phase 0,,2015,,5
YY150C,Nalle ES,Phase I,2012,2015,3,2
,Noyes ES,Full,2004,2015,11,1
YY170C,Orr ES,Phase 0,,2015,,5
YY160C,Adams - Oyster Adams EC ,Phase 0,,2015,,5
,Patterson ES,Full,2004,2015,11,1
YY191C,Payne ES,Full,2016,2015,-1,1
YY151C,Peabody ES,Phase I,2013,2015,2,1
,Phelps ACE HS,Full,2008,2015,7,1
YY192C,Plummer ES,Phase I,2014,2015,1,1
YY152C,Powell ES,Full,2016,2015,-1,1
,Randle Highlands ES,Full,2002,2015,13,1
YY193C,Raymond EC,Phase 0,,2015,,5
NR939C,Roosevelt High,Full,2015,2015,0,1
,Ross ES,Phase I,2012,2015,3,2
,Savoy ES,Full,2009,2015,6,1
YY105C,School Within a School @ Goding,Phase I,2005,2015,10,4
YY103C,SWW @ Francis Stevens,Phase 0,,2015,,5
,School Without Walls HS,Full,2009,2015,6,1
SE337C,Seaton ES,Phase I,2011,2015,4,2
YY171C,Shepherd ES,Phase I,2016,2015,-1,1
YY156C,Simon ES,Phase I,2012,2015,3,2
YY195C,Smothers ES,Phase 0,,2015,,5
,Sousa MS ,Full,2008,2015,7,1
YY196C,Stanton ES ,Full,2016,2015,-1,1
,Stoddert ES,Full,2010,2015,5,1
YY157C,Stuart Hobson MS,Full,2015,2015,0,1
,Takoma EC ,Full,2012,2015,3,1
NP537C,Thomas ES,Phase I,2013,2015,2,1
,Thomson ES,Full,2006,2015,9,1
PL337C,Truesdell EC,Phase I,2010,2015,5,2
TA137C,Tubman ES,Phase I,2009,2015,6,3
,Turner ES,Full,2013,2015,2,1
PT337C,Tyler ES,Phase I,2010,2015,5,2
,Walker Jones EC,Full,2009,2015,6,1
YY106C,Washington MET HS,Phase 0,,2015,,5
YY197C,Watkins ES ,Phase 0,,2015,,5
YY173C,West Education Campus,Phase 0,,2015,,5
,Wheatley EC,Full,2009,2015,6,1
WT337C,Whittier EC,Phase I,2013,2015,2,1
,Wilson High,Full,2011,2015,4,1
,H D Woodson HS,Full,2011,2015,4,1
,Van Ness,Full,2016,,,
,Oyster - Oyster-Adams EC,Full,2001,,,
