Appendix 4: PCS Building Enrollment and Program Capacity Serving 6th-8th Grades in SY2014-15,,,,,,,,,
,,,,,,,,,
School ID,School Name,"School Address, SY14-15",Ward,"Grades 
Served","Total Building Enrollment, SY14-151","6th-8th Enrollment, SY14-15",% of Enrollment that is 6th-8th,"Programmatic Capacity, SY14-152",
1100,Achievement Prep PCS – Wahler Place Middle,908 Wahler Pl  SE,Ward 8,4th-8th,381,196,51%,450,
3068,BASIS DC PCS,410 8th St NW,Ward 2,5th-10th,551,361,66%,620,
182/184/1207,Capital City PCS – Middle School; Capital City PCS – Lower School; Capital City PCS – High School,100 Peabody St NW,Ward 4,PK3-12th,971,242,25%,"1,000",
1103,Center City PCS – Brightwood,6008 Georgia Ave NW,Ward 4,PK4-8th,248,65,26%,280,
1104,Center City PCS – Capitol Hill,1503 East Capitol St SE,Ward 6,PK4-8th,239,77,32%,280,
1105,Center City PCS – Congress Heights,220 HighView Pl SE,Ward 8,PK4-8th,257,71,28%,280,
1106,Center City PCS – Petworth,510 Webster St NW,Ward 4,PK4-8th,262,75,29%,280,
1107,Center City PCS – Shaw,711 N Street NW,Ward 6,PK4-8th,241,76,32%,280,
1108,Center City PCS – Trinidad,1217 W  Virginia Ave NE,Ward 5,PK4-8th,236,79,33%,280,
127,Cesar Chavez PCS for Public Policy – Chavez Prep,770 Kenyon St NW,Ward 1,6th-9th,331,279,84%,414*,
102/109,Cesar Chavez PCS for Public Policy – Parkside MS; Cesar Chavez PCS for Public Policy – Parkside HS,3701 Hayes St  NE,Ward 7,6th-12th,659,303,46%,825*,
108,Community Academy CAPCS Online,1351 Nicholson St NW,Ward 4,KG-8th,123,43,35%,123**,
196,DC Prep PCS – Edgewood Middle,701 Edgewood St NE,Ward 5,4th-8th,294,149,51%,314,
234,Democracy Prep Congress Heights PCS (co-locating with Imagine SE PCS),3100 Martin Luther King Ave SE,Ward 8,PK3-6th,620,53,9%,625,
248,District of Columbia International School,3220 16th Street NW,Ward 1,6th-7th,210,210,100%,410***,
146,E.L. Haynes PCS – Middle School,3600 Georgia Ave NW,Ward 1,5th-8th,377,301,80%,395,
1113/1211,Excel Academy PCS – DREAM; Excel Academy PCS – LEAD,2501 Martin Luther King Ave SE,Ward 8,PK3-6th,724,51,7%,867,
362/361,Friendship PCS – Blow-Pierce Middle; Friendship PCS – Blow-Pierce Elementary,725 19th St  NE,Ward 7,PK3-8th,592,146,25%,675,
364/363,Friendship PCS – Chamberlain Middle; Friendship PCS – Chamberlain Elementary,1345 Potomac Avenue SE,Ward 6,PK3-8th,718,205,29%,760,
1124,Friendship PCS – Technology Preparatory Academy,2705 Martin Luther King Ave. SE,Ward 8,6th-12th,499,302,61%,670,
366/365,Friendship PCS – Woodridge Middle; Friendship PCS – Woodridge Elementary,2959 Carlton Avenue NE,Ward 5,PK3-8th,452,98,22%,665,
114,Hope Community PCS – Tolson,2917 8th St NE,Ward 5,PK3-8th,517,71,14%,560,
115,Howard University Middle School of Mathematics and Science PCS,405 Howard Pl NW,Ward 1,6th-8th,294,294,100%,360,
134,Ideal Academy PCS North Capitol Street Campus ES,6130 N Capitol St NW,Ward 4,PK3-8th,297,55,19%,372*,
