Authorizer,Master PCS Names List 1998-99 to 2014-15 Short,Master PCS Names 1998-99 to 1914-15 Long NameDescriptive Name,,
PCSB,ARE Academy for Renewal in Education,"ARE Academy for Renewal in Education, also called Slater after their location at Slater Elementary",,
PCSB,Academia Bilingue,Academia Bilingue de la Comunidad (ABC),,
PCSB,Academy of Hope,Academy of Hope,,
PCSB,Achievement Prep Elementary ,Achievement Prep Elementary (217),,
PCSB,Achievement Prep Middle  ,Achievement Prep Middle  (1100),,
PCSB,ALTA Associates for Learning Through the Arts,ALTA Associates for Learning Through the Arts,,
PCSB,Apple Tree (combined),Apple Tree Early Learning (combined),,
PCSB,AppleTree Amidon ,"AppleTree Amidon (139, Amidon ,Southwest)",,
PCSB,AppleTree Columbia Heights ,AppleTree Columbia Heights (140 EARLY LEARNING COLUMBIA HGHTS),,
PCSB,AppleTree Douglass ,AppleTree Douglass/Savannah Terr.  (EARLY LEARNING Sch. SE #3072  DOUGLASS KNOLL -  Savannah Terr. SE) ,,
PCSB,AppleTree Lincoln Park,AppleTree Lincoln Park (EARLY LEARNING LINCOLN 3073 12th St. NE),,
PCSB,AppleTree Oklahoma Ave. ,"AppleTree Oklahoma Ave. 1137, OKLAHOMA AVE",,
PCSB,AppleTree Parkland ,AppleTree Parkland/ Ridgecrest Ct. APPLETREE EARLY LEARNING Sch. #3074 PARKLAND -  Ridgecrest Court SE,,
PCSB,AppleTree  Riverside ,"AppleTree  Riverside SW, 680 1 St. SW, 141,",,
PCSB,Arts and Technology Academy ,Arts and Technology Academy ,,
BOE,Barbara Jordan,Barbara Jordan,,
PCSB,Basis DC PCS,Basis DC PCS,,
BOE,Booker T. Washington (combined),Booker T. Washington (combined),,
BOE,Booker T. Washington for Technical Arts,Booker T. Washington Public Charter School for the Technical Arts,,
BOE,Booker T. Washington Virtual ,Booker T. Washington Virtual ( Booker T. Washington Virtual ENTERPRISE PROGRAM),,
BOE,Booker T. Washington Evening,Booker T. Washington Evening,,
PCSB,Bridges,Bridges,,
PCSB,Capital City (combined),Capital City (combined),,
PCSB,Capital City Lower School,Capital City Lower School,,
PCSB,Capital City Middle School,Capital City Middle School,,
PCSB,Capital City Upper School,Capital City Upper School,,
PCSB,Carlos Rosario (Combined),Carlos Rosario (Combined),,
PCSB,Cedar Tree Academy ,Cedar Tree Academy (was  Howard Road Academy),,
PCSB,Center City (combined),Center City (combined),,
PCSB,Center City Brentwood,Center City Brentwood,,
PCSB,Center City Brightwood ,Center City Brightwood (1103- BRIGHTWOOD CAMPUS),,
PCSB,Center City Capitol Hill ,Center City Capitol Hill (1104 - CAPITOL HILL CAMPUS),,
PCSB,Center City Congress Heights ,Center City Congress Heights (1105 -CONGRESS HEIGHTS CAMPUS),,
PCSB,Center City Petworth ,Center City Petworth (1106 - PETWORTH CAMPUS),,
