Action,Master.PCS.List.1998.2014.15,Address,Ward,,MajorExp9815,YearsOpen,Open,Close,Open.Now,Agency,PCSName
1,Academia Bilingue,209 Upshur Street NW,4,Private - built by ABC charter,"$1,013,952 ",4,2006,2009,0,PCSB,Academia Bilingue de la Comunidad (ABC)
1,ALTA Associates for Learning Through the Arts,1600 Taylor Street NE,5,Church - Michigan Park Christian Church,"$1,226,332 ",5,2006,2010,0,PCSB,ALTA Associates for Learning Through the Arts
,Apple Tree (combined),,,,"$201,060 ",2,2006,2007,0,PCSB,Apple Tree Early Learning (combined)
1,AppleTree Amidon,401 I Street SW,6,DCPS - Amidon/Bowen ES,"$699,648 ",6,2008,2013,0,PCSB,"AppleTree Amidon (139, Amidon ,Southwest)"
1,ARE Academy for Renewal in Education,45 P St NW ,5,DCPS - Slater ES,"$156,702 ",3,2000,2002,0,PCSB,"ARE Academy for Renewal in Education, also called Slater after their location at Slater Elementary"
1,Arts and Technology Academy,5300 Blaine Street NE ,7,DCPS - Richardson ES,"$21,620,200 ",15,2000,2014,0,PCSB,Arts and Technology Academy
1,Barbara Jordan,100 Peabody Street NW,4,DCPS - Rabaut MS,"$2,169,195 ",7,2003,2009,0,BOE,Barbara Jordan
2,Booker T. Washington (combined),1346 Florida Ave NW ,1,Private - Commercial/Industrial,"$2,897,340 ",7,2000,2006,0,BOE,Booker T. Washington (combined)
2,Booker T. Washington Evening,1346 Florida Ave NW ,1,Private - Commercial/Industrial,"$1,285,546 ",7,2007,2014,0,BOE,Booker T. Washington Evening
2,Booker T. Washington for Technical Arts,1346 Florida Ave NW ,1,Private - Commercial/Industrial,"$6,275,910 ",8,2007,2014,0,BOE,Booker T. Washington Public Charter School for the Technical Arts
2,Booker T. Washington Virtual,1346 Florida Ave NW ,1,Private - Commercial/Industrial,"$1,049,400 ",3,2010,2012,0,BOE,Booker T. Washington Virtual ( Booker T. Washington Virtual ENTERPRISE PROGRAM)
,Capital City (combined),,,,"$3,738,383 ",8,2001,2008,0,PCSB,Capital City (combined)
1,Center City Brentwood,2019 Rhode Island Ave NE,5,Church - St. Francis de Salles parochial school,"$301,573 ",1,2009,2009,0,PCSB,Center City Brentwood
,Cesar Chavez (combined),,,,"$2,676,917 ",7,1999,2005,0,PCSB,Cesar Chavez (combined) Cesar Chavez PCS for Public Policy
1,Children's Studio School,1301 V Street NW,1,DCPS - Harrison ES,"$2,230,312 ",12,1999,2010,0,BOE,Children's Studio School
1,City Collegiate,3265 S Street NW,2,Private/Non-profit - Jelleff Boys & girls Club - now city property,"$920,095 ",4,2007,2010,0,PCSB,City Collegiate
1,City Lights,62 T Street NE,5,Church- former parochial school,"$618,836 ",4,2006,2009,0,BOE,City Lights
,Community Academy (combined),,,,"$6,327,356 ",7,1999,2005,0,BOE,Community Academy (combined)
,DC Prep (combined),,,,"$1,813,365 ",4,2004,2007,0,PCSB,DC Prep (combined)
,E.L. Haynes (combined),,,,"$3,449,520 ",5,2005,2009,0,PCSB,E.L. Haynes (Combined) (Euphemia Lofton Haynes)
,Eagle Academy (combined),,,,"$3,557,810 ",6,2004,2009,0,PCSB,Eagle Academy (combined)
1,Early Childhood Academy Johenning,"4025 9th Street, SE",8,Church - Anna Johenning Babtist Center,"$405,000 ",1,2013,2013,0,PCSB,Early Childhood Academy Johenning (138 Johenning)
1,Early Childhood Academy Walter Washington,4301 9th Street SE ,8,DC - Walter Washington Community Center,"$339,000 ",1,2013,2013,0,PCSB,Early Childhood Academy Walter Washington (EARLY CHILDHOOD ACADEMY 1112 - WALTER WASHINGTON CAMPUS)
,Friendship PCS (combined),,,,"$16,318,413 ",5,1999,2004,0,PCSB,Friendship PCS (combined)  (also Edison Friendship or Friendship Edison)
,Hope Community (combined),,,,"$1,137,325 ",2,2006,2007,0,PCSB,Hope Community (combined)
,Howard Road (combined),,,,"$8,837,308 ",7,2002,2008,0,PCSB,Howard Road (combined)
1,Howard Road Academy,701 Howard Road SE,8,Private - built by Howard Rd.,"$7,963,270 ",5,2009,2013,0,PCSB,Howard Road Academy (HOWARD ROAD ACADEMY 118 - MAIN CAMPUS)
1,Howard Road Academy G St.,4625 G St SE,7,Church - Jones Memorial United Methodist Church,"$398,722 ",2,2009,2010,0,PCSB,Howard Road Academy G St. (HOWARD ROAD ACADEMY-G ST CAMPUS)
1,Howard Road Academy Penn. Ave.,3000 Pennsylvania Ave SE,7,Church - Penn. Ave. Baptist,"$2,310,330 ",5,2009,2013,0,PCSB,Howard Road Academy Penn. Ave. (HOWARD ROAD ACADEMY PENN CAMPUS )
1,Howard Road Adademy MLK Ave.  Middle,2405 ML King Ave SE,8,Private -  commercial/retail space,"$1,468,600 ",4,2010,2013,0,PCSB,Howard Road Adademy MLK Ave.  Middle (HOWARD ROAD ACADEMY 1126 - MLK CAMPUS)
1,Ideal Academy Peabody St.,100 Peabody Street NW,4,DCPS - Rabaut MS,"$1,512,212 ",4,2008,2011,0,PCSB,Ideal Academy Peabody St. (IDEAL ACADEMY PCS - PEABODY STREET CAMPUS (Rabaut))
1,Imagine Southeast,3100 ML King Ave SE,8,DCPS - Congress Hts. School (transferred long ago,"$7,943,598 ",6,2009,2014,0,PCSB,Imagine Southeast (now  Democracy Prep)
1,Jo-Arz Academy,220 Taylor Street NE,5,Private - Former convent,"$393,584 ",6,2001,2006,0,PCSB,Jo-Arz Academy
1,KAMIT Institute,100 Peabody Street NW,4,DCPS - Rabaut MS,"$3,537,694 ",10,2001,2010,0,PCSB,KAMIT Institute (KAMIT Institute for Magnificient Achievers; sometimes KIMA))
,KIPP (combined),,,,"$593,162 ",2,2002,2004,0,BOE,KIPP (combined)
