Facility Name,Facility ID,ES Feeder,MS Feeder,HS Feeder,Address Line 1,Address Line 2,City,State,Zip Code,Year Built,Age,Building Sq Footage,Acres,Site Sq Footage,FacilityTypeCode,KeyID,Building Zoning,"School Additions, Modernization",General Comments,Enrollment Capacity,Percent Utilized 2008-2009,Grade Start,Grade End,Building Type,FacilityType
BEERS,206,,Sousa MS,Anacostia HS,"3600 Alabama Avenue, S.E.",,WASHINGTON,DC,20020-2498,1942,68,77500,1.39,60654,ELEM,BEERX0594,R-5-A,"1949, 1969",,448,71,PreS,5th,Active School,SCHOOL
KETCHAM,257,,Kramer MS,Anacostia HS,"1919 15th Street, S.E.",,WASHINGTON,DC,20020-4840,1909,101,88300,1.15,49920,ELEM,KETCX0669,C-2-A,"1940, 1941, 1970",,461,61,PreS,5th,Active School,SCHOOL
KIMBALL,259,,Sousa MS,Anacostia HS,"3375 Minnesota Avenue, S.E.",,WASHINGTON,DC,20019-2238,1942,68,83400,1.48,64478,ELEM,KIMBX0671,R-5-A,"1943, 1966",,474,65,PreK,5th,Active School,SCHOOL
ANACOSTIA ,450,,,,"1601 16th Street, S.E.",,WASHINGTON,DC,20020-5598,1935,75,247000,7.98,347788,SHS,ANACX0587,R-3,1978,,1040,84,9th,12th,Active School,SCHOOL
BALLOU,452,,,,"3401 4th Street, S.E.",,WASHINGTON,DC,20032-5499,1960,50,271300,16.42,715059,SHS,BALLX0590,R-5-A,1970,,1565,80,9th,12th,Active School,SCHOOL
KRAMER,417,,NA,Anacostia HS,"1700 Q Street, S.E.",,WASHINGTON,DC,20020-5599,1943,67,154000,4.76,207239,MS,KRAMX0673,R-3,N/A,,655,52,6th,8th,Active School,SCHOOL
BANNEKER,402,,,,"800 Euclid Street, N.W.",,WASHINGTON,DC,20001-2296,1939,71,180000,13.43,585000,SHS,BANNX0592,R-4,1951,,620,65,9th,12th,Active School,SCHOOL
MOTEN,285,,Kramer MS,Anacostia HS,"1565 Morris Road, S.E.",,WASHINGTON,DC,20020-4423,1955,55,99700,5.19,225922,EMEM,MOTEX0701,R-3,"1959, 1971, 2012",,480,CHECK,PreS,5th,Active School,SCHOOL
ORR,291,,Kramer MS,Anacostia HS,"2200 Minnesota Avenue, S.E.",,WASHINGTON,DC,20020-5398,1974,36,75900,0.82,35502,ELEM,ORRX0706,C-2-A,N/A,,392,74,PreS,5th,Active School,SCHOOL
PLUMMER,299,,Sousa MS,Anacostia HS,"4601 Texas Avenue, S.E.",,WASHINGTON,DC,20019-4125,1959,51,69400,2.48,108067,ELEM,PLUMX0716,R-2,N/A,,481,47,PreS,5th,Active School,SCHOOL
RANDLE HIGHLANDS,316,,Kramer MS,Anacostia HS,"1650 30th Street, S.E.",,WASHINGTON,DC,20020-3725,1912,98,72500,3.56,155216,ELEM,RANDX0721,R-1-B,"1970, 2003 Additional 19,600 sq.ft.","Photo is of the historic old school, not the new school which is adjacent.",520,77,PreS,5th,Active School,SCHOOL
SAVOY,307,,Kramer MS,Anacostia HS,"2400 Shannon Place, S.E.",,WASHINGTON,DC,20020-5898,1968,42,110000,3.56,155080,ELEM,SAVOX0731,R-5-A,Completely modernized with an addition 2009,,450,0,PreS,5th,Active School,SCHOOL
SOUSA,427,,NA,Anacostia HS,"3650 Ely Place, S.E.",,WASHINGTON,DC,20019-3073,1959,51,136000,5.38,234495,MS,SOUSX0742,R-5-A,Completely modernized 2008,,636,37,6th,8th,Active School,SCHOOL
STANTON,319,,Kramer MS,Anacostia HS,"2701 Naylor Road, S.E.",,WASHINGTON,DC,20020-7223,1944,66,83800,5.51,239821,ELEM,STANX0744,C-3-A,1950,,547,62,PreS,5th,Active School,SCHOOL
GARFIELD,238,,Johnson MS,Ballou HS,"2435 Alabama Avenue, S.E.",,WASHINGTON,DC,20020-2700,1910,100,58908,2.89,125929,ELEM,GARFX0643,R-5-A,"1957, 1993",,446,62,PreS,5th,Active School,SCHOOL
MALCOLM X AT GREEN,244,,Johnson MS,Ballou HS,"1500 Mississippi Avenue, S.E.",,WASHINGTON,DC,20032-4430,1965,45,77700,7.11,309892,ELEM,GREEX0649,R-5-A,N/A,,458,71,PreK,5th,Active School,SCHOOL
