LEA Code,LEA Name,School Code,School Name,Total,PK3,PK4,Kindergarten ,1,2,3,4,5,6,7,8,9,10,11,12,Alternative Education,Adult Education ,SPED Level 1,SPED Level 2,SPED Level 3,SPED Level 4,ELL,At Risk ,SPED School 
177,Lee Montessori PCS,228,Lee Montessori PCS,74,36,20,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,10,0
155,Achievement Preparatory Academy PCS,1100,Achievement Preparatory Academy PCS ̐ Middle,381,0,0,0,0,0,0,93,92,96,57,43,0,0,0,0,0,0,17,22,10,2,0,192,0
129,KIPP DC PCS,3071,KIPP DC ̐ Heights Academy PCS,415,0,0,0,108,108,103,96,0,0,0,0,0,0,0,0,0,0,25,20,5,7,0,229,0
129,KIPP DC PCS,214,KIPP DC ̐ Spring Academy PCS,102,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,60,0
180,Harmony DC PCS,245,Harmony DC PCS ̐ School of Excellence,66,0,0,13,9,16,12,13,3,0,0,0,0,0,0,0,0,0,3,4,0,1,0,40,0
170,DC Scholars PCS,3070,DC Scholars PCS,389,57,64,77,46,48,34,41,22,0,0,0,0,0,0,0,0,0,20,14,1,3,0,252,0
129,KIPP DC PCS,1123,KIPP DC ̐ College Preparatory PCS,454,0,0,0,0,0,0,0,0,1,0,0,150,119,104,80,0,0,1,13,33,39,0,232,0
120,Friendship PCS,113,Friendship PCS ̐ Southeast Elementary Academy,576,69,75,69,71,71,73,74,74,0,0,0,0,0,0,0,0,0,19,21,10,6,0,412,0
168,BASIS DC PCS,3068,BASIS DC PCS,551,0,0,0,0,0,0,0,141,155,112,94,27,22,0,0,0,0,19,4,0,0,0,48,0
120,Friendship PCS,186,Friendship PCS ̐ Collegiate Academy,883,0,0,0,0,0,0,0,0,0,0,0,249,224,207,203,0,0,42,67,33,23,0,517,0
120,Friendship PCS,364,Friendship PCS ̐ Chamberlain Middle,343,0,0,0,0,0,0,66,72,67,67,71,0,0,0,0,0,0,14,29,12,4,0,200,0
158,Excel Academy PCS,1211,Excel Academy PCS ̐ LEAD,155,0,0,0,0,0,0,60,44,51,0,0,0,0,0,0,0,0,6,7,12,2,0,100,0
158,Excel Academy PCS,1113,Excel Academy PCS ̐ DREAM,569,98,113,108,86,85,79,0,0,0,0,0,0,0,0,0,0,0,9,8,4,2,0,366,0
146,Thurgood Marshall Academy PCS,191,Thurgood Marshall Academy PCS,395,0,0,0,0,0,0,0,0,0,0,0,136,93,94,72,0,0,12,22,15,1,0,216,0
175,Somerset Preparatory Academy PCS,187,Somerset Preparatory Academy PCS,240,0,0,0,0,0,0,0,0,44,79,70,47,0,0,0,0,0,5,19,10,10,0,160,0
123,Cedar Tree Academy PCS,188,Cedar Tree Academy PCS,358,142,125,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,261,0
142,"SEED Public Charter School of Washington, DC",174,"SEED PCS of Washington, DC",336,0,0,0,0,0,0,0,0,99,80,61,36,23,24,13,0,0,18,31,7,1,0,172,0
156,Center City PCS,1104,Center City PCS ̐ Capitol Hill,239,0,3,21,42,19,26,25,26,28,26,23,0,0,0,0,0,0,7,11,3,2,0,112,0
156,Center City PCS,1105,Center City PCS ̐ Congress Heights,257,0,22,28,27,28,28,29,24,25,25,21,0,0,0,0,0,0,5,12,2,0,0,172,0
129,KIPP DC PCS,132,KIPP DC ̐ LEAP Academy PCS,304,101,103,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,1,0,0,177,0
173,Ingenuity Prep PCS,200,Ingenuity Prep PCS,201,24,49,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,0,1,0,148,0
118,Early Childhood Academy PCS,138,Early Childhood Academy PCS,259,42,46,52,39,42,38,0,0,0,0,0,0,0,0,0,0,0,12,10,0,0,0,167,0
139,Potomac Preparatory PCS,117,Potomac Preparatory PCS,425,55,50,49,37,44,35,32,25,35,33,30,0,0,0,0,0,0,23,10,0,17,0,261,0
137,Options PCS,169,Options PCS,268,0,0,0,0,0,0,0,0,0,22,41,57,36,66,46,0,0,4,29,30,105,0,218,0
117,Eagle Academy PCS,1125,Eagle Academy PCS ̐ New Jersey Avenue,146,41,29,30,20,16,10,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,79,0
129,KIPP DC PCS,1122,KIPP DC ̐ Discover Academy PCS,330,105,110,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,2,0,0,203,0
163,National Collegiate Preparatory PCHS,1120,National Collegiate Preparatory PCHS,306,0,0,0,0,0,0,0,0,0,0,0,79,96,70,61,0,0,3,32,3,2,0,213,0
133,Maya Angelou PCS,137,Maya Angelou PCS ̐ Young Adult Learning Center,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,2,11,2,2,0,1,0
133,Maya Angelou PCS,101,Maya Angelou PCS ̐ High School,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0,9,11,46,22,0,0,0
113,Community Academy PCS,108,Community Academy PCS ̐ CAPCS Online,123,0,0,13,17,12,13,15,10,15,9,19,0,0,0,0,0,0,18,2,1,0,0,43,0
176,Community College Preparatory Academy PCS,216,Community College Preparatory Academy PCS,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,1,0,0,0,0,0,0
178,Academy of Hope Adult PCS,233,Academy of Hope Adult PCS,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,0,0,0,0
129,KIPP DC PCS,116,KIPP DC ̐ AIM Academy PCS,321,0,0,0,0,0,0,0,69,90,89,73,0,0,0,0,0,0,6,47,18,3,1,189,0
103,AppleTree Early Learning PCS,3072,AppleTree Early Learning PCS ̐ Southeast,178,91,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,129,0
167,Richard Wright PCS for Journalism and Media Arts,3067,Richard Wright PCS for Journalism and Media Arts,305,0,0,0,0,0,0,0,0,0,0,23,71,76,72,63,0,0,13,36,7,2,1,225,0
155,Achievement Preparatory Academy PCS,217,Achievement Preparatory Academy PCS ̐ Elementary,267,0,0,67,79,56,65,0,0,0,0,0,0,0,0,0,0,0,12,6,1,4,1,132,0
115,DC Prep PCS,218,DC Prep PCS ̐ Benning Middle,152,0,0,0,0,0,0,76,76,0,0,0,0,0,0,0,0,0,9,8,3,2,1,67,0
115,DC Prep PCS,196,DC Prep PCS ̐ Edgewood Middle,294,0,0,0,0,0,0,75,70,68,49,32,0,0,0,0,0,0,7,12,19,8,1,101,0
179,Democracy Prep Congress Heights PCS,234,Democracy Prep Congress Heights PCS,620,51,51,101,58,103,89,59,55,53,0,0,0,0,0,0,0,0,42,14,7,7,1,436,0
129,KIPP DC PCS,237,KIPP DC ̐ Quest Academy PCS,282,0,0,0,74,69,53,48,38,0,0,0,0,0,0,0,0,0,18,15,3,7,1,176,0
129,KIPP DC PCS,242,KIPP DC ̐ Northeast Academy PCS,126,0,0,0,0,0,0,0,54,72,0,0,0,0,0,0,0,0,2,17,1,2,1,70,0
120,Friendship PCS,362,Friendship PCS ̐ Blow-Pierce Middle,213,0,0,0,0,0,0,42,25,43,40,63,0,0,0,0,0,0,9,20,3,10,1,147,0
120,Friendship PCS,363,Friendship PCS ̐ Chamberlain Elementary,375,34,68,63,62,73,75,0,0,0,0,0,0,0,0,0,0,0,10,7,0,1,1,235,0
120,Friendship PCS,1124,Friendship PCS ̐ Technology Preparatory Academy,499,0,0,0,0,0,0,0,0,115,111,76,60,52,55,30,0,0,21,57,11,1,1,353,0
120,Friendship PCS,366,Friendship PCS ̐ Woodridge Middle,168,0,0,0,0,0,0,33,37,30,35,33,0,0,0,0,0,0,4,18,8,5,1,75,0
129,KIPP DC PCS,189,KIPP DC ̐ KEY Academy PCS,334,0,0,0,0,0,1,0,91,89,80,73,0,0,0,0,0,0,11,9,15,2,1,161,0
126,IDEA PCS,163,IDEA PCS,217,0,0,0,0,0,0,0,0,0,0,0,70,52,53,42,0,0,7,19,12,4,1,165,0
129,KIPP DC PCS,236,KIPP DC ̐ Arts & Technology Academy PCS,212,61,77,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,1,1,129,0
147,Tree of Life PCS,183,Tree of Life PCS,286,27,46,38,35,31,24,23,22,13,15,12,0,0,0,0,0,0,14,6,4,1,2,185,0
117,Eagle Academy PCS,195,Eagle Academy PCS ̐ The Eagle Center at McGogney,774,165,152,142,129,111,75,0,0,0,0,0,0,0,0,0,0,0,40,20,5,18,2,466,0
129,KIPP DC PCS,209,KIPP DC ̐ Connect Academy PCS,301,100,101,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,0,0,2,159,0
103,AppleTree Early Learning PCS,3073,AppleTree Early Learning PCS ̐ Lincoln Park,60,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,5,0
140,Roots PCS,173,Roots PCS,95,17,19,15,12,9,5,9,9,0,0,0,0,0,0,0,0,0,6,1,0,0,2,39,0
127,Ideal Academy PCS,134,Ideal Academy PCS,297,27,39,33,32,36,25,25,25,15,16,24,0,0,0,0,0,0,19,12,1,0,3,185,0
152,Washington Mathematics Science Technology PCHS,178,Washington Mathematics Science Technology PCHS,335,0,0,0,0,0,0,0,0,0,0,0,98,74,87,76,0,0,24,36,9,3,3,222,0
129,KIPP DC PCS,1129,KIPP DC ̐ Grow Academy PCS,312,104,107,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,1,3,140,0
151,Washington Latin PCS,125,Washington Latin PCS ̐ Middle School,366,0,0,0,0,0,0,0,90,91,90,95,0,0,0,0,0,0,21,5,1,2,3,16,0
129,KIPP DC PCS,121,KIPP DC ̐ WILL Academy PCS,344,0,0,0,0,0,0,50,71,73,79,71,0,0,0,0,0,0,13,33,12,8,3,138,0
103,AppleTree Early Learning PCS,1137,AppleTree Early Learning PCS ̐ Oklahoma Ave,161,80,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,80,0
129,KIPP DC PCS,1121,KIPP DC ̐ Promise Academy PCS,400,0,0,0,103,100,106,91,0,0,0,0,0,0,0,0,0,0,23,12,14,6,3,219,0
156,Center City PCS,1108,Center City PCS ̐ Trinidad,236,0,20,21,18,23,24,25,26,27,27,25,0,0,0,0,0,0,13,10,3,0,4,132,0
129,KIPP DC PCS,190,KIPP DC ̐ Lead Academy PCS,302,0,0,0,106,105,91,0,0,0,0,0,0,0,0,0,0,0,7,15,5,0,4,127,0
103,AppleTree Early Learning PCS,141,AppleTree Early Learning PCS ̐ Southwest,86,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,41,0
151,Washington Latin PCS,1118,Washington Latin PCS ̐ Upper School,304,0,0,0,0,0,0,0,0,0,0,0,86,86,68,64,0,0,23,7,0,1,6,70,0
120,Friendship PCS,361,Friendship PCS ̐ Blow-Pierce Elementary,379,57,66,77,69,68,42,0,0,0,0,0,0,0,0,0,0,0,10,3,0,1,6,289,0
131,YouthBuild PCS,128,YouthBuild PCS,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,3,5,2,0,7,0,0
