"projectType","lifetimeBudget"
"MISC",1540390
"HEALTHY SCHOOL YARDS",1802871
"SPECIAL PROJECTS",1849418
"PLANNING",2176539
"SELECTIVE ADDITIONS/NEW CONSTRUCTION LAB",2240895
"A/C REPLACEMENTS",2444181
"MODERNIZATION/RENOVATION",2901248
"PLUMBING",3515373
"MIDDLE SCHOOLS IT/ARTS AND SCIENCES PROJ",4081644
"SPECIAL EDUCATION CLASSROOMS",4442959
"ENERGY CONSERVATION",5961985
"EQUIPMENT MASTER LEASE - LAIDLAW",7684839
"ENTERPRISE RESOURCE PLANNING",9555357
"ONGOING INITIATIVES",10836347
"MAJOR EQUIPMENT ACQUISITION & LEASE",12538375
"ADA COMPLIANCE",16472228
"NEW TECHNOLOGY CENTER",17678162
"TARGETED REPAIR INITIATIVE",26680940
"ONGOING INITIATIVES",32570942
"LIFE SAFETY CODE COMPLIANCE",36604685
"ATHLETIC FAC. IMPROVEMENT",46008450
"INFO TECHNOLOGY",46978107
"CARPET REPLACEMENT",57495682
"WINDOW REPLACEMENT",62293019
"ELECTRICAL UPGRADES & MODS",62417960
"GENERAL SMALL CAPITAL PROJECTS",65687953
"CLOSINGS",67463965
"HVAC REPLACEMENT",75730940
"PROGRAM/PROJ MANAGEMENT & FEES",77018052
"MAJOR REPAIRS/MAINTENANCE",78070570
"ROOF REPAIRS & REPLACEMENTS",113667406
"BOILER REPAIRS - AND REPLACEMENTS",142271057
