"SchoolCode","School","Address","maxOccupancy","totalSQFT","Latitude","Longitude","Ward","Feeder","Level","TotalExp9815","TotalAllot1621","LifetimeBudget","Agency","Total.Enrolled","Limited.English.Proficient","Level.1","Level.2","Level.3","Level.4","At_Risk","SPED","AtRiskPer","SPEDPer","SqFtPerEnroll","LTBudgetPerEnroll","LTBudgetPerSqFt","ESLPer"
"217","Achievement Preparatory PCS (Elementary School)","1500 Mississippi Avenue, SE",NA,23302,"38.83432822","-76.99226882","8",NA,"Elementary",NA,NA,NA,"PCS","267","1","12","6","1","4","132",23,0.49438202247191,0.0861423220973783,87.2734082397004,NA,NA,0.00374531835205993
"1100","Achievement Preparatory PCS (Middle School)","908 Wahler Place, SE",519,33177,"38.8416454","-76.98339857","8",NA,"Middle",NA,NA,NA,"PCS","381","0","17","22","10","2","192",51,0.503937007874016,0.133858267716535,87.0787401574803,NA,NA,0
"140","AppleTree Early Learning Center PCS - Columbia Heights","2750 14th Street, NW ",188,12204,"38.92524403","-77.03274382","1",NA,"Elementary",NA,NA,NA,"PCS","163","37","7","3","0","0","58",10,0.355828220858896,0.0613496932515337,74.8711656441718,NA,NA,0.226993865030675
"3073","AppleTree Early Learning Center PCS -  Lincoln Park","138 12th Street, NE",73,8975,"38.89151343","-76.99053567","6",NA,"Elementary",NA,NA,NA,"PCS","60","2","5","0","0","0","5",5,0.0833333333333333,0.0833333333333333,149.583333333333,NA,NA,0.0333333333333333
"1137","AppleTree Early Learning Center PCS - Oklahoma Avenue","320 21st Street, NE",218,15866,"38.89459581","-76.97558295","7",NA,"Elementary",NA,NA,NA,"PCS","161","3","4","0","0","0","80",4,0.496894409937888,0.0248447204968944,98.5465838509317,NA,NA,0.0186335403726708
"141","AppleTree Early Learning Center PCS - Southwest","801 7th Street, SW",158,6162,"38.8795154","-77.0181253","6",NA,"Elementary",NA,NA,NA,"PCS","86","4","2","0","0","0","41",2,0.476744186046512,0.0232558139534884,71.6511627906977,NA,NA,0.0465116279069767
"3072","AppleTree Early Learning PCS - Southeast","2017 Savannah Terrace, SE",110,9677,"38.84876326","-76.9749201","8",NA,"Elementary",NA,NA,NA,"PCS","178","1","2","0","0","2","129",4,0.724719101123595,0.0224719101123595,54.3651685393258,NA,NA,0.00561797752808989
"3068","BASIS DC PCS","410 8th Street, NW",1062,44179,"38.89521439","-77.0232213","2",NA,"Middle",NA,NA,NA,"PCS","551","0","19","4","0","0","48",23,0.0871143375680581,0.0417422867513612,80.1796733212341,NA,NA,0
"142","Bridges PCS","1250 Taylor Street, NW",89,3900,"38.94050005","-77.02862381","4",NA,"Elementary",NA,NA,NA,"PCS","272","102","34","5","1","37","93",77,0.341911764705882,0.283088235294118,14.3382352941176,NA,NA,0.375
"188","Cedar Tree Academy PCS","701 Howard Road, SE",650,31000,"38.86421603","-76.99919401","8",NA,"Elementary",NA,NA,NA,"PCS","358","0","8","1","0","0","261",9,0.729050279329609,0.0251396648044693,86.5921787709497,NA,NA,0
