"Agency","maxOccupancy","Level","MajorExp9815","TotalAllotandPlan1621","LifetimeBudget","FeederMS","FeederHS","AtRiskPer","SpentPerMaxOccupancy","SpentPerSqFt","Open_Now","AnnualExpenseAverage","AnnualSpentPerMaxOccupany","AnnualSpentPerSqFt","Ward","School"
"PCS",NA,"MS","16948761",5679432,NA,NA,NA,0.673267326732673,55936.5049504951,549.036637512148,1,1694876.1,5593.65049504951,54.9036637512148,"7","Cesar Chavez Parkside Middle "
"PCS",957,"ES","13482960",11058960,NA,NA,NA,0.442372881355932,22852.4745762712,245.144727272727,1,1348296,2285.24745762712,24.5144727272727,"4","Community Academy Amos I"
"PCS",1020,"ES","7549324",9803112,NA,NA,NA,0.520076481835564,14434.6539196941,75.49324,1,754932.4,1443.46539196941,7.549324,"5","Community Academy Butler Global"
"PCS",217,"ES/MS","3128675",2305512,NA,NA,NA,0.349593495934959,25436.3821138211,155.655472636816,1,347630.555555556,2826.26467931346,17.2950525152018,"4","Community Academy CAPCS Online"
"PCS",834,"HS","3379632",6672864,NA,NA,NA,0.640449438202247,9493.34831460674,93.839566847147,1,1126544,3164.44943820225,31.2798556157157,"7","Cesar Chavez Parkside Upper"
"PCS",950,"ES","17344193",10796544,NA,NA,NA,0.715277777777778,30111.4461805556,296.284408684808,1,1445349.41666667,2509.28718171296,24.6903673904007,"8","Friendship SouthEast Academy"
"PCS",540,"ES/MS","9509758",9690648,NA,NA,NA,0.51063829787234,18394.1160541586,283.273003485151,1,1188719.75,2299.26450676983,35.4091254356439,"5","Hope Community Tolson Campus"
"PCS",435,"MS","8215644",5510736,NA,NA,NA,0.391156462585034,27944.3673469388,391.818199160626,1,821564.4,2794.43673469388,39.1818199160626,"1","Howard University Middle School of Math and Science "
"PCS",650,"ES/MS","7783669",7966200,NA,NA,NA,0.614117647058824,18314.5152941176,185.254879093679,1,778366.9,1831.45152941176,18.5254879093679,"5","Potomac Preparatory "
"PCS",835,"MS","6687433",5698176,NA,NA,NA,0.0437158469945355,18271.674863388,190.851398401826,1,955347.571428571,2610.23926619828,27.2644854859752,"4","Washington Latin Middle"
"PCS",420,"MS","6096304",6204264,NA,NA,NA,0.513595166163142,18417.836858006,169.064699520231,1,762038,2302.22960725076,21.1330874400288,"1","Cesar Chavez Chavez Prep"
"PCS",100,"ALT","2747123",2099328,NA,NA,NA,0,24527.8839285714,234.616363481083,1,274712.3,2452.78839285714,23.4616363481083,"1","Youthbuild "
"PCS",499,"ES","9341738",NA,NA,NA,NA,0.456018518518519,21624.3935185185,186.648111888112,1,1167717.25,2703.04918981481,23.331013986014,"5","DC Preparatory Edgewood Elementary Campus "
"PCS",500,"ES","8335030",6710352,NA,NA,NA,0.41340782122905,23282.2067039106,203.293414634146,1,1041878.75,2910.27583798883,25.4116768292683,"4","Hope Community Lamond Campus"
