"School_ID","Agency","Address","maxOccupancy","Level","totalSQFT","MajorExp9815","TotalAllotandPlan1621","LifetimeBudget","unqBuilding","longitude","latitude","Ward","FeederMS","FeederHS","Total_Enrolled","Limited_English","At_Risk","SPED","AtRiskPer","SPEDPer","ESLPer","SpentPerMaxOccupancy","SpentPerSqFt","Open_Now","ProjectType","School"
202,"DCPS","533 48th Pl  NE",442,"ES",57100,8916,12115000,12123916,1,-76.933700916,38.897001477,7,"Kelly Miller MS","Woodson HS",262,1,214,42,0.816793893129771,0.16030534351145,0.00381679389312977,20.1719457013575,0.15614711033275,1,"Stabilized","Aiton Elementary"
203,"DCPS","401 Eye St  SW",400,"ES",70800,5993305,0,5993305,1,-77.018125299,38.879515067,6,"Jefferson Acad. MS","Eastern HS",345,6,254,90,0.736231884057971,0.260869565217391,0.0173913043478261,14983.2625,84.6512005649717,1,"Partial Modernization","Amidon-Bowen Elementary"
450,"DCPS","1601 16th St  SE",837,"HS",204992,68228069,0,68228069,1,-76.983077254,38.870083725,8,"","",661,0,586,186,0.886535552193646,0.281391830559758,0,81515.0167264038,332.83283737902,1,"Full Modernization","Anacostia High"
452,"DCPS","3401 4th St  SE",1520,"HS",356000,141737725,4007,141741732,0,-77.000975263,38.839382331,8,".","",755,0,644,276,0.852980132450331,0.365562913907285,0,93248.5032894737,398.139676966292,1,"Full Replacement","Ballou High"
462,"DCPS","3401 4th St  SE",NA,"ADULT",NA,NA,0,NA,0,-77.000975263,38.839382331,8,NA,NA,591,0,0,52,0,0.0879864636209814,0,NA,NA,1,NA,"Ballou STAY"
204,"DCPS","1755 Newton St  NW",563,"ES",79792,1446450,59943000,61389450,1,-77.040553444,38.934318023,1,"Deal MS","Wilson HS",508,279,181,54,0.356299212598425,0.106299212598425,0.549212598425197,2569.18294849023,18.1277571686385,1,"Full Modernization","Bancroft Elementary"
205,"DCPS","430 Decatur St  NW",486,"ES",72496,17867772,0,17867772,1,-77.01777708,38.948230613,4,"Truesdell or West EC (6th-8th)","Roosevelt HS",602,193,284,72,0.471760797342193,0.119601328903654,0.320598006644518,36764.962962963,246.465625689693,1,"Full Replacement","Barnard Elementary"
206,"DCPS","3600 Alabama Ave  SE",430,"ES",77488,14813933,-24188,14789745,1,-76.95560475,38.864349505,7,"Sousa MS","Anacostia HS",438,1,243,79,0.554794520547945,0.180365296803653,0.00228310502283105,34451.0069767442,191.177124199876,1,"Partial Modernization","Beers Elementary"
402,"DCPS","800 Euclid St  NW",620,"HS",180000,671104,77074000,77745104,1,-77.023976968,38.923832421,1,"","",449,3,113,0,0.251670378619154,0,0.0066815144766147,1082.42580645161,3.72835555555556,1,"Stabilized","Benjamin Banneker High"
212,"DCPS","301 North Carolina Ave  SE",369,"ES",47500,4475354,0,4475354,1,-77.00145985,38.884800874,6,"Jefferson Acad. MS","Eastern HS",368,5,23,22,0.0625,0.0597826086956522,0.0135869565217391,12128.3306233062,94.2179789473684,1,"Partial Modernization","Brent Elementary"
