Agency,School,Address,maxOccupancy,ProjectPhase,YrComplete,Level,totalSQFT,ProjectType,MajorExp9815,TotalAllotandPlan1621,LifetimeBudget,unqBuilding,longitude,latitude,Ward,FeederMS,FeederHS,Total.Enrolled,Limited.English.Proficient,At_Risk,SPED,AtRiskPer,SPEDPer,ESLPer,SqFtPerEnroll,SpentPerMaxOccupancy,SpentPerSqFt,YearsOpen,Open,Open.Now,AnnualExpenseAverage,AnnualSpentPerMaxOccupany,AnnualSpentPerSqFt,
PCS,Academy of Hope Adult PCS,"
421 Alabama Avenue, SE",186,NA,NA,ADULT," 	21,375 ",Facility Allowance,786432,NA,NA,0,-76.9998836,38.842743,8,NA,NA,256,0,0,0,0,0,0,83,4228.12903225806,37,1,2015,1,786432,4228.12903225806,36.7921403508772,
PCS,Academy of Hope Adult PCS,"601 Edgewood Street, NE",186,NA,NA,ADULT," 	21,375 ",Facility Allowance,786432,NA,NA,0,-76.9971713,38.9237975,5,NA,NA,256,0,0,0,0,0,0,83,4228.12903225806,37,1,2015,1,786432,4228.12903225806,36.7921403508772,
PCS,Achievement Preparatory PCS-Elementary,"1500 Mississippi Avenue, SE",NA,NA,NA,ES," 	23,302 ",Facility Allowance,3963509,NA,NA,1,-76.9836028,38.8416964,8,NA,NA,267,1,132,23,0.49438202247191,0.0861423220973783,0.00374531835205993,87,NA,170,7,2009,1,566215.571428571,NA,24.2990117341246,
PCS,Achievement Preparatory PCS-Middle School,"908 Wahler Place, SE",519,NA,NA,MS," 	33,177 ",Facility Allowance,2316432,NA,NA,1,-76.9924085,38.834427,8,NA,NA,381,0,192,51,0.503937007874016,0.133858267716535,0,87,4463.26011560694,70,2,2014,1,1158216,2231.63005780347,34.9102088796455,
DCPS,Aiton ES,533 48th Pl  NE,442,Phase 0,NA,ES," 	57,100 ",STABILIZED,8916,12115000,14515000,1,-76.933700916,38.897001477,7,Kelly Miller MS,Woodson HS,262,1,214,42,0.816793893129771,0.16030534351145,0.00381679389312977,218,20.1719457013575,0,NA,NA,1,NA,NA,NA,
DCPS,Amidon-Bowen ES,401 Eye St  SW,400,Phase I,2012,ES," 	70,800 ",PARTIAL MOD,5993305,0,5993305,1,-77.018125299,38.879515067,6,Jefferson Acad. MS,Eastern HS,345,6,254,90,0.736231884057971,0.260869565217391,0.0173913043478261,205,14983.2625,85,NA,NA,1,NA,NA,NA,
DCPS,Anacostia HS,1601 16th St  SE,837,Full,2012,HS," 	204,992 ",FULL MOD," $	68,228,069 ",0,68860993,1,-76.983077254,38.870083725,8,,,661,0,586,186,0.886535552193646,0.281391830559758,0,310,81515.0167264038,333,NA,NA,1,NA,NA,NA,
PCS,AppleTree Early Learning Center PCS Columbia Heights,"2750 14th Street, NW ",188,NA,NA,PK3-K," 	12,204 ",Facility Allowance,3156647,NA,NA,1,-77.0326704,38.9252369,1,NA,NA,163,37,58,10,0.355828220858896,0.0613496932515337,0.226993865030675,75,16790.6755319149,259,8,2008,1,394580.875,2098.83444148936,32.3320939855785,
PCS,AppleTree Early Learning Center PCS Lincoln Park,"138 12th Street, NE",73,NA,NA,PK3-K," 	8,975 ",Facility Allowance,1182840,NA,NA,1,-76.9905578,38.8914903,6,NA,NA,60,2,5,5,0.0833333333333333,0.0833333333333333,0.0333333333333333,150,16203.2876712329,132,8,2008,1,147855,2025.41095890411,16.4740947075209,
PCS,AppleTree Early Learning Center PCS Oklahoma,"320 21st Street, NE",218,NA,NA,PK3-K," 	15,866 ",Facility Allowance,2327592,NA,NA,1,-76.9750541,38.8940003,7,NA,NA,161,3,80,4,0.496894409937888,0.0248447204968944,0.0186335403726708,99,10677.0275229358,147,5,2011,1,465518.4,2135.40550458716,29.3406277574688,
