"MajorExp9815","YearsOpen","Open","Open.Now","School","Total.Enrolled","Limited.English.Proficient","At_Risk","SPED","Level","Address","maxOccupancy","totalSQFT","unqBuilding","longitude","latitude","Ward","TotalAllotandPlan1621","LifetimeBudget","FeederMS","FeederHS","ProjectPhase","YrComplete","ProjectType","Agency","AtRiskPer","SPEDPer","ESLPer","SqFtPerEnroll","SpentPerMaxOccupancy","SpentPerSqFt","AnnualExpenseAverage","AnnualSpentPerMaxOccupany","AnnualSpentPerSqFt"
3963509,7,2009,1,"Achievement Preparatory PCS-Elementary",267,1,132,23,"ES","1500 Mississippi Avenue, SE",NA,23302,1,-76.9836028,38.8416964,"8",NA,NA,NA,NA,NA,NA,NA,"PCS",0.49438202247191,0.0861423220973783,0.00374531835205993,87.2734082397004,NA,170.093082138872,566215.571428571,NA,24.2990117341246
2316432,2,2014,1,"Achievement Preparatory PCS-Middle School",381,0,192,51,"MS","908 Wahler Place, SE",519,33177,1,-76.9924085,38.834427,"8",NA,NA,NA,NA,NA,NA,NA,"PCS",0.503937007874016,0.133858267716535,0,87.0787401574803,4463.26011560694,69.8204177592911,1158216,2231.63005780347,34.9102088796455
3156647,8,2008,1,"AppleTree Early Learning Center PCS Columbia Heights",163,37,58,10,"PK3-K","2750 14th Street, NW ",188,12204,1,-77.0326704,38.9252369,"1",NA,NA,NA,NA,NA,NA,NA,"PCS",0.355828220858896,0.0613496932515337,0.226993865030675,74.8711656441718,16790.6755319149,258.656751884628,394580.875,2098.83444148936,32.3320939855785
2327592,5,2011,1,"AppleTree Early Learning Center PCS Oklahoma",161,3,80,4,"PK3-K","320 21st Street, NE",218,15866,1,-76.9750541,38.8940003,"7",NA,NA,NA,NA,NA,NA,NA,"PCS",0.496894409937888,0.0248447204968944,0.0186335403726708,98.5465838509317,10677.0275229358,146.703138787344,465518.4,2135.40550458716,29.3406277574688
4766091,7,2009,1,"Center City Brightwood Campus PCS",248,55,80,26,"ES/MS","6008 Georgia Avenue, NW",567,37010,1,-77.02838,38.9631991,"4",NA,NA,NA,NA,NA,NA,NA,"PCS",0.32258064516129,0.104838709677419,0.221774193548387,149.233870967742,8405.80423280423,128.778465279654,680870.142857143,1200.82917611489,18.3969236113792
4699097,7,2009,1,"Center City Capitol Hill Campus PCS",239,0,112,23,"ES/MS","1503 East Capitol Street, SE",534,40037,1,-76.9835459,38.8897865,"6",NA,NA,NA,NA,NA,NA,NA,"PCS",0.468619246861925,0.096234309623431,0,167.518828451883,8799.80711610487,117.368858805605,671299.571428571,1257.1153023007,16.7669798293721
4770011,7,2009,1,"Center City Congress Heights Campus PCS",257,0,172,19,"ES/MS","220 Highview Place, SE",341,27000,1,-77.0045487,38.8415048,"8",NA,NA,NA,NA,NA,NA,NA,"PCS",0.669260700389105,0.0739299610894942,0,105.058365758755,13988.3020527859,176.667074074074,681430.142857143,1998.3288646837,25.2381534391534
4949770,7,2009,1,"Center City Petworth Campus PCS",262,53,97,19,"ES/MS","510 Webster Street, NW",425,30825,1,-77.0208684,38.9437731,"4",NA,NA,NA,NA,NA,NA,NA,"PCS",0.370229007633588,0.0725190839694656,0.202290076335878,117.652671755725,11646.5176470588,160.576480129765,707110,1663.78823529412,22.939497161395
4824166,7,2009,1,"Center City Shaw Campus PCS",241,34,113,29,"ES/MS","711 N Street, NW",350,29240,1,-77.0224536,38.9074837,"2",NA,NA,NA,NA,NA,NA,NA,"PCS",0.468879668049793,0.120331950207469,0.141078838174274,121.327800829876,13783.3314285714,164.985157318741,689166.571428571,1969.04734693878,23.5693081883916
4651663,7,2009,1,"Center City Trinidad Campus PCS",236,4,132,26,"ES/MS","1217 W  Virginia Avenue, NE",434,23313,1,-76.991479,38.905386,"5",NA,NA,NA,NA,NA,NA,NA,"PCS",0.559322033898305,0.110169491525424,0.0169491525423729,98.7838983050847,10718.1175115207,199.530862608845,664523.285714286,1531.15964450296,28.5044089441207
6096304,8,2008,1,"Cesar Chavez PCS Chavez Prep",331,94,170,48,"MS","770 Kenyon Street, NW",420,36059,1,-77.025605,38.929581,"1",NA,NA,NA,NA,NA,NA,NA,"PCS",0.513595166163142,0.145015105740181,0.283987915407855,108.939577039275,14515.0095238095,169.064699520231,762038,1814.37619047619,21.1330874400288
