"Agency","School","SCHOOLCODE","School.Short","Address","Facility.School.Short","Facility.School","SCHOOLNAME","LON","LAT","school.name.F","SchoolFullName","School.Name"
"DCPS","Aiton Elementary School","202","Aiton ES","533 48th Pl  NE","Aiton","aiton elementary school","Aiton ES",-76.933700916,38.897001477,"AITON","Aiton Elementary School","Aiton ES"
"DCPS","Bancroft Elementary School","204","Bancroft ES","1755 Newton St  NW","Bancroft","bancroft elementary school","Bancroft ES",-77.040553444,38.934318023,"BANCROFT","Bancroft Elementary School","Bancroft ES"
"DCPS","Barnard Elementary School","205","Barnard ES","430 Decatur St  NW","Barnard","barnard elementary school","Barnard ES",-77.01777708,38.948230613,"BARNARD","Barnard Elementary School","Barnard ES"
"DCPS","Beers Elementary School","206","Beers ES","3600 Alabama Ave  SE","Beers","beers elementary school","Beers ES",-76.95560475,38.864349505,"BEERS","Beers Elementary School","Beers ES"
"DCPS","Brent Elementary School","212","Brent ES","301 North Carolina Ave  SE","Brent","brent elementary school","Brent ES",-77.00145985,38.884800874,"BRENT","Brent Elementary School","Brent ES"
"DCPS","Brightwood Education Campus","213","Brightwood EC","1300 Nicholson St NW","Brightwood","brightwood education campus","Brightwood EC",-77.030688846,38.960535392,"BRIGHTWOOD","Brightwood Education Campus","Brightwood EC"
"DCPS","Browne Education Campus","404","Browne EC","850 26th St  NE","Browne","browne education campus","Browne EC",-76.970667058,38.902598548,"BROWNE PK3-8","Browne Education Campus","Browne EC"
"DCPS","Burroughs Education Campus","220","Burroughs ES","1820 Monroe St  NE","Burroughs","burroughs education campus","Burroughs ES",-76.97845637,38.933502326,"BURROUGHS","Burroughs Education Campus","Burroughs EC"
"DCPS","Burrville Elementary School","221","Burrville ES","801 Division Ave  NE","Burrville","burrville elementary school","Burrville ES",-76.92445918,38.900565431,"BURRVILLE","Burrville Elementary School","Burrville ES"
"DCPS","C.W. Harris Elementary School","247","C W Harris ES","301 53rd St  SE","CW HARRIS","c w harris elementary school","C.W. Harris ES",-76.926115499,38.883598497,"HARRIS, C.W.","C.W. Harris Elementary School","C W  Harris ES"
"DCPS","Cleveland Elementary School","224","Cleveland ES","1825 8th St  NW","Cleveland","cleveland elementary school","Cleveland ES",-77.022707176,38.915144954,"CLEVELAND","Cleveland Elementary School","Cleveland ES"
"DCPS","Drew Elementary School","231","Drew ES","5600 Eads St  NE","Drew","drew elementary school","Drew ES",-76.919927008,38.89599364,"DREW","Drew Elementary School","Drew ES"
"DCPS","Eaton Elementary School","407","Eaton ES","3301 Lowell St  NW","Eaton","eaton elementary school","Eaton ES",-77.065821138,38.932726738,"ELIOT-HINE","Eaton Elementary School","Eliot Hine MS"
"DCPS","Garfield Elementary School","238","Garfield ES","2435 Alabama Ave  SE","Garfield","garfield elementary school","Garfield ES",-76.970804777,38.851733042,"GARFIELD","Garfield Elementary School","Garfield ES"
"DCPS","Garrison Elementary School","239","Garrison ES","1200 S St  NW","Garrison","garrison elementary school","Garrison ES",-77.028612556,38.913900957,"GARRISON","Garrison Elementary School","Garrison ES"
"DCPS","Hendley Elementary School","249","Hendley ES","425 Chesapeake St  SE","Hendley","hendley elementary school","Hendley ES",-76.999184846,38.82898558,"HENDLEY","Hendley Elementary School","Hendley ES"
"DCPS","Houston Elementary School","251","Houston ES","1100 50th Pl  NE","Houston","houston elementary school","Houston ES",-76.929947647,38.905414986,"HOUSTON","Houston Elementary School","Houston ES"
"DCPS","Hyde-Addison Elementary School","252","Hyde Addison ES","3219 O St  NW","HYDE-ADDISON","hyde addison elementary school","Hyde-Addison ES",-77.064537819,38.908019234,"HYDE-ADDISON","Hyde-Addison Elementary School","Hyde Addison ES"
"DCPS","J.O. Wilson Elementary School","339","J O Wilson ES","660 K Street NE","JO WILSON","j o wilson elementary school","J.O. Wilson ES",-76.996589022,38.902757665,"WILSON, J.O.","J.O. Wilson Elementary School","J O Wilson ES"
"DCPS","Janney Elementary School","254","Janney Elementary","4130 Albemarle St  NW","Janney","janney elementary school","Janney ES",-77.080994825,38.947550086,"JANNEY","Janney Elementary School","Janney ES"
"DCPS","Ketcham Elementary School","257","Ketcham ES","1919 15th St  SE","Ketcham","ketcham elementary school","Ketcham ES",-76.983621162,38.86604236,"KETCHAM","Ketcham Elementary School","Ketcham ES"
"DCPS","Key Elementary School","272","Key Elementary","5001 Dana Pl  NW","Key","key elementary school","Key ES",-77.100527318,38.926801504,"KEY","Key Elementary School","Key ES"
"DCPS","Kimball Elementary School","259","Kimball ES","3375 Minnesota Ave  SE","Kimball","kimball elementary school","Kimball ES",-76.957572707,38.883082756,"KIMBALL","Kimball Elementary School","Kimball ES"
"DCPS","Lafayette Elementary School","261","Lafayette ES","5701 Broad Branch Rd  NW","Lafayette","lafayette elementary school","Lafayette ES",-77.068037122,38.96662722,"LAFAYETTE","Lafayette Elementary School","Lafayette ES"
"DCPS","Langdon Education Campus","262","Langdon ES","1900 Evarts St  NE","Langdon","langdon education campus","Langdon ES",-76.977081855,38.924703828,"LANGDON","Langdon Education Campus","Langdon EC"
"DCPS","Leckie Elementary School","266","Leckie ES","4201 M L  King Ave  SW","Leckie","leckie elementary school","Leckie ES",-77.012891913,38.828196449,"LECKIE","Leckie Elementary School","Leckie ES"
"DCPS","Ludlow-Taylor Elementary School","271","Ludlow Taylor ES","659 G St  NE","Ludlow-Taylor","ludlow taylor elementary school","Ludlow-Taylor ES",-76.996492494,38.898743808,"LUDLOW-TAYLOR","Ludlow-Taylor Elementary School","Ludlow Taylor ES"
"DCPS","Mann Elementary School","273","Mann ES","4430 Newark St NW","Mann","mann elementary school","Mann ES",-77.087826194,38.934291971,"MANN","Mann Elementary School","Mann ES"
