OBJECTID,GIS_ID,SQR_NUM,SHAPE_Length,SHAPE_Area
1,201,2535,321.17251,6171.46533
2,202,5146,707.48049,22935.107296
3,203,498,644.236006,19357.301575
4,204,3619,440.229232,11103.358426
5,205,3250,528.770074,16543.877129
6,206,5668,593.591453,18545.950451
7,207,5084,767.326505,26866.786662
8,208,5862,693.922958,27440.574256
9,211,595,539.509855,8635.393674
10,212,792,365.008907,5325.232457
11,213,2794,507.70018,14328.533194
12,219,4166,581.347995,17509.276551
13,220,4203,703.871528,22129.146211
14,221,5207,413.822548,9567.760499
15,223,3139,627.931345,22921.379623
16,224,417,215.310136,2496.104968
17,226,616,384.398865,8979.896309
18,227,576,326.967698,6543.472091
19,229,5360,567.619215,13318.396001
20,230,5926,592.142581,20042.663012
21,231,5226,332.766278,6998.241899
22,232,2008,318.8,6343.375696
23,235,3530,1452.277201,96730.0049
24,238,5725,434.181311,11108.793302
25,239,276,180.134,2017.319952
26,240,4531,348.682588,7119.22984
27,171,912,435.887012,8932.592584
28,271,860,480.17695,11580.680671
29,243,80,298.452,3492.512987
30,246,361,297.573894,3548.29622
31,247,0,468.313382,13225.415943
32,249,0,520.96893,12135.360709
33,251,0,601.173201,19366.296566
34,425,0,563.148472,19307.050469
35,256,0,501.478695,15234.305678
36,277,0,558.64557,13899.641249
37,255,0,180.598766,1849.622282
38,471,0,445.048154,11763.42053
39,252,0,347.652333,5809.106052
40,287,0,393.864433,9386.295612
41,405,0,859.619578,37584.11681
42,463,0,1001.310289,50933.940979
43,254,0,513.933401,14731.658373
44,257,0,432.75794,9114.734163
45,433,0,239.815558,3561.856017
46,450,0,815.007852,36990.147514
47,307,0,570.708326,15211.854079
48,273,0,533.999668,15242.988528
49,258,0,511.818219,15185.612866
50,259,0,3625.013867,592922.080577
51,288,0,648.068308,24937.648284
52,299,0,413.558655,10360.165131
53,304,0,565.371462,18122.774733
54,322,0,316.746708,5805.244601
55,334,0,1481.908719,87484.760125
56,348,0,968.893731,55550.944655
57,421,0,640.256501,24324.923121
58,261,0,631.5692,21809.618748
59,262,0,454.610272,9452.470488
60,290,0,429.337599,11196.905622
61,311,0,286.414579,3675.575662
62,335,0,655.332413,26317.959496
63,342,0,362.956583,8339.372161
64,346,0,345.270799,6339.555985
65,481,0,287.857092,4888.804929
66,884,0,303.24518,5513.032321
67,1000,0,1048.098628,35959.289631
68,1015,0,476.80617,8179.230084
69,268,0,326.426199,4632.740066
70,278,0,438.953302,11574.003261
71,281,0,543.89765,12815.870548
72,282,0,400.42409,8747.731493
73,309,0,478.256031,14461.837135
74,402,0,613.689215,16191.970431
75,410,0,297.782592,4763.80247
76,432,0,585.621827,16424.965493
77,451,0,419.433834,10593.792562
78,467,0,906.81008,40833.775999
79,454,0,772.777044,36307.93996
80,1004,0,236.01307,3294.648675
81,242,0,448.801366,11198.370646
82,269,0,435.988555,10528.581873
83,339,0,491.999342,12148.083025
84,428,0,344.491438,6985.556793
85,1002,0,179.389567,2010.150543
86,272,0,458.467554,12394.844244
87,341,0,1578.346513,101789.290445
88,274,0,384.023011,6836.630332
89,280,0,493.976687,13237.554642
90,295,0,511.551621,14300.836415
91,333,0,504.034306,15734.801316
92,407,0,618.015192,21538.467508
93,457,0,731.602545,24708.687492
94,414,0,489.976997,13139.347645
95,418,0,410.906542,9222.054691
96,244,0,1193.879838,48733.455082
97,308,0,702.585629,22411.407227
98,465,0,407.435891,10217.847856
99,306,0,621.714824,22450.319903
100,264,0,672.301485,27374.277886
101,401,0,596.041516,19782.363237
102,1012,0,310.627322,5899.21779
103,1022,0,674.281535,28582.886587
104,352,0,1126.224656,57966.333496
105,266,0,942.122492,39310.990434
106,294,0,437.394182,10310.582403
107,353,0,538.498847,17347.773044
108,344,0,432.469887,9078.094854
109,452,0,1247.315232,71874.495752
110,315,0,529.346004,16679.391508
111,413,0,566.51724,18387.688728
112,275,0,616.890332,21665.914665
113,343,0,984.460098,41866.341556
114,1005,0,296.123783,3738.109709
115,284,0,874.729391,23546.028585
116,305,0,188.047317,1960.255698
117,285,0,608.99155,18360.746357
118,354,0,515.856117,15379.725702
119,406,0,837.728725,38081.381749
120,416,0,1236.692533,41678.387799
121,417,0,635.659914,22860.572672
122,291,0,446.303632,10962.441295
123,292,0,232.692501,3296.929586
124,293,0,333.877698,6242.02596
125,296,0,445.627496,11288.862562
126,302,0,662.612144,24839.121577
127,328,0,381.366711,9086.284843
