Agency,MajorExp9815,TotalAllotandPlan1621,School,ProjectType,SubProject,Operator,,
Multischool,45890311.13,34122121.09,NA,FULL MOD,Windows,NA,,
Multischool,54583892.58,34278221.69,NA,FULL MOD + ADD,Doors,NA,,
Multischool,55798599.89,4818818.268,NA,FULL REPLACEMENT,Paint,NA,,
Multischool,49567287.28,38648921.87,NA,PARTIAL MOD,Brick,NA,,
Multischool,10885202.29,39141118.25,NA,PARTIAL MOD + ADD,Floors,NA,,
Multischool,58088891.24,28660634.01,NA,STABILIZED,Ceiling,NA,,
Multischool,3233386.288,25638936.87,NA,FULL MOD,Roof,NA,,
Multischool,59459441.03,37716870.36,NA,FULL MOD + ADD,Tech,NA,,
Multischool,42848837.38,36870433.45,NA,FULL REPLACEMENT,Appliances,NA,,
Multischool,45924196.7,49786742.33,NA,PARTIAL MOD,Classroom,NA,,
Multischool,26850529.31,44894623.52,NA,PARTIAL MOD + ADD,Dummy1,NA,,
Multischool,3921835.606,26498585.29,NA,STABILIZED,Dummy2,NA,,
Multischool,39669487.4,41553873.5,NA,FULL MOD,Dummy3,NA,,
Multischool,47700995.54,51171053.18,NA,FULL MOD + ADD,Dummy4,NA,,
Multischool,32956080.85,32315191.01,NA,FULL REPLACEMENT,Dummy5,NA,,
Multischool,10459023.26,27675539.33,NA,PARTIAL MOD,Dummy6,NA,,
Multischool,57450486.09,19392828.39,NA,PARTIAL MOD + ADD,Dummy7,NA,,
Multischool,22500605.46,37444478.87,NA,STABILIZED,Dummy8,NA,,
Multischool,15049060.51,11718070.06,NA,FULL MOD,Dummy9,NA,,
Multischool,17053923.18,57541473.96,NA,FULL MOD + ADD,Dummy10,NA,,
Multischool,35676250.55,35400381.44,NA,FULL REPLACEMENT,Dummy11,NA,,
Multischool,26214931.43,33389398.93,NA,PARTIAL MOD,Dummy12,NA,,
Multischool,23788431,48617555.76,NA,PARTIAL MOD + ADD,Dummy13,NA,,
Multischool,17523543.48,56867531.7,NA,STABILIZED,Dummy14,NA,,
Multischool,28879248.46,41696950.02,NA,FULL MOD,Dummy15,NA,,
Multischool,51198389.72,41632630.19,NA,FULL MOD + ADD,Dummy16,NA,,
Multischool,31013424.27,18740315.22,NA,FULL REPLACEMENT,Dummy17,NA,,
Multischool,54250476.27,58365303.63,NA,PARTIAL MOD,Dummy18,NA,,
Multischool,47275203.02,10726720.89,NA,PARTIAL MOD + ADD,Dummy19,NA,,
Multischool,16532566.88,22529010.82,NA,STABILIZED,Dummy20,NA,,
Multischool,53000374.16,18352239.2,NA,FULL MOD,Dummy21,NA,,
Multischool,18613719.39,59646154.68,NA,FULL MOD + ADD,Dummy22,NA,,
Multischool,42848632.99,33144416.94,NA,FULL REPLACEMENT,Dummy23,NA,,
Multischool,38987717.51,34319296.07,NA,PARTIAL MOD,Dummy24,NA,,
Multischool,55174374.88,15344840.25,NA,PARTIAL MOD + ADD,Dummy25,NA,,
Multischool,59384591.29,28712395.09,NA,STABILIZED,Dummy26,NA,,
Multischool,34151935.34,38985559,NA,FULL MOD,Dummy27,NA,,
Multischool,46121591.86,28349926.17,NA,FULL MOD + ADD,Dummy28,NA,,
Multischool,40690273.05,57671326.16,NA,FULL REPLACEMENT,Dummy29,NA,,
Multischool,24430269.01,54866655.64,NA,PARTIAL MOD,Dummy30,NA,,
Multischool,38259696.68,46473409.88,NA,PARTIAL MOD + ADD,Dummy31,NA,,
Multischool,6369685.519,40447530.82,NA,STABILIZED,Dummy32,NA,,
Multischool,59834799.31,21374739.57,NA,FULL MOD,Dummy33,NA,,
Multischool,45897908.87,52908976.32,NA,FULL MOD + ADD,Dummy34,NA,,
Multischool,24094506.83,30163885.75,NA,FULL REPLACEMENT,Dummy35,NA,,
Multischool,24289915.01,55543357.86,NA,PARTIAL MOD,Dummy36,NA,,
Multischool,49259541.87,15695220.8,NA,PARTIAL MOD + ADD,Dumy37,NA,,
Multischool,1255195.406,58607963.84,NA,STABILIZED,Dummy38,NA,,
DCPS,8916,12115000,Aiton Elementary School,STABILIZED,NA,NA,,
DCPS,1446450,59943000,Bancroft Elementary School,STABILIZED,NA,NA,,
DCPS,17867772,0,Barnard Elementary School,FULL REPLACEMENT,NA,NA,,
DCPS,14813933,-24188,Beers Elementary School,PARTIAL MOD,NA,NA,,
DCPS,4475354,0,Brent Elementary School,PARTIAL MOD,NA,NA,,
DCPS,22265461,0,Brightwood Education Campus,FULL MOD + ADD,NA,NA,,
DCPS,131951,20636000,Browne Education Campus,STABILIZED,NA,NA,,
DCPS,8239048,0,Burroughs Education Campus,PARTIAL MOD + ADD,NA,NA,,
DCPS,2991980,0,Burrville Elementary School,PARTIAL MOD,NA,NA,,
DCPS,0,12606000,C.W. Harris Elementary School,STABILIZED,NA,NA,,
DCPS,20270264,0,Cleveland Elementary School,FULL MOD + ADD,NA,NA,,
DCPS,4898637,0,Drew Elementary School,PARTIAL MOD,NA,NA,,
DCPS,81414,15552000,Eaton Elementary School,STABILIZED,NA,NA,,
DCPS,1082203,12583908,Garfield Elementary School,STABILIZED,NA,NA,,
DCPS,655646,20000000,Garrison Elementary School,STABILIZED,NA,NA,,
DCPS,15937127,0,Hendley Elementary School,PARTIAL MOD,NA,NA,,
DCPS,1191032,15693000,Houston Elementary School,STABILIZED,NA,NA,,
DCPS,19157333,22284976,Hyde-Addison Elementary School,PARTIAL MOD,NA,NA,,
DCPS,4264356,0,J.O. Wilson Elementary School,PARTIAL MOD,NA,NA,,
DCPS,37443325,0,Janney Elementary School,FULL MOD + ADD,NA,NA,,
DCPS,8328691,0,Ketcham Elementary School,PARTIAL MOD,NA,NA,,
DCPS,13007488,0,Key Elementary School,FULL MOD + ADD,NA,NA,,
DCPS,0,17696000,Kimball Elementary School,STABILIZED,NA,NA,,
DCPS,9939007,59373105,Lafayette Elementary School,FULL MOD + ADD,NA,NA,,
DCPS,19828246,0,Langdon Education Campus,PARTIAL MOD,NA,NA,,
DCPS,10253618,0,Langley Education Campus,PARTIAL MOD,NA,NA,,
DCPS,595860,0,Leckie Elementary School,PARTIAL MOD,NA,NA,,
DCPS,11489803,-1026290,Ludlow-Taylor Elementary School,PARTIAL MOD,NA,NA,,
DCPS,34565362,-500000,Mann Elementary School,FULL MOD + ADD,NA,NA,,
DCPS,2970097,54503000,Marie Reed Elementary School,STABILIZED,NA,NA,,
DCPS,6444395,5044000,Maury Elementary School,PARTIAL MOD,NA,NA,,
DCPS,27716993,0,Moten Elementary School,FULL MOD,NA,NA,,
DCPS,748083,63156000,Murch Elementary School,STABILIZED,NA,NA,,
DCPS,11521407,0,Nalle Elementary School,PARTIAL MOD,NA,NA,,
DCPS,24719301,0,Noyes Education Campus,FULL MOD + ADD,NA,NA,,
DCPS,6391359,0,Old Miner,FULL REPLACEMENT,NA,NA,,
DCPS,0,41995000,Orr Elementary School,STABILIZED,NA,NA,,
DCPS,5365870,0,Patterson Elementary School,FULL REPLACEMENT,NA,NA,,
DCPS,22389213,27450,Payne Elementary School,FULL MOD,NA,NA,,
DCPS,7028816,0,Peabody Elementary School,PARTIAL MOD,NA,NA,,
DCPS,13846933,26191,Plummer Elementary School,PARTIAL MOD,NA,NA,,
DCPS,25490976,2504026,Powell Elementary School,FULL MOD + ADD,NA,NA,,
DCPS,0,19567000,Raymond Education Campus,STABILIZED,NA,NA,,
DCPS,2604666,0,Ross Elementary School,PARTIAL MOD,NA,NA,,
DCPS,21059646,0,Savoy Elementary School,FULL MOD + ADD,NA,NA,,
DCPS,4298925,0,Seaton Elementary School,PARTIAL MOD,NA,NA,,
DCPS,20462934,1274389,Shepherd Elementary School,FULL MOD + ADD,NA,NA,,
DCPS,8505311,0,Simon Elementary School,PARTIAL MOD,NA,NA,,
DCPS,152322,12679000,Smothers Elementary School,STABILIZED,NA,NA,,
DCPS,23307939,2165644,Stanton Elementary School,FULL MOD + ADD,NA,NA,,
DCPS,18707417,0,Stoddert Elementary School,FULL MOD + ADD,NA,NA,,
DCPS,26979598,0,Takoma Education Campus,FULL MOD,NA,NA,,
DCPS,7563320,0,Thomas Elementary School,PARTIAL MOD,NA,NA,,
DCPS,25521091,0,Thomson Elementary School,FULL MOD + ADD,NA,NA,,
DCPS,4465045,7489000,Truesdell Education Campus,PARTIAL MOD,NA,NA,,
DCPS,3644743,0,Tubman Elementary School,PARTIAL MOD,NA,NA,,
DCPS,27580545,0,Turner Elementary School,FULL MOD + ADD,NA,NA,,
DCPS,3750929,0,Tyler Elementary School,PARTIAL MOD,NA,NA,,
DCPS,40442253,0,Walker-Jones Education Campus,FULL REPLACEMENT,NA,NA,,
DCPS,2675972,30313978,Watkins Elementary School,STABILIZED,NA,NA,,
DCPS,42645563,0,Wheatley Education Campus,FULL MOD + ADD,NA,NA,,
DCPS,5208611,0,Whittier Education Campus,PARTIAL MOD + ADD,NA,NA,,
DCPS,35678706,361277,Hearst Elementary School,FULL MOD + ADD,NA,NA,,
DCPS,0,35095000,West Education Campus,STABILIZED,NA,NA,,
DCPS,10556642,17995000,Van Ness ES,FULL MOD + ADD,NA,NA,,
DCPS,5993305,0,Amidon-Bowen Elementary School,PARTIAL MOD,NA,NA,,
DCPS,68228069,0,Anacostia High School,FULL MOD,NA,NA,,
DCPS,2537691,116633000,Coolidge High School,STABILIZED,NA,NA,,
DCPS,73524856,0,Deal Middle School,FULL MOD + ADD,NA,NA,,
DCPS,74502874,0,Eastern High School,FULL MOD,NA,NA,,
DCPS,210957,40911043,Eliot-Hine Middle School,STABILIZED,NA,NA,,
DCPS,34081441,61688778,Ellington School of the Arts,FULL MOD + ADD,NA,NA,,
DCPS,1314689,20178000,Francis-Stevens Education Campus,STABILIZED,NA,NA,,
DCPS,32500688,0,H.D. Cooke Elementary School,FULL MOD + ADD,NA,NA,,
DCPS,50758871,0,Hardy Middle School,FULL MOD + ADD,NA,NA,,
DCPS,13075759,0,Hart Middle School,PARTIAL MOD,NA,NA,,
DCPS,0,35993000,Jefferson Middle School,STABILIZED,NA,NA,,
DCPS,10614880,0,Kelly Miller Middle School,FULL REPLACEMENT,NA,NA,,
DCPS,4118755,372458,King Elementary School,STABILIZED,NA,NA,,
DCPS,30951777,0,Kramer Middle School,PARTIAL MOD,NA,NA,,
DCPS,14206295,0,LaSalle-Backus Education Campus,PARTIAL MOD,NA,NA,,
DCPS,0,0,"Phelps Architecture, Construction, and Engineering High School",FULL MOD + ADD,NA,NA,,
DCPS,0,0,School Without Walls High School,FULL MOD + ADD,NA,NA,,
DCPS,0,0,Sousa Middle School,FULL MOD,NA,NA,,
DCPS,114246156,0,Wilson High School,FULL MOD + ADD,NA,NA,,
DCPS,11264300,0,Bruce-Monroe Elementary School @ Park View,PARTIAL MOD,NA,NA,,
DCPS,78652173,0,Columbia Heights Education Campus,FULL REPLACEMENT,NA,NA,,
DCPS,18602234,-5857,John Hayden Johnson Middle School,PARTIAL MOD,NA,NA,,
DCPS,44653267,1190116,Stuart-Hobson Middle School,FULL MOD + ADD,NA,NA,,
DCPS,0,9900000,Washington Metropolitan High School,STABILIZED,NA,NA,,
DCPS,671104,77074000,Benjamin Banneker High School,STABILIZED,NA,NA,,
DCPS,0,0,Oyster-Adams Bilingual School (Oyster),FULL REPLACEMENT,NA,NA,,
DCPS,6533765,0,Brookland Education Campus @ Bunker Hill,PARTIAL MOD,NA,NA,,
DCPS,NA,NA,Dunbar High School (OLD),NA,NA,NA,,
DCPS,0,0,Malcolm X Elementary School,STABILIZED,NA,NA,,
DCPS,NA,NA,Old Randle,NA,NA,NA,,
DCPS,NA,NA,Cardozo EC,NA,NA,NA,,
DCPS,975866,11987136,Capitol Hill Montessori School @ Logan,STABILIZED,NA,NA,,
DCPS,0,0,Luke C. Moore High School,FULL MOD + ADD,NA,NA,,
DCPS,1365487,12028931,Prospect Learning Center,PARTIAL MOD,NA,NA,,
DCPS,58053351,-1202174,Brookland MS,FULL REPLACEMENT,NA,NA,,
DCPS,3803375,12236000,Oyster-Adams Bilingual School (Adams),STABILIZED,NA,NA,,
DCPS,107742134,0,"Woodson, H.D. HS",FULL REPLACEMENT,NA,NA,,
DCPS,32133707,-2200000,river terrace sp. ed.,FULL MOD + ADD,NA,NA,,
DCPS,117015598,1887406,Roosevelt High School,FULL MOD + ADD,NA,NA,,
DCPS,NA,NA,Ballou HS (includes STAY Program),NA,NA,NA,,
DCPS,2089951,0,Sharpe Health School,STABILIZED,NA,NA,,
DCPS,NA,NA,McKinley Technology High School,FULL MOD,NA,NA,,
DCPS,77382544,0,McKinley Technology High School,FULL MOD,NA,NA,,
DCPS,117015598,1887406,Roosevelt High School,FULL MOD + ADD,NA,NA,,
DCPS,NA,NA,Ballou HS (includes STAY Program),NA,NA,NA,,
DCPS,2089951,0,Sharpe Health School,STABILIZED,NA,NA,,4
DCPS,NA,NA,CHOICE Academy,NA,NA,NA,,
DCPS,NA,NA,Incarcerated Youth Program,NA,NA,NA,,
DCPS,NA,NA,Youth Services Center,NA,NA,NA,,
DCPS,NA,NA,Dorothy Height ES,NA,NA,NA,,
PCS,7077600,4155050,Briya Public Charter School,Annual Allotment,NA,Maya Angelou PCS,,
PCS,8496435,22138080,Briya Public Charter School,Annual Allotment,NA,Cesar Chavez PCS,,
PCS,3312640,17604410,Briya Public Charter School,Annual Allotment,NA,Latin American Youth Center (LAYC) Career Academy,,
PCS,11006232.5,2334970,Early Childhood Academy PCS,Annual Allotment,NA,Community Academy PCS,,
PCS,6680390,56629440,Early Childhood Academy PCS,Annual Allotment,NA,Community Academy PCS,,
PCS,11777600,36589980,Bridges PCS,Annual Allotment,NA,Community Academy PCS,,
PCS,1089825,55488110,Bridges PCS,Annual Allotment,NA,Cesar Chavez PCS,,
PCS,5831792.5,25500800,Bridges PCS,Annual Allotment,NA,Friendship PCS,,
PCS,8544595,35813440,Roots PCS,Annual Allotment,NA,Hope Community Academy PCS,,
