OBJECTID,NAME,ADDRESS,DIRECTOR,PHONE,AUTHORIZER,GRADES,ENROLLMENT,GIS_ID,WEB_URL,ADDRID,X,Y,AUTHORIZAT,MYSCHOOL
1,KIPP DC â€“ Promise Academy PCS,4801 BENNING ROAD SE,Susan Schaeffler,202-582-1390,,4-Jan,0,chrt_61,http://www.kippdc.org,17421,405692.28,134978.83,0,Y
2,KIPP DC â€“ WILL Academy PCS,421 P STREET NW,Susan Schaeffler,202-328-9455,,8-May,0,chrt_62,http://www.kippdc.org,294487,398428.65,138002.89,0,Y
3,KIPP DC â€“ Connect Academy PCS,1375 MOUNT OLIVET ROAD NE,,202-265-5477,,PK-3-K,0,chrt_63,http://www.kippdc.org,286108,401636.15,137801.71,0,Y
4,KIPP DC â€“ Spring Academy PCS,1375 MOUNT OLIVET ROAD NE,,202-265-5477,,2-Jan,0,chrt_64,http://www.kippdc.org,286108,401636.15,137801.71,0,Y
5,Latin American Montessori Bilingual (LAMB) PCS,1600 TAYLOR STREET NE,Diane  Cottman,202-726-6200,,PK-3-,0,chrt_65,http://www.lambpcs.org,286330,401542.99,141454.77,0,N
6,Latin American Montessori Bilingual (LAMB) PCS,1375 MISSOURI AVENUE NW,Diane  Cottman,202-726-6200,,PK-3-5,0,chrt_66,http://www.lambpcs.org,284010,397192.03,143806.16,0,N
7,Mary McLeod Bethune Day Academy PCS,1404 JACKSON STREET NE,Linda McKay,202-459-4710 ext. 600,,PK-3-8,0,chrt_67,http://www.mmbethune.org,294522,401138.94,140191.85,0,N
8,Maya Angelou PCS â€“ High School,5600 EAST CAPITOL STREET NE,"Heather Wathington, Ph.D.",202-379-4335,,12-Sep,0,chrt_68,http://www.seeforever.org,289793,406885.34,135830.53,0,Y
9,Meridian Public Charter School - Elementary School,2120 13TH STREET NW,Kimberly Moore,202-387-9830,,PK-3-5,0,chrt_69,http://www.meridian-dc.org,310205,397402.4,138987.03,0,Y
10,Mundo Verde Bilingual PCS,30 P STREET NW,Kristin Scotchmer,202-630-8373,,PK-3-4,0,chrt_70,http://www.mundoverdepcs.org,301528,399105.74,137949.35,0,Y
11,National Collegiate Preparatory Public Charter High School,4600 LIVINGSTON ROAD SE,Jennifer L. Ross,202-832-7737,,12-Sep,0,chrt_71,http://www.nationalprepdc.org,294600,399731.95,128458.05,0,Y
12,Options PCS Academy- Middle School,702 15TH STREET NE,"Donna Montgomery, Ed.D.",202-232-4627,,1-Jun,0,chrt_72,http://www.optionsschool.org,56,401391.3,136810.44,0,N
13,Options PCS,1375 E STREET NE,"Donna Montgomery, Ed.D.",202-547-1028,,12-Jun,0,chrt_73,http://www.optionsschool.org,286107,401195.97,136444.7,0,Y
14,Paul Public Charter School â€“ Middle School,5800 8TH STREET NW,Jami Dunham,202-291-7499,,8-Jun,0,chrt_74,http://www.paulcharter.org,294613,397857.27,143717.65,0,Y
