Owner Agency,Project ID,School,Description,Agency,FY-2009,FY-2010,FY-2011,FY-2012,FY-2013,FY-2014
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,NA137C,ADAMS ES , MODERNIZATION/RENOVATION,DCPS,,$0,"$205,275",,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,YY160C,ADAMS ES ,MODERNIZATION/RENOVATION,DCPS,,,,$0,"$1,954,472","$36,009"
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,MG137C,ADDISON ANNEX ,(TO HYDE) SPECIAL EDUCATION,DCPS,"$140,057","$5,953","$145,405",$0,,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,MG137C,ADDISON ANNEX ,SPECIAL EDUCATION,DCPS,"$2,136,614",$0,"$641,562",,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,MG138C,ADDISON ANNEX SPED,SPED,DCPS,"$1,710,449",,,,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,YY140C,AMIDON ES ,MODERNIZATION/RENOVATION,DCPS,,,,"$4,964,156","$1,030,896","-$1,747"
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,ZBA37C,ANACOSTIA ,OPERATING,DCPS-OPERATING,,$0,"$730,000",$0,,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,NX439C,ANACOSTIA HIGH SCHOOL ,MODERNIZATION,DCPS,,$0,"$283,836",$0,,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,NX437C,ANACOSTIA HS,Unspecified,DCPS,$0,"$6,948,092","$22,146,187","-$841,329",,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,NX437C,ANACOSTIA HS ,MODERNIZATION/RENOV,DCPS,,,,"$23,715,200","$7,078,293","$101,193"
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,NX437C,ANACOSTIA HS ,MODERNIZATION/RENOV,DCPS,"$421,697",,$0,$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,SK1ASC,ANNE GODING,ANNE GODING/SHERWOOD RC (PLAYGROUND),DCPS-REC,,,,,$0,"$32,582"
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,NA637C,BALLOU HS , MODERNIZATION/RENOVATION,DCPS,,,,"$1,525,462","$21,158,864","$30,739,249"
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,NA637C,BALLOU SHS,Unspecified,DCPS,,"$20,751","$717,717",$0,,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,SK133C,BANCROFT ES ,ATHLETIC FACILITY,DCPS,,"$741,140","$1,010,831",$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,ZBB37C,BANNEKER ,QZAB AT BANNEKER - CAPITAL,DCPS-CAPITAL,,"$397,000","$1,000",$0,,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,SG404C,BARNARD ES,Unspecified,DCPS,"$126,042",$0,$0,$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,NA937C,BARNARD ES , MODERNIZATION/RENOVATION,DCPS,"$11,152",$0,$0,$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,YY161C,BEERS ES, MODERNIZATION/RENOVATION,DCPS,,,,$0,"$13,360,036","$739,523"
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,NB237C,BELL LINCOLN ,MODERNIZATION,DCPS,"-$7,268",$0,,"$7,268",,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,NB237C,BELL-LINCOLN, MODERNIZATION/RENOVATION,DCPS,$0,$0,"$169,600",$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,NB437C,BIRNEY ES , MODERNIZATION/RENOVATION,DCPS,$0,$0,"$112,817",,,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,GM0AM0,BOWEN ES , RENOVATION,DCPS,"$4,817,917",,,,,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,GM0FA0,BOWEN ES , RENOVATION,DCPS,"$8,453,069","$989,657",$0,$0,,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,TB137C,BRENT ES ,MODERNIZATION,DCPS,"$3,610,639","$787,943","$76,772",$0,,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,NB737C,BRIGHTWOOD ELEMENTARY ,MODERNIZATION/RENO,DCPS,"$558,028","$562,573","$34,461",$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,NB737C,BRIGHTWOOD ES , MODERNIZATION/RENOVATION,DCPS,,,,$550,$0,$0
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,NB737C,BRIGHTWOOD ES , MODERNIZATION/RENOVATION,DCPS,"$1,302,738",,$0,$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,YY141C,BROOKLAND ES ,MODERNIZATION/RENOVATION,DCPS,,,,"$5,426,300","$629,850",$0
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,BRK37C,BROOKLAND MS, MODERNIZATION,DCPS,,,,$0,"$2,410,211","$10,714,162"
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,YY142C,BRUCE MONROE @ PARKVIEW ES ,MODERNIZATION,DCPS,,,,"$10,518,794","$745,506",$0
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,NC210C,BRUCE-MONROE ES,LIFE SAFETY CODE COMPLIA,DCPS,$673,$175,$0,$0,,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,GI526C,BUNKER HILL ,SMALL CAPITAL PROJECT,DCPS,,"$88,652",,,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,TB237C,BURROUGHS ES ,MODERNIZATION/RENOVATION,DCPS,,,,"$982,952","$2,027,580","-$213,492"
