,Project No,Project Title,Implementing Agency,Approp Fund,Agy Fund,Lifetime Budget,LTD Allotments,Exp to 2013,Allot 2014,Exp 2014,Allot 2015,Exp 2015,Allot 2016,Exp 2016,LTD Expenditures,Unspent Allot,Encumbrances,Pre Encumbrances,ID Advances,LifeTime Balance,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,6-yr Total
1,BRK37C,BROOKLAND MS MODERNIZATION,AM0,0300,0300,62711400,62711400,2410211.26,37246400,42959202.88,7415000,12683936.97,-800000,-402174.04,57651177.07,5060222.93,3907991.78,696659.18,445371.61,10200.36,0,0,0,0,0,0,0
2,CHA37C,CHALLENGER CENTER FOR SPACE ED,AM0,0300,0300,0,0,0,-1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,EQ801L,EQUIPMENT MASTER LEASE - LAIDLAW,ELC,0300,0302,7684839.44,7684839.44,7684839.44,0,0,0,0,0,0,7684839.44,0,0,0,0,0,0,0,0,0,0,0,0
4,EQ901C,MAJOR EQUIPMENT ACQUISITION,KA0,0300,0300,4493966.78,4493966.78,4493506.78,0,0,0,0,0,0,4493506.78,460,460,0,0,0,0,0,0,0,0,0,0
5,EQ902C,MAJOR EQUIPMENT ACQUISITION-SUPERCANS,KA0,0300,0300,2695000,2695000,2695000,0,0,0,0,0,0,2695000,0,0,0,0,0,0,0,0,0,0,0,0
6,EQ902C,MASTER EQUIPMENT LEASE - DPW,ELC,0300,0300,2938690.87,2938690.87,2938690.87,-50184,0,0,0,0,0,2938690.87,0,0,0,0,0,0,0,0,0,0,0,0
7,GAHHSC,HEALTHY SCHOOL YARDS,AM0,0300,0300,2000000,2000000,594874.55,0,1089220.91,0,118775.09,0,0,1802870.55,197129.45,86765.78,110363.67,0,0,0,0,0,0,0,0,0
8,GI010C,SPECIAL EDUCATION CLASSROOMS,AM0,0300,0300,5259825.49,5259825.49,3109924.43,2400000,130593.56,-1241000,1241780.71,0,-39339.82,4442958.88,816866.61,426817.58,0,0,390049.03,0,0,0,0,0,0,0
9,GI520C,GENERAL SMALL CAPITAL PROJECTS,AM0,0300,0300,101987.83,101987.83,48078.95,0,6337.5,0,780,0,0,55196.45,46791.38,46791.38,0,0,0,0,0,0,0,0,0,0
10,GI520C,GENERAL SMALL CAPITAL PROJECTS,,,0301,14520.57,14520.57,10236.57,0,2638.2,0,0,0,0,12874.77,1645.8,1645.8,0,0,0,0,0,0,0,0,0,0
11,GI520C,GENERAL SMALL CAPITAL PROJECTS,GM0,0300,0300,6525434.1,6525434.1,6525434.1,0,0,0,0,0,0,6525434.1,0,0,0,0,0,0,0,0,0,0,0,0
12,GI520C,GENERAL SMALL CAPITAL PROJECTS,,,0301,594861.32,594861.32,594861.32,0,0,0,0,0,0,594861.32,0,0,0,0,0,0,0,0,0,0,0,0
13,GI552C,DEAL - ROSE/RENO SCHOOL SMALL CAP PROJECT,AM0,0300,0300,20599109.25,20599109.25,1244943.18,11597000,11583628.54,2582563,7365375.78,-477702.16,0,20193947.5,405161.75,252316.88,64776.64,-340.42,88408.65,0,0,0,0,0,0,0
14,GI552C,DEAL - ROSE/RENO SCHOOL SMALL CAP PROJECT,GM0,0300,0300,171751.59,171751.59,171751.59,0,0,0,0,0,0,171751.59,0,0,0,0,0,0,0,0,0,0,0,0
15,GI553C,MIDDLE SCHOOLS IT/ARTS AND SCIENCES PROJ,AM0,0300,0300,4000,4000,4000,-7383.08,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0
16,GI553C,MIDDLE SCHOOLS IT/ARTS AND SCIENCES PROJ,GM0,0300,0300,582136.54,582136.54,582136.54,0,0,0,0,0,0,582136.54,0,0,0,0,0,0,0,0,0,0,0,0
17,GI554C,MIDDLE SCHOOL IT,AM0,0300,0301,95328.47,95328.47,67280.79,-7427.84,0,0,0,0,0,67280.79,28047.68,28047.68,0,0,0,0,0,0,0,0,0,0
18,GI554C,MIDDLE SCHOOL IT,ELC,0300,0302,11460,11460,0,0,0,0,0,0,0,0,11460,11460,0,0,0,0,0,0,0,0,0,0
19,GI554C,MIDDLE SCHOOL IT,GM0,0300,0301,2195849.86,2195849.86,2195849.86,0,0,0,0,0,0,2195849.86,0,0,0,0,0,0,0,0,0,0,0,0
20,GI554C,MIDDLE SCHOOL IT,,,0302,1232376.57,1232376.57,1232376.57,0,0,0,0,0,0,1232376.57,0,0,0,0,0,0,0,0,0,0,0,0
21,GI570C,HEALTH SUITES (DCPS),AM0,0300,0300,212651.99,212651.99,0,480000,0,-160000,0,-107348.01,0,0,212651.99,0,0,0,212651.99,0,0,0,0,0,0,0
22,GI571C,DEMOUNTABLES,GM0,0300,0300,858008,858008,858008,0,0,0,0,0,0,858008,0,0,0,0,0,0,0,0,0,0,0,0
23,GI5EMC,EMERY EXPANSION PROJECT,AM0,0300,0300,400000,400000,0,0,0,400000,372266.18,0,0,372266.18,27733.82,27733.82,0,0,0,0,0,0,0,0,0,0
24,GM101C,ROOF REPAIRS,AM0,0300,0300,16919558.74,7868558.74,1795752.46,963000,372869.22,1963000,2478668.95,1775000,-8135.96,4639154.67,3229404.07,1047851.56,477583,0,10754969.51,1800000,816000,2185000,2125000,2125000,0,9051000
25,GM101C,ROOF REPAIRS,GM0,0300,0300,3007966.26,3007966.26,3007966.26,0,0,0,0,0,0,3007966.26,0,0,0,0,0,0,0,0,0,0,0,0
26,GM102C,BOILER REPAIRS - DCPS,AM0,0300,0300,54362022.36,32384747.36,15849965.97,7000000,2852780.35,1942094.17,4878372.46,6500000,-500000,23081118.78,9303628.58,943051.92,1354029.98,0,28983821.68,0,0,0,0,0,0,0
27,GM102C,BOILER REPAIRS - DCPS,,,0301,2500,2500,0,0,2500,-4094.17,0,0,0,2500,0,0,0,0,0,0,0,0,0,0,0,0
28,GM102C,BOILER REPAIRS - DCPS,GM0,0300,0300,37679573.62,37679573.62,37679573.62,0,0,0,0,0,0,37679573.62,0,0,0,0,0,0,0,0,0,0,0,0
29,GM102C,BOILER REPAIRS - DCPS,,,0301,372304,372304,372304,0,0,0,0,0,0,372304,0,0,0,0,0,0,0,0,0,0,0,0
30,GM102C,BOILER REPAIRS - DCPS,,0330,3109,3502416,3502416,3502416,0,0,0,0,0,0,3502416,0,0,0,0,0,0,0,0,0,0,0,0
