School name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Grand Total
AITON,,,,,,,,,,," $352,259 "," $76,191 ",,,,,," $428,449 "
AMIDON-BOWEN,,,,,,,,,,," $2,262,559 "," $210,821 ",,," $4,964,156 "," $1,030,896 "," $(1,747)"," $8,466,684 "
ANACOSTIA ,,,,,," $244,154 "," $1,938,521 "," $395,575 "," $1,408,785 "," $668,800 "," $17,209,447 "," $2,079,060 ",," $23,160,023 "," $22,873,871 "," $7,078,293 "," $101,193 "," $23,522,645 "
BALLOU,,,,,," $817,916 "," $1,985,191 "," $855,357 "," $67,462 "," $2,129,537 "," $2,687,392 "," $14,337,244 ",," $717,717 "," $1,525,462 "," $21,158,864 "," $30,739,249 "," $77,021,392 "
BANCROFT,,,,,,,,,,," $1,649,001 "," $417,499 ",," $1,010,831 ",,,," $3,077,331 "
BANNEKER,,,,,,," $77,449 "," $157,326 "," $24,665 "," $12,035 "," $1,659,502 "," $1,163,062 ",," $1,000 ",,,," $3,095,039 "
BARNARD  (LINCOLN HILL CLUSTER),,," $4,471 "," $410,786 "," $7,585,027 "," $12,160,536 "," $1,970,398 "," $267,615 "," $203,698 "," $565,271 "," $963,479 "," $392,823 ",,,,,," $24,524,104 "
BEERS,,,,,,,,,,," $318,586 "," $437,413 ",,,," $13,360,036 "," $739,523 "," $14,855,558 "
"BENNING (CLOSED, LEASED)",,,,," $946,842 "," $638,844 ",," $3,734 "," $6,200 ",,," $19,606 ",,,,,," $1,615,226 "
"BIRNEY (CLOSED, LEASED)",,,,," $267,445 "," $1,953,618 "," $473,400 "," $234,914 "," $355,151 "," $1,539,693 "," $679,633 "," $98,877 ",," $112,817 ",,,," $5,715,548 "
BRENT,,,,,,,,,,," $1,203,796 "," $4,491,487 ",," $76,772 ",,,," $5,772,055 "
BRIGHTWOOD,,,,," $147,131 "," $1,060,579 "," $2,775,839 "," $8,578,854 "," $4,495,373 "," $2,420,190 "," $929,988 "," $4,828,923 ",," $34,461 ", $550 , $-   , $-   ," $25,271,888 "
BROOKLAND,,,,,,,,,,,,,,," $5,426,300 "," $3,040,061 "," $10,714,162 "," $19,180,523 "
BROOKLAND AT BUNKER HILL,,,,,,,,,,," $3,221,966 "," $1,719,143 ",,,,,," $4,941,109 "
BROWNE,,,,,,,,,,," $6,302,224 "," $3,567,427 ",,,,,," $9,869,651 "
BRUCE-MONROE (CLOSED) ,,,,,,," $115,422 "," $118,876 "," $937,242 "," $243,280 ",,,,,,,," $1,414,820 "
BRUCE-MONROE AT PARKVIEW,,,,,," $194,191 ", $745 ,,,," $3,111,136 "," $1,053,038 ",,," $10,518,794 "," $745,506 ",," $15,623,410 "
BURROUGHS,,,,,,,,,,," $342,320 "," $6,746,588 ",," $389,089 "," $982,952 "," $2,027,580 "," $(213,492)"," $10,275,037 "
BURRVILLE," $20,038 ",,,,,,,,,," $900,733 "," $395,269 ",," $127,124 "," $(1,250)",,," $1,441,915 "
CAPITOL HILL MONTESSORI at Logan,,,,,,,,,,,,,," $1,019,795 "," $172,807 ",," $258,856 "," $1,451,458 "
CARDOZO,,,,,," $443,148 "," $132,576 "," $437,349 "," $500,630 "," $1,419,738 "," $13,421,998 "," $1,138,405 ",," $4,151,237 "," $26,384,564 "," $86,692,050 "," $8,036,859 "," $142,758,554 "
CLEVELAND,,," $3,786 "," $1,172,995 "," $1,920,278 "," $10,616,492 "," $1,452,116 "," $4,847,429 "," $251,754 "," $5,414 "," $377,191 "," $242,839 ",,,,,," $20,890,293 "
COLUMBIA HEIGHTS,,,,," $673,454 "," $18,235,438 "," $10,451,470 "," $35,197,348 "," $12,456,018 "," $107,921 "," $5,200,400 "," $3,034,414 ",," $169,600 "," $7,268 ",,," $85,533,330 "
"COOKE, H.D.",,,,," $174,250 "," $1,127,805 "," $99,789 "," $586,018 "," $121,894 "," $1,929,106 "," $18,415,839 "," $17,985,919 ",," $2,849 "," $443,604 ",,," $40,887,074 "
COOLIDGE,,,,,,,,,,," $6,669,249 "," $507,991 ",," $328,814 "," $18,000 ",,," $7,524,054 "
DAVIS,,,,,,,,,,," $653,486 "," $105,282 ",,,,,," $758,768 "
DEAL,,,,,," $258,192 "," $831,940 "," $469,202 "," $743,163 "," $2,332,799 "," $32,643,823 "," $47,601,233 ",," $1,156,037 "," $680,057 "," $721,652 "," $1,139,207 "," $88,577,305 "
DRAPER (CLOSED),,,,,,,,,,," $1,956,033 "," $234,727 ",,,,,," $2,190,759 "
DREW,,,,,,,,,,," $973,832 "," $186,746 ",," $770,398 ",," $292,479 "," $5,054 "," $2,228,509 "
DUNBAR,,,,,,,,,,," $4,637,763 "," $2,257,682 ",," $3,037,512 "," $33,279,396 "," $67,519,131 "," $6,000,766 "," $116,732,249 "
EASTERN,,,,,,,,,,," $10,384,708 "," $14,392,394 "," $70,691,000 "," $1,481,211 "," $658,919 "," $25,636 ",," $97,633,868 "
EATON," $81,414 ",,,,,,,,,," $309,549 "," $1,778,793 ",," $16,512 ",,,," $2,186,267 "
ELIOT-HINE ,,,,,,,,,,," $4,732,052 "," $2,633,689 ",,,,,," $7,365,741 "
ELLINGTON SCHOOL OF THE ARTS,,,," $32,915 "," $100,651 "," $158,720 ",," $269,295 "," $154,231 "," $923,603 "," $3,869,600 "," $1,375,220 ",," $372,046 "," $7,000 "," $260,088 "," $867,865 "," $8,391,234 "
EMERY,,,,,,,,,,," $1,827,260 "," $376,686 ",,,,,," $2,203,946 "
