School_ID,Agency,School,Address,maxOccupancy,ProjectPhase,YrComplete,Level,totalSQFT,ProjectType,MajorExp9815,TotalAllotandPlan1621,LifetimeBudget,unqBuilding,FeederMS,FeederHS,Total_Enrolled,Limited_English,At_Risk,SpEd,AtRiskPer,SPEDPer,ESLPer,SqFtPerEnroll,SpentPerMaxOccupancy,SpentPerSqFt,YearsOpen,Open,Open.Now,AnnualExpenseAverage,AnnualSpentPerMaxOccupany,AnnualSpentPerSqFt,longitude,latitude,Ward
102,PCS,Cesar Chavez Parkside MS PCS,"3702 Hayes Street,  NE",NA,NA,NA,MS,30870,Facility Allowance,16948761,NA,NA,1,NA,NA,303,8,204,42,0.673267327,0.138613861,0.02640264,102,55936.50495,549.0366375,10,2006,1,1694876.1,5593.650495,54.90366375,-76.9500149,38.9029444,7
105,PCS,Community Academy Amos I,"1300 Allison Street, NW",957,NA,NA,ES,55000,Facility Allowance,13482960,NA,NA,1,NA,NA,590,213,261,53,0.442372881,0.089830508,0.361016949,93,22852.47458,245.1447273,10,2006,1,1348296,2285.247458,24.51447273,-77.030868,38.944517,4
106,PCS,Community Academy Butler Global,"1400 1st Street, NW",1020,NA,NA,ES,1.00E+05,Facility Allowance,7549324,NA,NA,1,NA,NA,523,51,272,35,0.520076482,0.066921606,0.09751434,191,14434.65392,75.49324,10,2006,1,754932.4,1443.465392,7.549324,-77.0132341,38.9090757,5
108,PCS,Community Academy CAPCS Online,"1351 Nicholson Street, NW",217,NA,NA,ES/MS,20100,Facility Allowance,3128675,NA,NA,1,NA,NA,123,0,43,21,0.349593496,0.170731707,0,163,25436.38211,155.6554726,9,2007,1,347630.5556,2826.264679,17.29505252,-77.031579,38.9604804,4
109,PCS,Cesar Chavez PCS Parkside Upper,"3701 Hayes Street,  NE",834,NA,NA,HS,36015,Facility Allowance,3379632,NA,NA,1,NA,NA,356,7,228,40,0.640449438,0.112359551,0.019662921,101,9493.348315,93.83956685,3,2013,1,1126544,3164.449438,31.27985562,-76.9491059,38.9013653,7
113,PCS,Friendship PCS SouthEast Academy,"645 Milwaukee Place, SE",950,NA,NA,ES,58539,Facility Allowance,17344193,NA,NA,1,NA,NA,576,0,412,56,0.715277778,0.097222222,0,102,30111.44618,296.2844087,12,2003,1,1445349.417,2509.287182,24.69036739,-76.996974,38.847472,8
114,PCS,Hope Community PCS Tolson Campus,"2917 8th Street, NE",540,NA,NA,ES/MS,33571,Facility Allowance,9509758,NA,NA,1,NA,NA,517,34,264,43,0.510638298,0.083172147,0.065764023,65,18394.11605,283.2730035,8,2008,1,1188719.75,2299.264507,35.40912544,-76.9946003,38.927028,5
115,PCS,Howard University Middle School of Math and Science PCS,"405 Howard Place, NW",435,NA,NA,MS,20968,Facility Allowance,8215644,NA,NA,1,NA,NA,294,11,115,9,0.391156463,0.030612245,0.037414966,71,27944.36735,391.8181992,10,2006,1,821564.4,2794.436735,39.18181992,-77.0188757,38.9228511,1
117,PCS,Potomac Preparatory PCS,"4401 8th Street, NE",650,NA,NA,ES/MS,42016,Facility Allowance,7783669,NA,NA,1,NA,NA,425,0,261,50,0.614117647,0.117647059,0,99,18314.51529,185.2548791,10,2006,1,778366.9,1831.451529,18.52548791,-76.9944091,38.9430337,5
125,PCS,Washington Latin PCS MS,"5200 2nd Street, NW",835,NA,NA,MS,35040,Facility Allowance,6687433,NA,NA,1,NA,NA,366,3,16,29,0.043715847,0.079234973,0.008196721,96,18271.67486,190.8513984,7,2009,1,955347.5714,2610.239266,27.26448549,-77.0140391,38.9538896,4
126,PCS,Briya Public Charter School,"1755 Newton Street, NW",663,NA,NA,ADULT,26940,Facility Allowance,8206459,NA,NA,0,NA,NA,492,50,20,5,0.040650407,0.010162602,0.101626016,55,16679.79472,304.6198589,9,2007,1,911828.7778,1853.310524,33.84665099,-77.0405163,38.9347901,1
126,PCS,Briya Public Charter School,"2333 Ontario Road, NW (Main Office)",663,NA,NA,ADULT,26940,Facility Allowance,8206459,NA,NA,0,NA,NA,492,50,20,5,0.040650407,0.010162602,0.101626016,55,16679.79472,304.6198589,9,2007,1,911828.7778,1853.310524,33.84665099,-77.0368707,38.9071923,2
126,PCS,Briya Public Charter School,"3912 Georgia Avenue, NW",663,NA,NA,ADULT,26940,Facility Allowance,8206459,NA,NA,0,NA,NA,492,50,20,5,0.040650407,0.010162602,0.101626016,55,16679.79472,304.6198589,9,2007,1,911828.7778,1853.310524,33.84665099,-77.0250314,38.9391892,4
127,PCS,Cesar Chavez PCS Chavez Prep,"770 Kenyon Street, NW",420,NA,NA,MS,36059,Facility Allowance,6096304,NA,NA,1,NA,NA,331,94,170,48,0.513595166,0.145015106,0.283987915,109,18417.83686,169.0646995,8,2008,1,762038,2302.229607,21.13308744,-77.025605,38.929581,1
128,PCS,Youthbuild PCS,3014 14th St NW,100,NA,NA,ALT,11709,Facility Allowance,2747123,NA,NA,1,NA,NA,112,7,0,10,0,0.089285714,0.0625,105,24527.88393,234.6163635,10,2006,1,274712.3,2452.788393,23.46163635,-77.0327382,38.9277886,1
130,PCS,D C  Preparatory Edgewood Elementary Campus PCS,"707 Edgewood Street, NE",499,NA,NA,ES,50050,Facility Allowance,9341738,NA,NA,1,NA,NA,432,20,197,28,0.456018519,0.064814815,0.046296296,116,21624.39352,186.6481119,8,2008,1,1167717.25,2703.04919,23.33101399,-76.9955558,38.9241765,5
131,PCS,Hope Community PCS Lamond Campus,"6200 Kansas Avenue, NE",500,NA,NA,ES,41000,Facility Allowance,8335030,NA,NA,1,NA,NA,358,13,148,22,0.413407821,0.061452514,0.036312849,115,23282.2067,203.2934146,8,2008,1,1041878.75,2910.275838,25.41167683,-77.0085903,38.9658162,4
134,PCS,Ideal Academy PCS North Capitol Street Campus ES,"6130 N Capitol Street, NW",500,NA,NA,ES/MS,35090,Facility Allowance,6508377,NA,NA,1,NA,NA,297,3,185,32,0.622895623,0.107744108,0.01010101,118,21913.72727,185.4766885,8,2008,1,813547.125,2739.215909,23.18458606,-77.0098236,38.9648647,4
135,PCS,Mary McLeod Bethune Day Academy PCS Slowe Campus,"1404 Jackson Street, NE",450,NA,NA,ES/MS,56927,Facility Allowance,6686938,NA,NA,1,NA,NA,381,8,237,35,0.622047244,0.091863517,0.020997375,149,17551.01837,117.4651396,8,2008,1,835867.25,2193.877297,14.68314245,-76.9863281,38.9295686,5
138,PCS,Early Childhood Academy PCS,"4025 9th Street, SE",233,NA,NA,ES,15458,Facility Allowance,4742251,NA,NA,0,NA,NA,259,0,167,22,0.644787645,0.084942085,0,76,18309.84942,306.7829603,8,2006,1,592781.375,2288.731178,38.34787003,-76.990566,38.8317414,8
138,PCS,Early Childhood Academy PCS,"4301 9th Street, SE ",67,NA,NA,ES,4458,Facility Allowance,4742251,NA,NA,0,NA,NA,259,0,167,22,0.644787645,0.084942085,0,76,18309.84942,1063.762001,8,2006,1,592781.375,2288.731178,132.9702501,-76.989567,38.8310119,8
140,PCS,AppleTree Early Learning Center PCS Columbia Heights,"2750 14th Street, NW ",188,NA,NA,PK3-K,12204,Facility Allowance,3156647,NA,NA,1,NA,NA,163,37,58,10,0.355828221,0.061349693,0.226993865,75,19365.93252,258.6567519,8,2008,1,394580.875,2420.741564,32.33209399,-77.0326704,38.9252369,1
141,PCS,AppleTree Early Learning Center PCS Southwest,"801 7th Street, SW",158,NA,NA,PK3-K,6162,Facility Allowance,736320,NA,NA,1,NA,NA,86,4,41,2,0.476744186,0.023255814,0.046511628,72,8561.860465,119.4936709,4,2012,1,184080,2140.465116,29.87341772,-77.0229317,38.8798501,6
142,PCS,Bridges PCS,1244 Taylor Street. NW,534,NA,NA,ES,20676,Facility Allowance,3405436,NA,NA,0,NA,NA,272,102,93,77,0.341911765,0.283088235,0.375,76,12519.98529,164.7047785,10,2006,1,340543.6,1251.998529,16.47047785,-77.0283582,38.9407171,4
142,PCS,Bridges PCS,"1250 Taylor Street, NW",534,NA,NA,ES,20676,Facility Allowance,3405436,NA,NA,0,NA,NA,272,102,93,77,0.341911765,0.283088235,0.375,76,12519.98529,164.7047785,10,2006,1,340543.6,1251.998529,16.47047785,-77.0285894,38.9405054,4
146,PCS,E L  Haynes PCS Georgia Avenue,"3600 Georgia Avenue, NW",516,NA,NA,MS,45484,Facility Allowance,6850144,NA,NA,1,NA,NA,377,54,157,77,0.416445623,0.204244032,0.143236074,121,18170.14324,150.6055756,6,2010,1,1141690.667,3028.357206,25.10092926,-77.0243669,38.9343788,1
153,PCS,Cesar Chavez Capitol Hill PCS,"709 12th Street, SE",430,NA,NA,HS,40000,Facility Allowance,12075294,NA,NA,1,NA,NA,358,21,225,70,0.62849162,0.195530726,0.058659218,112,33729.87151,301.88235,10,2006,1,1207529.4,3372.987151,30.188235,-76.9907031,38.8807813,6
158,PCS,Community Academy Amos II,"33 Riggs Road, NE",600,NA,NA,ES,50600,Facility Allowance,5565731,NA,NA,1,NA,NA,329,86,193,18,0.58662614,0.054711246,0.261398176,154,16917.1155,109.9946838,10,2006,1,556573.1,1691.71155,10.99946838,-77.006643,38.9549208,5
159,PCS,Elsie Whitlow Stokes Community Freedom PCS,"3700 Oakview Terrace, NE",450,NA,NA,ES,32341,Facility Allowance,11118784,NA,NA,1,NA,NA,350,63,62,26,0.177142857,0.074285714,0.18,92,31767.95429,343.7983983,17,1999,1,654046.1176,1868.703193,20.2234352,-76.9899667,38.934916,5
163,PCS,IDEA PCS,"1027 45th Street, NE",490,NA,NA,HS,70000,Facility Allowance,13450019,NA,NA,1,NA,NA,217,1,165,42,0.760368664,0.193548387,0.004608295,323,61981.65438,192.1431286,17,1999,1,791177.5882,3645.979669,11.30253697,-76.937087,38.904173,7
