"Master.PCS.List.1998.2014.15","MajorExp9815","YearsOpen","Open","Close","Open.Now","Agency","PCSName"
"Academia Bilingue","$1,013,952",4,2006,2009,0,"PCSB","Academia Bilingue de la Comunidad (ABC)"
"ALTA Associates for Learning Through the Arts","$1,226,332",5,2006,2010,0,"PCSB","ALTA Associates for Learning Through the Arts"
"Apple Tree (combined)","$201,060",2,2006,2007,0,"PCSB","Apple Tree Early Learning (combined)"
"AppleTree Amidon","$699,648",6,2008,2013,0,"PCSB","AppleTree Amidon (139, Amidon ,Southwest)"
"ARE Academy for Renewal in Education","$156,702",3,2000,2002,0,"PCSB","ARE Academy for Renewal in Education, also called Slater after their location at Slater Elementary"
"Arts and Technology Academy","$21,620,200",15,2000,2014,0,"PCSB","Arts and Technology Academy"
"Barbara Jordan","$2,169,195",7,2003,2009,0,"BOE","Barbara Jordan"
"Booker T. Washington (combined)","$2,897,340",7,2000,2006,0,"BOE","Booker T. Washington (combined)"
"Booker T. Washington Evening","$1,285,546",7,2007,2014,0,"BOE","Booker T. Washington Evening"
"Booker T. Washington for Technical Arts","$6,275,910",8,2007,2014,0,"BOE","Booker T. Washington Public Charter School for the Technical Arts"
"Booker T. Washington Virtual","$1,049,400",3,2010,2012,0,"BOE","Booker T. Washington Virtual ( Booker T. Washington Virtual ENTERPRISE PROGRAM)"
"Capital City (combined)","$3,738,383",8,2001,2008,0,"PCSB","Capital City (combined)"
"Center City Brentwood","$301,573",1,2009,2009,0,"PCSB","Center City Brentwood"
"Cesar Chavez (combined)","$2,676,917",7,1999,2005,0,"PCSB","Cesar Chavez (combined) Cesar Chavez PCS for Public Policy"
"Children's Studio School","$2,230,312",12,1999,2010,0,"BOE","Children's Studio School"
"City Collegiate","$920,095",4,2007,2010,0,"PCSB","City Collegiate"
"City Lights","$618,836",4,2006,2009,0,"BOE","City Lights"
"Community Academy (combined)","$6,327,356",7,1999,2005,0,"BOE","Community Academy (combined)"
"DC Prep (combined)","$1,813,365",4,2004,2007,0,"PCSB","DC Prep (combined)"
"E.L. Haynes (Combined)","$3,449,520",5,2005,2009,0,"PCSB","E.L. Haynes (Combined) (Euphemia Lofton Haynes)"
"Eagle Academy (combined)","$3,557,810",6,2004,2009,0,"PCSB","Eagle Academy (combined)"
"Early Childhood Academy Johenning","$405,000",1,2013,2013,0,"PCSB","Early Childhood Academy Johenning (138 Johenning)"
"Early Childhood Academy Walter Washington","$339,000",1,2013,2013,0,"PCSB","Early Childhood Academy Walter Washington (EARLY CHILDHOOD ACADEMY 1112 - WALTER WASHINGTON CAMPUS)"
"Friendship PCS (combined)","$16,318,413",5,1999,2004,0,"PCSB","Friendship PCS (combined)  (also Edison Friendship or Friendship Edison)"
"Hope Community (combined)","$1,137,325",2,2006,2007,0,"PCSB","Hope Community (combined)"
"Howard Road (combined)","$8,837,308",7,2002,2008,0,"PCSB","Howard Road (combined)"
"Howard Road Academy","$7,963,270",5,2009,2013,0,"PCSB","Howard Road Academy (HOWARD ROAD ACADEMY 118 - MAIN CAMPUS)"
"Howard Road Academy G St.","$398,722",2,2009,2010,0,"PCSB","Howard Road Academy G St. (HOWARD ROAD ACADEMY-G ST CAMPUS)"
"Howard Road Academy Penn. Ave.","$2,310,330",5,2009,2013,0,"PCSB","Howard Road Academy Penn. Ave. (HOWARD ROAD ACADEMY PENN CAMPUS )"
