OBJECTID,NAME,ADDRESS,FACUSE,LEVEL_,STATUS,PHONE,UNGRADED,TOTAL_STUD,SSL,GIS_ID,WEB_URL,ADDR_ID,BLDG_NUM,SCH_PROG,CAPITALGAINS,CAPACITY,YEAR_BUILT,SQUARE_FOOTAGE,POPULATION_PLAN,POPULATION_ENROLLED_2008,X,Y,ADDRID,ZIP_CODE,LONGITUDE,LATITUDE
1,Oyster-Adams Bilingual School (Adams),2020 19TH STREET NW,Middle School,MS,Active,202-673-7311,0,321, ,dcps_949,http://www.oysterbilingualschool.com/,294534,292,292,N,,,,,,396151.48,138827.7,294534,20009,-77.044377,38.91731
2,"Phelps Architecture, Construction, and Engineering High School",704 26TH STREET NE,High School/Specialized,HS,Active,202-729-4360,,329, ,dcps_478,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294495,0, ,N,,1912,205776,600,,402437.64,137126.77,294495,20002,-76.971898,38.901992
3,Washington Metropolitan High School,300 BRYANT STREET NW,Youth Engagement,YE,Active,202-671-1788,,253, ,dcps_474,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294475,0, ,N,,,,,,398648.513,139173.29,294475,20001,-77.015581,38.92043
4,Fillmore Arts Center (East),915 SPRING ROAD NW,Arts Center,AC,Active,202-576-9709,0,0, ,dcps_922,http://www.fillmoreartscenter.org/,226682,0,0,N,,,,,,397708.28,140880.94,226682,20010,-77.026433,38.935811
5,Ballou High School,3401 4TH STREET SE,High School,HS,Active,202-645-3400,,910, ,dcps_452,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294567,452,452,N,1565,1960,271300,1200,1267,399915.33,130176.29,294567,20032,-77.000975,38.839383
6,Moten Elementary School,1565 MORRIS ROAD SE,Elementary School,ES,Active,202-698-1111,0,315, ,dcps_920,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294524,285,285A,N,,1976,144900,,,401480.43,132093.89,294524,20020,-76.982944,38.856656
7,Ballou STAY High School,3401 4TH STREET SE,Youth Engagement,STAY,Active,202-645-3390,735,735, ,dcps_914,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294567,452,452A,N,,,,,,399915.33,130176.29,294567,20032,-77.000975,38.839383
8,Truesdell Education Campus,800 INGRAHAM STREET NW,Elementary School,ES,Active,202-576-6202,,423, ,dcps_327,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294497,327,327,N,471,1908,69600,450,286,397826.84,142896.55,294497,20011,-77.025072,38.953969
9,Murch Elementary School,4810 36TH STREET NW,Elementary School,ES,Active,202-282-0130,,556, ,dcps_287,http://www.murchschool.org,294602,287,287,N,,,,,,393925.57,142783.67,294602,20008,-77.070079,38.952934
10,Dunbar High School,101 N ST NW,High School,HS,Active,202-698-3762,,514, ,dcps_467,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,309947,467,940,N,1095,1977,343400,1600,973,398899.21,137751.95,309947,20001,-77.012691,38.907627
11,C.H.O.I.C.E. Academy @ Emery,1720 1ST STREET NE,Youth Engagement,YE,Active,202-939-4350,23,23, ,dcps_924,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294527,473,947,N,,,,,,399412.34,138404.24,294527,20002,-77.006776,38.913503
12,School-Within-School @ Goding,920 F STREET NE,Elementary School/Specialized,ES,Active,202-673-8275,,84,,dcps_201,http://www.schoolwithinschool.org,289072,,,N,,,,,,400591.35,136634.98,289072,20002,-76.993183,38.897565
13,Takoma Education Campus,7010 PINEY BRANCH ROAD NW,Elementary School,ES,Active,202-671-6050,,306, ,dcps_3241,http://www.takomaecenter.us,250934,3241,3241,Y,467,1976,119000,450,296,398024.76,145235.93,250934,20012,-77.022795,38.975043
14,Capitol Hill Montessori @ Logan,215 G STREET NE,Elementary School/Specialized,ES,Active,202-698-4467,0,211, ,dcps_960,http://capitolhillmontessorischool.org/,286687,0,0,N,,,,,,399777.37,136742.12,286687,20002,-77.002566,38.89853
15,Langley Elementary School,101 T STREET NE,Elementary School,ES,Active,202-576-6034,,375, ,dcps_965,http://www.dcps.dc.gov/langley,285757,0,0,N,,,,,,399489.48,138589.14,285757,20002,-77.005887,38.915169
16,Jefferson Middle School Academy,801 7TH STREET SW,Middle School,MS,Active,202-729-3270,,89, ,dcps_415,http://www.k12.dc.us/schools/Jefferson/,276812,415,415,Y,900,1940,109000,450,408,398012.08,134671.03,276812,20024,-77.022911,38.879871
17,McKinley Middle School,151 T STREET NE,Middle School,MS,Active,202-281-3950,0,670, ,dcps_970,,296345,458,458,N,,,,,,399642.48,138594.83,296345,20002,-77.004122,38.91522
18,Oyster-Adams Bilingual School (Oyster),2801 CALVERT STREET NW,Elementary School,ES,Active,202-671-6130,0,355, ,dcps_292,http://www.oysterbilingualschool.com/,275944,292,292,N,,,,,,395039.6,139526.15,275944,20008,-77.057203,38.923596
19,School Without Walls @ Francis-Stevens,2425 N STREET NW,Education Campus,EC,Active,202-724-4841,,233, ,dcps_409,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294544,409,409,N,520,1927,95100,450,165,395461.95,137735.74,294544,20037,-77.052321,38.907469
20,Kelly Miller Middle School,301 49TH STREET NE,Middle School,MS,Active,202-388-6870,,328, ,dcps_421,http://www.kellymillerms.com,294476,421,421,Y,,,,,,405859.65,136165.39,294476,20019,-76.932455,38.893315
21,Bruce-Monroe Elementary School @ Park View,3560 WARDER STREET NW,Elementary School,ES,Active,202-576-6222,0,459, ,dcps_296,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294583,296,296,N,,1916,82200,,,398163.16,140725.73,294583,20010,-77.021186,38.934414
22,Payne Elementary School,1445 C STREET SE,Elementary School,ES,Active,202-698-3262,,236, ,dcps_295,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,289721,295,295,N,438,1953,,,,401302.84,135259.2,289721,20003,-76.984984,38.885171
23,Tubman Elementary School,3101 13TH STREET NW,Elementary School,ES,Active,202-673-7285,,489, ,dcps_328,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294555,328,328,N,607,1970,66600,450,405,397447.02,140146.96,294555,20010,-77.029443,38.929199
24,Columbia Heights Education Campus 6â€“8 (CHEC),3101 16TH STREET NW,Middle School,MS,Active,202-939-7700,0,429, ,dcps_475,http://www.checdc.org,234375,475,475,N,,,,,,396890.8,140185.59,234375,20010,-77.035858,38.929545
25,King Elementary School,3200 6TH STREET SE,Elementary School,ES,Active,202-939-4900,,345, ,dcps_344,http://www.dcps.dc.gov/DCPS/king,294557,344,344,N,525,1971,65500,400,368,400152.88,130516.03,294557,20032,-76.998239,38.842443
26,Hyde-Addison Elementary School,3219 O STREET NW,Elementary School,ES,Active,202-282-0170,0,308, ,dcps_252,http://www.hydeelementary.org/,294558,252,252,N,173,1907,20000,325,181,394402.37,137797.48,294558,20007,-77.064538,38.90802
27,Turner Elementary School,3264 STANTON ROAD SE,Elementary School,ES,Active,202-645-3470,0,305, ,dcps_329,http://www.dcps.dc.gov/DCPS/turneratgreen,294561,329,329,N,,1965,77700,,,401708.96,131092.7,294561,20032,-76.980313,38.847636
28,Malcolm X Elementary School @ Green,1500 MISSISSIPPI AVENUE SE,Elementary School,ES,Active,202-645-3409,,261, ,dcps_308,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294523,308,308,N,571,1973,110800,400,319,401441.25,130427.6,294523,20032,-76.983399,38.841645
29,Incarcerated Youth Program Correctional Detention Facility,1901 D STREET SE,Youth Engagement,YE,Active,202-698-5978,60,60,,dcps_947,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,295133,0, ,N,,,,,,402049.46,135066.23,295133,20003,-76.976379,38.883431
30,C.W. Harris Elementary School,301 53RD STREET SE,Elementary School,ES,Active,202-645-3188,,224, ,dcps_247,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,289801,247,247,N,461,1964,56000,325,312,406410.5,135087.2,289801,20019,-76.926115,38.883599
31,LaSalle-Backus Education Campus,501 RIGGS ROAD NE,Elementary School,ES,Active,202-671-6340,0,290, ,dcps_264,http://dcps.dc.gov/DCPS/lasalle-backus,294489,264,264,N,406,1957,63000,425,272,400010.18,143562.69,294489,20011,-76.999883,38.959972
32,Coolidge High School,6315 5TH STREET NW,High School,HS,Active,202-671-6080,,547, ,dcps_455,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294615,455,455,N,1240,1940,271300,1100,710,398303.3,144374.62,294615,20012,-77.019578,38.967285
33,Thomson Elementary School,1200 L STREET NW,Elementary School,ES,Active,202-898-4660,,327, ,dcps_326,http://thomsonelementary.org/,240922,326,326,N,,,,,,397533.99,137293.77,240922,20005,-77.02843,38.903496
34,Maury Elementary School,1250 CONSTITUTION AVENUE NE,Elementary School,ES,Active,202-698-3838,,292, ,dcps_274,http://www.mauryelementary.com,294511,274,274,N,276,1886,46800,325,225,400984,136037.82,294511,20002,-76.988658,38.892185
35,Cardozo Education Campus,1200 CLIFTON STREET NW,High School,HS,Active,202-673-7385,,477, ,dcps_454,http://www.cardozoshs.com,294513,454,454,N,1565,1926,355400,1100,1267,397531.11,139367.02,294513,20009,-77.028471,38.922173
36,Brightwood Education Campus,1300 NICHOLSON STREET NW,Elementary School,ES,Active,202-722-5670,,549, ,dcps_213,http://www.brightwooddc.org,294515,213,213,Y,,,,,,397340.19,143625.7,294515,20011,-77.030689,38.960536
37,Youth Services Center,1000 MOUNT OLIVET ROAD NE,Youth Engagement,YE,Active,202-576-8388,67,67, ,dcps_948,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,290013,0, ,N,90,2004,,,,400989.94,138252.92,290013,20002,-76.988586,38.91214
38,Hearst Elementary School,3950 37TH STREET NW,Elementary School,ES,Active,202-282-0106,,257, ,dcps_258,http://www.hearstdc.org/,294586,258,258,N,181,1932,17400,325,161,393761.89,141428.28,294586,20008,-77.071955,38.940723
39,Hendley Elementary School,425 CHESAPEAKE STREET SE,Elementary School,ES,Active,202-645-3450,,341, ,dcps_249,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,24445,249,249,N,559,1959,73200,325,207,400070.78,129022.18,24445,20032,-76.999185,38.828986
40,Randle Highlands Elementary School,1650 30TH STREET SE,Elementary School,ES,Active,202-729-3250,,384, ,dcps_316,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,156337,316,316,N,520,2003,,,,403093.17,133585.82,156337,20020,-76.964356,38.870092
