Sector,School Name,% AtRisk,Total Projection,AtRisk Projection
,Total DCPS,44.98%," 	47,592 "," 	21,407 "
,,,,
1,Aiton ES,73.30%,245,
1,Amidon Bowen  ES,72.80%,372,
1,Anacostia HS,79.10%,774,
1,Ballou HS,71.70%,655,
1,Ballou STAY,na,485,
1,Bancroft ES,32.00%,504,
1,Barnard ES,44.30%,605,
1,Beers ES,59.50%,435,
1,Benjamin Banneker HS,22.60%,445,
1,Brent ES,5.60%,363,
1,Brightwood EC,45.90%,635,
1,Brookland EC at Bunker Hill,45.80%,232,
1,Browne EC,67.90%,348,
1,Bruce Monroe ES at Park View,54.20%,470,
1,Burroughs EC,46.40%,272,
1,Burrville ES,55.40%,345,
1,C W  Harris ES,69.50%,279,
1,Capitol Hill Montessori School at Logan,10.10%,330,
1,Cardozo EC,64.50%,717,
1,CHOICE Academy at Emery,na,10,
1,Cleveland ES,51.20%,311,
1,Columbia Heights EC (CHEC),42.20%,1275,
1,Coolidge HS,58.20%,410,
1,Deal MS,8.50%,1310,
1,Drew ES,76.80%,169,
1,Dunbar HS,65.80%,625,
1,Eastern HS,59.60%,1021,
1,Eaton ES,6.00%,477,
1,Eliot Hine MS,70.90%,270,
1,Ellington School of the Arts,21.40%,515,
1,Garfield ES,77.10%,276,
1,Garrison ES,53.60%,289,
1,H D Cooke ES,53.80%,413,
1,Hardy MS,27.00%,400,
1,Hart MS,76.30%,574,
1,Hearst ES,14.60%,293,
1,Hendley ES,83.10%,533,
1,Houston ES,67.90%,282,
1,Hyde Addison ES,6.60%,341,
1,"Incarcerated Youth Program, Correctional Detention Facility",na,24,
1,J O Wilson ES,48.50%,462,
1,Janney ES,1.10%,674,
1,Jefferson Middle School Academy,62.50%,307,
1,Johnson  John Hayden MS,76.00%,283,
1,Kelly Miller MS,72.10%,580,
1,Ketcham ES,77.80%,318,
1,Key ES,2.90%,393,
1,Kimball ES,71.20%,345,
1,"King, M L ES",81.00%,412,
1,Kramer MS,79.10%,371,
1,Lafayette ES,3.50%,700,
1,Langdon EC,56.70%,338,
1,Langley EC,57.50%,291,
1,LaSalle Backus EC,57.90%,357,
1,Leckie ES,52.70%,402,
1,Ludlow Taylor ES,37.10%,336,
1,Luke Moore Alternative HS,na,382,
1,Malcolm X ES at Green,76.00%,218,
1,Mamie D Lee School,53.20%,62,
1,Mann ES,0.70%,299,
1,Marie Reed ES,35.50%,391,
1,Maury ES,19.80%,362,
1,Mckinley Middle School,56.50%,210,
1,McKinley Technology HS,32.30%,700,
1,Miner ES,72.10%,412,
1,Moten ES,79.80%,400,
1,Murch ES,3.70%,693,
1,Nalle ES,72.10%,380,
1,Noyes EC,55.70%,308,
1,Orr ES,72.10%,372,
1,Oyster Adams Bilingual School (Oyster),6.70%,657,
1,Patterson ES,77.50%,374,
1,Payne ES,54.70%,279,
1,Peabody ES (Capitol Hill Cluster),7.00%,229,
1,Phelps Architecture Construction and Engineering HS,47.00%,354,
1,Plummer ES,77.20%,434,
1,Powell ES,44.60%,435,
1,Randle Highlands ES,64.80%,328,
1,Raymond EC,45.50%,553,
1,Roosevelt HS at MacFarland,69.60%,432,
1,Roosevelt STAY at MacFarland,na,655,
1,Ross ES,7.50%,168,
1,Savoy ES,73.00%,419,
1,School Within School at Goding,7.80%,243,
1,School Without Walls at Francis Stevens,29.20%,319,
1,School Without Walls HS,8.50%,585,
1,Seaton ES,51.40%,278,
1,Sharpe Health School,50.70%,67,
1,Shepherd ES,15.10%,321,
1,Simon ES,76.00%,310,
1,Smothers ES,71.00%,304,
1,Sousa MS,70.80%,281,
1,Stanton ES,83.10%,607,
1,Stoddert ES,3.70%,429,
1,Stuart Hobson MS (Capitol Hill Cluster),30.50%,424,
1,Takoma EC,46.60%,458,
1,Thomas ES,74.40%,435,
1,Thomson ES,41.50%,280,
1,Truesdell EC,53.10%,483,
1,Tubman ES,63.10%,527,
1,Turner ES,77.90%,426,
1,Tyler ES,40.20%,550,
1,Walker Jones EC,71.80%,461,
1,Washington Metropolitan HS (formerly YEA),na,304,
1,Watkins ES Capitol Hill Cluster,21.50%,528,
1,West EC,34.10%,273,
1,Wheatley EC,78.10%,440,
1,Whittier EC,56.10%,348,
1,Wilson HS,20.10%,1708,
1,Woodson H D HS,68.50%,729,
1,Youth Services Center,na,70,
,"Notes: The FY15 at-risk projected enrollment was calculated at the LEA level. School-level at-risk shares are provided in this table but school-level at risk numbers will not calculate exactly to the total number of projected at risk students due to rounding.
Alternative and adult schools have no projected at-risk students because at-risk funding is not applied to alternative and adult students. Those LEAs have ""na"" or not applicable.
",,,
