Agency,School,SCHOOLCODE,Address,maxOccupancy,Enroll.Cap,ProjectPhase,YrComplete,Level,totalSQFT,ProjectType,MajorExp9815,TotalAllotandPlan1621,LifetimeBudget,LON,LAT,WARD,FeederMS,FeederMSNum,FeederHS,FeederHSNum,Total.Enrolled,Limited.English.Proficient,At_Risk,SPED,AtRiskPer,SPEDPer,ESLPer,SqFtPerEnroll,SpentPerEnroll,SpentPerSqFt,MajorExp9815,TotalAllotandPlan1621,LifetimeBudget
DCPS,Aiton Elementary School,202,533 48th Pl  NE,442,442,Phase 0,NA,ES,57100,STABILIZED,8916,12115000,14515000,-76.93370092,38.89700148,7,Kelly Miller MS,1,Woodson HS,1,262,1,214,42,0.816793893,0.160305344,0.003816794,217.9389313,34.03053435,0.15614711,8916,12115000,14515000
DCPS,Bancroft Elementary School,204,1755 Newton St  NW,563,563,Phase 0,NA,ES,79792,STABILIZED,1446450,59943000,66496000,-77.04055344,38.93431802,1,Deal MS,2,Wilson HS,2,508,279,181,54,0.356299213,0.106299213,0.549212598,157.0708661,2847.34252,18.12775717,1446450,59943000,66496000
DCPS,Barnard Elementary School,205,430 Decatur St  NW,486,662,Full,2003,ES,72496,FULL REPLACEMENT,17867772,0,17867772,-77.01777708,38.94823061,4,Truesdell or West EC (6th-8th),3,Roosevelt HS,3,602,193,284,72,0.471760797,0.119601329,0.320598007,120.4252492,29680.68439,246.4656257,17867772,0,17867772
DCPS,Beers Elementary School,206,3600 Alabama Ave  SE,430,430,Phase I,2013,ES,77488,PARTIAL MOD,14813933,-24188,15123196,-76.95560475,38.86434951,7,Sousa MS,4,Anacostia HS,4,438,1,243,79,0.554794521,0.180365297,0.002283105,176.913242,33821.76484,191.1771242,14813933,-24188,15123196
DCPS,Brent Elementary School,212,301 North Carolina Ave  SE,369,369,Phase I,2009,ES,47500,PARTIAL MOD,4475354,0,4485194,-77.00145985,38.88480087,6,Jefferson Acad. MS,5,Eastern HS,5,368,5,23,22,0.0625,0.059782609,0.013586957,129.076087,12161.28804,94.21797895,4475354,0,4485194
DCPS,Brightwood Education Campus,213,1300 Nicholson St NW,584,716,Full,2005,ES/MS,78000,FULL MOD + ADD,22265461,0,22269148,-77.03068885,38.96053539,4,noMiddleSchool,,Coolidge HS,6,639,379,302,78,0.472613459,0.122065728,0.593114241,122.0657277,34844.22692,285.4546282,22265461,0,22269148
DCPS,Browne Education Campus,404,850 26th St  NE,804,804,Phase 0,NA,ES/MS,215392,STABILIZED,131951,20636000,23793129,-76.97066706,38.90259855,5,noMiddleSchool,,Eastern HS,5,353,23,241,56,0.682719547,0.158640227,0.065155807,610.1756374,373.7988669,0.612608639,131951,20636000,23793129
DCPS,Burroughs Education Campus,220,1820 Monroe St  NE,450,450,Phase I,2013,ES,69696,PARTIAL MOD + ADD,8239048,0,8866114,-76.97845637,38.93350233,5,Brookland MS,6,Dunbar HS,6,297,14,156,53,0.525252525,0.178451178,0.047138047,234.6666667,27740.90236,118.2140725,8239048,0,8866114
DCPS,Burrville Elementary School,221,801 Division Ave  NE,400,400,Phase I,2010,ES,94992,PARTIAL MOD,2991980,0,2996347,-76.92445918,38.90056543,7,Kelly Miller MS,1,Woodson HS,1,360,2,244,36,0.677777778,0.1,0.005555556,263.8666667,8311.055556,31.49717871,2991980,0,2996347
DCPS,C.W. Harris Elementary School,247,301 53rd St  SE,438,438,Phase 0,NA,ES,56000,STABILIZED,0,12606000,12606000,-76.9261155,38.8835985,7,Kelly Miller MS,1,Woodson HS,1,291,2,229,40,0.786941581,0.137457045,0.006872852,192.4398625,0,0,0,12606000,12606000
DCPS,Cleveland Elementary School,224,1825 8th St  NW,320,320,Full,2004,ES,53000,FULL MOD + ADD,20270264,0,20270264,-77.02270718,38.91514495,1,Cardozo EC (6-8),7,Cardozo EC (9-12),7,308,47,137,36,0.444805195,0.116883117,0.152597403,172.0779221,65812.54545,382.4578113,20270264,0,20270264
DCPS,Drew Elementary School,231,5600 Eads St  NE,362,362,Phase I,2010,ES,72800,PARTIAL MOD,4898637,0,4938279,-76.91992701,38.89599364,7,Kelly Miller MS,1,Woodson HS,1,201,0,166,34,0.825870647,0.169154229,0,362.1890547,24371.32836,67.28896978,4898637,0,4938279
DCPS,Eaton Elementary School,407,3301 Lowell St  NW,415,415,Phase 0,NA,ES,49096,STABILIZED,81414,15552000,15633414,-77.06582114,38.93272674,3,Hardy MS,8,Eastern HS,5,257,2,161,63,0.626459144,0.245136187,0.007782101,191.0350195,316.7859922,1.658261365,81414,15552000,15633414
DCPS,Garfield Elementary School,238,2435 Alabama Ave  SE,365,365,Phase 0,NA,ES,58904,STABILIZED,1082203,12583908,14338493,-76.97080478,38.85173304,8,Johnson MS,9,Ballou HS,8,284,0,233,35,0.820422535,0.123239437,0,207.4084507,3810.573944,18.37231767,1082203,12583908,14338493
